id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
663145980112543744,2015-11-08 00:08:16,#NBC still has time to disinvite #DonaldTrump from @NBCSNL. Tell NBC: #RacismIsntFunny. #DumpTrump.
662783827018956800,2015-11-07 00:09:12,.@USTreasury has a new way for those w/out access to a #retirement savings plan to start saving. To learn more visit https://t.co/pHLJq3F864
662729362760945664,2015-11-06 20:32:47,"271,000+ Americans back to work &amp; #unemployment rate down to 5%! Time for GOP to stop charade ""investigations,"" join us to grow our economy"
662641960981823488,2015-11-06 14:45:29,#DonaldTrump doesn't know how to control some of his words https://t.co/Oh4IeqknHg via @cvpayne #RacismIsntFunny
662346375682793472,2015-11-05 19:10:56,Celebrate and honor #NativeAmericanHeritageMonth this November at your local @LAPublicLibrary https://t.co/3HZFDAYziL
662315679324971008,2015-11-05 17:08:57,"No one can justify price of 50-y.o. medicine, Daraprim, skyrocketing from $14-$750 overnight. #Healthcare's not a commodity, it's our right"
662315114331262976,2015-11-05 17:06:43,"I've joined @RepLloydDoggett to urge W&amp;M Chairman Brady to hold ""an immediate, full committee hearing on prescription drug pricing"""
662272589159661568,2015-11-05 14:17:44,GOP blocked #Medicare's ability to negotiate lower prescription drug costs in 2003. Americans are paying the price: https://t.co/yURbIOX1WY
662046147897393152,2015-11-04 23:17:56,It’s alarming to see @NBCNews ignore #Trump's record of hateful speech. https://t.co/DaFeeRvzwO via @adamgabbatt #DumpTrump
661988936600920064,2015-11-04 19:30:36,"Desafortunadamente para la comunidad latina, más de surge Trump, más que vemos esas palabras ofensivas #DumpTrump https://t.co/pIoE0xTcbg"
661950144443768832,2015-11-04 16:56:27,.@CoveredCA has #health plans that could cost you less than your monthly cell phone bill. https://t.co/zHZsktv7d3
661733176931442690,2015-11-04 02:34:18,Racism isn't funny and #DonaldTrump's degrading comments about the #Latino community have no place on national TV: https://t.co/BKSHFriRty
661611054796021760,2015-11-03 18:29:02,Lo que vemos este día es la oportunidad de señalar que contamos. #RestoreTheVOTE
661580497152286720,2015-11-03 16:27:36,"Our vote is our voice! Si no votamos, no contamos. #RestoretheVote"
661549080565448704,2015-11-03 14:22:46,"RT @HouseDemocrats: Live at 10am ET: One year from #ElectionDay, Democratic leaders hold press event to #RestoretheVote. Tune in https://t.…"
661332852768927744,2015-11-03 00:03:33,It's #OpenEnrollment season! Check out https://t.co/JSPKblgj0T to find an affordable #healthcare plan today! #GetCovered
661309895170461696,2015-11-02 22:32:20,I stand by the resolution calling on @NBC to disinvite #DonaldTrump from hosting #SNL. #RacismIsntFunny https://t.co/ZhdjLYHLY3
661246312097161217,2015-11-02 18:19:40,"With #budgetdeal, @HouseDemocrats beat back Republican efforts to cut seniors' earned benefits! https://t.co/IFsUUEzD1F"
