id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
663087995294060544,2015-11-07 20:17:52,Our deepest condolences to the family of Jacqueline Adams who left us far too soon. She will be greatly missed. https://t.co/a7NqG4YVTF
663085082333188096,2015-11-07 20:06:17,She left us far too soon. https://t.co/S70S88lBB1
662787677821911040,2015-11-07 00:24:31,"RT @TheDemocrats: If John Kasich thinks he’ll be successful in NH, he better re-think how he talks to women: https://t.co/9dbwKXAkhN https:…"
662787645257355265,2015-11-07 00:24:23,"RT @MSNBC: Don't miss @maddow moderating @scdp's ""First in the South Candidates Forum"" tonight at 8pm! https://t.co/ky454kFLxP https://t.co…"
662787407759020032,2015-11-07 00:23:26,Watch @MadamChairAT (Alexis Tameron) on Ch. 12's #SundaySquareOff at 8 a.m. https://t.co/pSptJ1GXF9
662756871372185603,2015-11-06 22:22:06,@SenBarbMcGuire running for re-election in LD8!  https://t.co/RDVPdRS2pf
662755231990726656,2015-11-06 22:15:35,RT @AZSenateDems: #AZ's newest senator @AZ_Rep_Sherwood is sworn in. Congratulations and welcome to the Senate! https://t.co/8TnvOdCVLt
662755154643546113,2015-11-06 22:15:16,"RT @AZHouseDems: Democrats support our schools, our teachers and our kids!  https://t.co/dT1tNZE2oT"
662754941233176576,2015-11-06 22:14:26,"RT @WhiteHouse: ""This Congress should pass a serious infrastructure plan, and keep those jobs coming."" —@POTUS https://t.co/EJ3cgu1rVk"
662753674914082816,2015-11-06 22:09:24,RT @TheDemocrats: Marco Rubio is on the wrong side of immigration for the country—just like the rest of the Republican field. https://t.co/…
662753625685565440,2015-11-06 22:09:12,"RT @maddow: Rock Hill, South Carolina, get ready! https://t.co/w6AzaiOwQx"
662753614822318082,2015-11-06 22:09:09,RT @TheDemocrats: TFW you're celebrating 68 straight months of private-sector job growth and unemployment at a 7-year low https://t.co/Lu6p…
662749247268253696,2015-11-06 21:51:48,@WesHopper Are you in Legislative 8 or Congressional 8? Several groups in both we can connect you with.
662437335070470144,2015-11-06 01:12:22,RT @TheDemocrats: Marco Rubio’s tax plan gives a huge gift to the top 0.0003 percent: https://t.co/BwfGh76vTQ https://t.co/wskJ1tRVWp
662409090476343296,2015-11-05 23:20:08,"Educators say Ducey schools plan doesn't get the job done for our schools: ""a drop in the bucket.""
https://t.co/LK15QCy7tq"
662402127986192386,2015-11-05 22:52:28,"RT @WhiteHouse: “Education is not just books.
Education is physical fitness.
And the arts.
And dance.” —@POTUS on the importance of a well-…"
662402052035776512,2015-11-05 22:52:10,"RT @WhiteHouse: ""Education is really the key to a middle-class life"" —@POTUS: https://t.co/V24SnjIwmW https://t.co/lnaZR0BD4m"
662401929205514240,2015-11-05 22:51:41,RT @TheDemocrats: Marco Rubio's long history of using political donations for personal expenses: https://t.co/PHixNMTNXo https://t.co/gEFYq…
662401900562657280,2015-11-05 22:51:34,"RT @TheDemocrats: Rubio just became more dangerous for the future of immigrant families, saying DACA must end: https://t.co/nbCNEU4pOc http…"
662401873895251968,2015-11-05 22:51:28,"RT @TheDemocrats: The next time a Republican tells you that businesses won't hire under a Democratic president, show them this: https://t.c…"
662038587127369728,2015-11-04 22:47:53,"RT @TucsonStar: More than 20,000 ballots are still uncounted https://t.co/TFAdPyyOGy https://t.co/bHDBDl5D1j"
662035960020885504,2015-11-04 22:37:27,Follow the money. https://t.co/EBSzv8Png5
