id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
599405429341483009,2015-05-16 02:46:05,RT @CTDems: .@BarackObama believes that nobody working full time should live in poverty. RT if you agree. http://t.co/4u3SnwNu9v
595302672099614720,2015-05-04 19:03:11,RT @GottaLaff: Hey kids! Time for Your Weekly Upchucks: Shocking Religion News! http://t.co/VtdYuTogxo v @KCBoyd3
595299774825271296,2015-05-04 18:51:41,RT @VP: Everyone deserves a chance to #ReachHigher. On #CollegeSigningDay wear your school colors – preferably Delaware blue. http://t.co/z…
595296565494820865,2015-05-04 18:38:55,RT @BernieSanders: I am running for President of the United States because America needs a political revolution. Join our campaign: https:/…
594975248031813633,2015-05-03 21:22:07,RT @Tomthunkit: Because They Didn't. http://t.co/ROBpThNGbv
593061510433345538,2015-04-28 14:37:37,RT @TheNewDeal: Immoral Behavior Breeds Immoral Behavior. The Police are Out of Control and Now So are the People. #BaltimoreRiots
593061378136608768,2015-04-28 14:37:05,RT @Shugah: Baltimore please fire your mayor. Isnt she the one that didnt want body cameras? Is her daddy a cop?
593061038200922112,2015-04-28 14:35:44,The Police need to go back to sitting at the station until called upon to serve and protect and stop roaming the streets looking for trouble
593060325316030464,2015-04-28 14:32:54,@dailykos Indiana is full of so called freedom loving #Libertarians who keep voting for oppressive dicks like this.. @marcylauren
593059422617862145,2015-04-28 14:29:19,Keep looking for trouble you're going to find it.......
593058976964673537,2015-04-28 14:27:33,"RT @BlvckNostalgia: ""Be non-violent like Martin…"" they say. ""Then they won't have a reason to hurt you…"" they say. #BaltimoreRiots http://t…"
593039759603294211,2015-04-28 13:11:11,"@rudepundit Spot on if they are turning a blind eye, I, myself can't call them ""Good cop's"" though @michellekenoyer"
593039455776284672,2015-04-28 13:09:59,RT @rudepundit: Nothing will change until supposedly good cops are willing to call out the bad cops. Silence is complicity.
593029761632309248,2015-04-28 12:31:27,"RT @Nick_Offerman: Congrats @GovPenceIN 
WE ARE CANCELING 
Indiana Summer of 69 tour 5/16.
I WILL PLAY @IndianaUniv this Weds and donate my…"
592881047018299392,2015-04-28 02:40:31,"RT @DrTomMartinPhD: POLICE KILL EVERYWHERE, AND THER'S NOT ONE CHARGE! #LASTWORD http://t.co/jUSBg3gHNK"
588537261656006656,2015-04-16 02:59:52,RT @LiberalChampion: I believe in cutting taxes for middle class working families. Not millionaires. I'm a Democrat. 🇺🇸
588530770697818112,2015-04-16 02:34:04,@kingfaraone Really man? Was this you? if so please stop giving us guys a bad name..Thank you.. http://t.co/9w2Z5Kzq7P
588236702252142593,2015-04-15 07:05:33,"RT @Ltd_To_Two: A little politeness, kindness &amp; care cost nothing, a little empathy for all we meet is all it takes to show we're truly hum…"
