id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
609424338387865601,2015-06-12 18:17:39,PURE hypocrisy: #Florida House Repubs nix coverage for 600k uninsured–but enjoy taxpayer-funded plans for $50/month. http://t.co/ZZiY8bcPGU
576075802485370880,2015-03-12 17:42:28,RT @RuthsListFL: #WomensHistoryMonth Trivia: Name the only 2 Democratic women to be elected to statewide office in #Florida Answer: http://…
539961304703074305,2014-12-03 01:56:21,#VoiceSaveDaNica
534887471637876737,2014-11-19 01:54:45,#voicesavesugar
471009853658632192,2014-05-26 19:27:54,Today is a day of remembrance for the troops who have sacrificed for our freedom. Please take some time today to remember our fallen heroes.
469307713072009216,2014-05-22 02:44:12,RT @JayBuz24: @FlaDems Chair @allisontant w/ @AlexSinkFlorida and Betty Castor @ FDP Fundraiser in #Tampa.  3 great female leaders! http://…
464450998954508289,2014-05-08 17:05:21,Wonderful time at the @AmericanHeartA annual #GoRedForWomen event-congrats to Katie Pemble of @C1Bank  for chairing! http://t.co/r3C6fAS9f0
463721243116445697,2014-05-06 16:45:34,"We've raised over $300,000 for local #nonprofits today! Join me &amp; chip in a few dollars to #GiveDayTampaBay! http://t.co/reTNIRbFQ5 #GiveDay"
461304269178933248,2014-04-30 00:41:23,@ScottPetersSD so inspiring to celebrate sen Feinstein and Sen Boxer tonight!
461304011489284096,2014-04-30 00:40:21,RT @ScottPetersSD: @AlexSinkFlorida leading the teitterati @emilyslist #ignitechange http://t.co/Fgp8FCwg2I
460136970522742784,2014-04-26 19:22:57,"Great to join
@attorneycrump at the Clearwater/Upper Pinellas NAACP Dinner last night.  Thanks for the invite! http://t.co/Nd4oKQM4TA"
456078034345676800,2014-04-15 14:34:11,"While I am not running for office in 2014, I will keep an open dialogue with all of you and continue to seek new ways to serve #StayTuned"
450737629642768385,2014-03-31 20:53:19,What a day for baseball!  I had the best time with friends @RaysBaseball opening day. Let's #GoRays! #OpeningDay http://t.co/WuKn3ndO3i
449243183047012352,2014-03-27 17:54:56,#LivingWage is good for business &amp; I applaud @C1Bank on instituting living wages for employees at 20+ branches in FL http://t.co/Bffe1dnkp8
443518073203470336,2014-03-11 22:45:23,Polls close in 16 minutes.  If you haven't voted.  Now is the time!
443427210326573056,2014-03-11 16:44:20,My dad Kester is at El Cap having a burger and talking to voters!  Everyone loves him! Swing by after you vote! http://t.co/UOUqCTjA8l
443417865970933760,2014-03-11 16:07:12,"TO ALL @ALEXSINKFLORIDA SUPPORTERS: #ElectionWatchParty tonight @ Hilton Carillon Park, 950 Lake Carillon Dr., St Pete, FL begins at 7:30 pm"
443413047340572672,2014-03-11 15:48:03,Thanks to @alexsinkflorida supporter Catherine in #TierraVerde for a pic of her I voted sticker! Tweet us your pics! http://t.co/PoqfWqbwYy
