id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
662598375284469760,2015-11-06 11:52:17,"You know what would be better? Perhaps, defending the rights of everyone from the LGBTQ community.  https://t.co/Mr8jkDqup4"
662353992568074240,2015-11-05 19:41:12,One wouldn't know this since much of the British media paints him as if he's the Trotsky of Islington North. https://t.co/xggRfCAp5D
662353041836736512,2015-11-05 19:37:25,This is why some Democrats wonder if she's is a principled progressive or just a progressive out of convenience. https://t.co/eYNjFMbZ41
662325483514671104,2015-11-05 17:47:55,The test of authenticity re: @HillaryClinton's embrace of prog politics: look 2 who she selects on her econ team https://t.co/LRb14o2WEv #P2
662323925276200960,2015-11-05 17:41:43,"W/ this @BernieSanders has definitively moved from being a dem socialist 2 being a Dem who happens to be a socialist
https://t.co/qo6H6maO1m"
662321797283471360,2015-11-05 17:33:16,"Looking at the txt of the TPP = bad news 4 ppl on Main St &amp; the envrnmt. How can Obama call this progressive? #P2
https://t.co/GD6TV3LjYW"
662013717815558144,2015-11-04 21:09:04,Latest post: The data behind Canadian PM #Trudeau's victory bodes well for @BernieSanders' prez run https://t.co/e4jZQOt8Db #FeelTheBern #P2
661465107960958976,2015-11-03 08:49:05,"Latest post: Bernie Sanders’ First TV Ad: Its ""Conviction Politician"" Theme and Why It Matters https://t.co/oMbkfCUAFg #FeelTheBern #P2"
661279849177223168,2015-11-02 20:32:56,"Via @MONEY: ""Elizabeth Warren’s Next Fight Is Against Greedy Financial Advisers"" https://t.co/3UZHDSplSN"
661271501438517249,2015-11-02 19:59:46,"RT @thinkprogress: Playing into racial fears, Politico suggests Obama may have released ‘a new Willie Horton’ https://t.co/FVuFM1Ozuf https…"
661270991570493441,2015-11-02 19:57:44,".@JustinTrudeau's win: 3 lessons 4 progressives via @GlobalProgressMB: anti-austerity, pro-diversity, &amp; pro-optimism
https://t.co/WrVg46b4w0"
661203868160626689,2015-11-02 15:31:01,An incisive piece by @JonathanChait on @BernieSanders and #democraticsocialism. https://t.co/EVrvIU0iht #P2 #FeelTheBern
659037761123434496,2015-10-27 16:03:41,"When the NDP gives up its social-democratic brand and cedes Keynesianism to the Liberals, guess what? The NDP lose. https://t.co/aIRRvSjXNW"
659036058894512129,2015-10-27 15:56:55,"If Warren come out 2 endorse Clinton, the optics of Warren, De Blasio, &amp; Brown may undercut Sanders progrssv mantle. https://t.co/nZVvtcv04X"
659025890664288256,2015-10-27 15:16:31,"RT @Nate_Cohn: Many young, reg unaffiliated vtrs who have never vtd in a state primary will turnout, and all of the polling suggests they'r…"
659025876718239744,2015-10-27 15:16:27,RT @Nate_Cohn: Clinton's 41 pt edge in Monmouth IA is bc the frame is wayyy too narrow: *reg* D who vtd in last 2 primary. That's not a cau…
