id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
662631654704435200,2015-11-06 14:04:32,Great to see so many friends last night @SalemNHDems Fall Gala! https://t.co/ZV7cfDsbd4
661736316393160708,2015-11-04 02:46:46,Congratulations to Nashua Mayor-elect @JimDonchess!
661548684572794880,2015-11-03 14:21:12,"Be sure to go vote today! Granite Staters, you can find your polling place here https://t.co/NcXBtEvGNB"
652147409531744256,2015-10-08 15:43:53,Excited about my friend @ColinVanOstern launching his winning campaign for Governor! Visit: http://t.co/d3NWVi8byy
651079403661737984,2015-10-05 17:00:00,"@Maggie_Hassan will fight for New Hampshire families. She will bring a common sense, bipartisan approach to Washington!"
645269911988670464,2015-09-19 16:15:10,#nhdems2016 Moving New Hampshire forward!! http://t.co/YOxNSam9MY
573116885342035968,2015-03-04 13:44:48,Had a wonderful time celebrating @emilyslist last night! #emilyslist30 http://t.co/OX5uDNg73Y
565204832244731905,2015-02-10 17:45:07,In case you missed it - check out my interview with @JoshMcElveen on CloseUP http://t.co/AawVJcHTqG #NH02
529762664432816128,2014-11-04 22:30:36,Greeting voters in Nashua w/ Sen. Lasky &amp; Rep. Mangipudi. Polls open til 8pm in Nashua - have you voted yet?! #nh02 http://t.co/81Og77XIaw
529732656557457409,2014-11-04 20:31:21,"RT @AlexZeitzMoskin: Go vote for equality, for students, for women, for New Hampshire. Go vote for @JeanneShaheen @Maggie_Hassan @AnnMcLane…"
529698870088204288,2014-11-04 18:17:06,"Thrilled to see such great turnout in Concord today, with my friend @DanFeltesNH! http://t.co/b4KDVANVMy"
529696689922514945,2014-11-04 18:08:26,Great to see so many voters getting to the polls in Bow today!! #teamkuster http://t.co/PIVXWDt6zM
529648762105626624,2014-11-04 14:57:59,Find your polling location here: http://t.co/5wIlvhNdag #TeamKuster #NH02 #GOTV
529648277789356032,2014-11-04 14:56:04,Hope I can count on you to get out and vote today! Brad and I just cast our ballots in Hopkinton! #NH02 #GOTV http://t.co/0JWoKFghfv
529361299000811520,2014-11-03 19:55:43,It was awesome to see so many Granite Staters fired up to get out the vote in Nashua!! #NH02 http://t.co/2FERI7ZETa
529360245379043329,2014-11-03 19:51:32,RT @DanFeltesNH: With @AnnMcLaneKuster at St George's café in Henniker. #nhpolitics #nhforward #GetOutTheVoteNH http://t.co/17sLlCH6ME
529360027539484672,2014-11-03 19:50:40,"Great downtown walk in Concord this morning w/@DanFeltesNH - got a
chance to chat w/ voters &amp; local small biz owners! http://t.co/axx8pDSnFm"
529051103141560320,2014-11-02 23:23:06,RT @McClainJulie: Crowd of 700 cheers on @AnnMcLaneKuster! #nh02 #nhpolitics http://t.co/knUupHao5O
529050003407650817,2014-11-02 23:18:44,Amazing GOTV rally with Secretary of State Clinton today – let’s get out the vote on Tuesday! http://t.co/daDu1P9ZHM
