id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
662041062924382208,2015-11-04 22:57:44,Sad to see @MarcoRubio give in to @realDonaldTrump's politics of fear &amp; division by turning his back on DREAMers. https://t.co/MYCoWvFP8f
661299744837394432,2015-11-02 21:52:00,"Yes, the press is tough but trying to control them or muzzle them is not the American way. #GOPDebateDemands"
659797664863653888,2015-10-29 18:23:16,The press was right about Nixon. https://t.co/ez7V17biZI
659552591626395652,2015-10-29 02:09:26,Hearing a lot of GOP lip service tonight about income inequality but every one of their policies is a big wet kiss for the rich. #GOPDebate
659550992388648960,2015-10-29 02:03:05,Suddenly they all care about wages. How about raising the minimum wage? #GOPDebate #RaiseTheWage
659549661095530496,2015-10-29 01:57:47,"Cruz, Rubio and the Republicans are all attacking the press the way Nixon used to. #GOPDebate"
659547437099429888,2015-10-29 01:48:57,Fiorina is running on her terrible record and is now attacking one of California's great companies that she brought to its knees. #GOPDebate
659430629335961600,2015-10-28 18:04:48,RT @HillaryClinton: Some of America's most powerful women tell us why they support Hillary: https://t.co/6jEh4h6odZ https://t.co/a87Gq7tYhY
657212896770924544,2015-10-22 15:12:19,Anyone watching can see the extraordinary qualities @HillaryClinton would bring to the Oval Office. #ImWithHer
657029136452456448,2015-10-22 03:02:07,"The ties between Benghazi Committee Chairman @TGowdySC and ""Stop Hillary PAC"" are now exposed. End the witch hunt."
657028665637646336,2015-10-22 03:00:15,Proof Gowdy is slow-walking to hurt @HillaryClinton: https://t.co/zovfkKEysK I’ll donate $500 to charity for a “Glacial Pace” wine glass!
656871845149483008,2015-10-21 16:37:06,My full statement on @VP Biden's decision not to run for President in 2016: https://t.co/P4uf7tHLS2
656871507579289605,2015-10-21 16:35:46,Joe Biden is a beloved figure in the Democratic Party and beyond &amp; one of the most accomplished Senators &amp; Vice Presidents we've ever had.
656226981139234816,2015-10-19 21:54:39,RT @HillaryClinton: Carly Fiorina challenged Democrats to name an accomplishment of Hillary’s. Senator @BarbaraBoxer accepted: http://t.co/…
654133597708881920,2015-10-14 03:16:17,Proud to be a Democrat. Proud to be for @HillaryClinton. #ImWIthHer #DemDebate
654132331649855488,2015-10-14 03:11:15,Hillary's strength and fight for all America's families really came across tonight. #ImWithHer #DemDebate
654131278321729536,2015-10-14 03:07:04,".@HillaryClinton showed the depth of her knowledge, her maturity and her compassion tonight. She won hands-down. #DemDebate"
653253726673747969,2015-10-11 16:59:59,"It's time to end ""Benghazi-gate"" and stand with Hillary in the face of this shameful smear campaign."
653253057355075584,2015-10-11 16:57:20,The real scandal is how Republicans turned the tragedy of Benghazi into an attack on @HillaryClinton. http://t.co/0GRQCSr8PF
652162470052675584,2015-10-08 16:43:44,"Clearly, we need a grown-up for House Speaker—vote for @NancyPelosi!"
