id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
557213448702930945,2015-01-19 16:30:13,RT @TheDemocrats: RT if you share in that dream. http://t.co/jiUnpPlJES
529299200568471552,2014-11-03 15:48:58,RT @leticiavdp: Team Leticia is tweeting from today's Waco rally at @Baylor. http://t.co/10Naix6bru
529299087896899584,2014-11-03 15:48:31,RT @leticiavdp: Thank you Waco! Thank you Baylor! #VoteLeticia http://t.co/L2DwR4mQ5m
525802390063423488,2014-10-25 00:13:53,"Hey everyone, have you voted yet? Don't forget, early voting is open NOW and Election Day is Nov. 4! #GetOutTheVote"
509848437647364096,2014-09-10 23:38:34,"Don't forget, Baylor Dems at 7 p.m in Draper 329 tonight! See you there! #TurnTexasBlue"
507196603682156544,2014-09-03 16:01:08,Baylor Democrats will have its first meeting of the year TONIGHT at 7 p.m in Draper 329. Come meet us!
505384040208560129,2014-08-29 15:58:39,"Baylor Democrats will be participating in Late Night tonight, come out and see what we have in store for the year!"
463433752379535360,2014-05-05 21:43:11,We're back! Make sure and like us on Facebook and follow us on Twitter to stay in the loop heading into a pivotal 2014 cycle! #BaylorDems
263270119998881792,2012-10-30 13:24:22,Hey guys! Remember there is a meeting this Wed @ 7 in Draper 329! Hope to see you all :)
255124301949317120,2012-10-08 01:55:48,Hey guys! Remember there is a meeting this Wed @ 7 in Draper 329! Hope to see you all :)
250318090057969664,2012-09-24 19:37:38,Remember! Meeting Wed @ 7 in Draper 329. See all you guys then!
245170679043989504,2012-09-10 14:43:39,Hey all! Remember to come to Draper 329 this Wed at 329 for our next meeting!
243429444553953280,2012-09-05 19:24:36,"We have a meeting tonight - join us! It's at Draper 329 at 7pm! Happy Convention Week, everyone! Feel free to tweet us your thoughts! #DNC"
182575396586393601,2012-03-21 21:12:21,Baylor Democrats mtg tonight at 7 in Draper 329! See y'all there! #getactive #baylor
182315886521229313,2012-03-21 04:01:09,"Earlier today the Forth Worth Office of State Senator Wendy Davis (D) was firebombed, two staffers were in the... http://t.co/3Nw6qW4i"
181927746082050048,2012-03-20 02:18:49,"Hope everyone had a nice and refreshing Spring Break! We have quite a meeting for the first week back, we'll be... http://t.co/buCPwLKE"
180158939718107137,2012-03-15 05:10:13,"Be sure to RVSP for the 2012 TCD Spring Convention set for April 14th in Austin, TX! http://t.co/x0KvDNuF"
175036258777710594,2012-03-01 01:54:30,Hey y'all! Some of you were asking after the meeting where to find the full petition against the law requiring... http://t.co/8ALVSoy6
174884782730248192,2012-02-29 15:52:36,"Show us what you know, join your fellow Baylor Democrats at this evening's meeting and compete for PRIZES in a Political Quiz Bowl!"
174884399547031552,2012-02-29 15:51:04,"Yesterday, Federal Judges in San Antonio established the official and unappealable maps to be used in Texas's... http://t.co/iSjj5sY6"
