id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
663169786621259776,2015-11-08 01:42:52,"Yesterday, my colleagues and I had a chance to visit the Khartoum Breast Care Center. The Center is… https://t.co/UAGMtmZtKB"
662281342063927296,2015-11-05 14:52:31,There is still a chance for those 219 girls. I #JoinRepWilson! #WearSomethingRed and bring awareness. https://t.co/dhgzWh7BW4
662280459062222848,2015-11-05 14:49:00,It has been 569 days since the Chibok girls were abducted by Boko Haram. #BringBackOurGirls
661234291054149632,2015-11-02 17:31:54,RT @EWagsterPettus: Dem US Rep @BennieGThompson: State lawmakers should remove #Confederate emblem from #Mississippi flag: https://t.co/hiy…
659410003971952640,2015-10-28 16:42:50,"RT @HillaryClinton: Well done, Ole Miss. Symbols of hate have no business flying over a place of learning. -H https://t.co/t3WL4pJcjV"
659032772787351552,2015-10-27 15:43:51,I commend the student leaders at the University of Mississippi for standing for what's right and… https://t.co/94IvZg9BDk
659026668128899072,2015-10-27 15:19:36,CONGRESSMAN THOMPSON ANNOUNCES WAGE INCREASE FOR U.S. ARMY CORPS OF ENGINEERS FLOOD CONTROL EMPLOYEES… https://t.co/vfE8VNEqrB
659011721487499265,2015-10-27 14:20:12,CONGRESSMAN THOMPSON ANNOUNCES $16.5 MILLION DEPARTMENT OF TRANSPORTATION DISCRETIONARY GRANT FOR THE… https://t.co/z5ZWyHpf98
656905611850809345,2015-10-21 18:51:17,Chief Walter Armstrong from the Vicksburg Police Department stopped by the DC office today to discuss… https://t.co/aYn7HX7rvO
656114328769310720,2015-10-19 14:27:00,I was saddened to learn of the passing of my dear friend Rev. Andrew Hawkins who died this morning in… https://t.co/0q7OYNpee7
649354345142587392,2015-09-30 22:45:14,Today was a long day of meetings and committee work but I would never miss an opportunity to sit and… https://t.co/dEaZnvwGB0
649273854641094657,2015-09-30 17:25:24,ICYMI...yesterday the Homeland Security Committee's Bipartisan Foreign Fighter Task Force released… https://t.co/2y5bXuAEdT
649245245729865728,2015-09-30 15:31:43,"RT @dberrygannett: ! @BennieGThompson said he supports death gratuity for widow of Rep. Alan Nunnelee who “was a good member of Congress, a…"
649244500322156544,2015-09-30 15:28:45,"This morning, I had a really productive meeting with the Vicksburg District of the United States Army… https://t.co/GR2LUmnun8"
647087957397098496,2015-09-24 16:39:26,"It was a pleasure to host Father Joseph Dyer of St. Michael the Archangel in Forest, MS, as my… https://t.co/rJbAmnQAq9"
644940835323297792,2015-09-18 18:27:32,Career Fair October 2nd @ Washington County Convention Center. Click to see list of employers who will attend http://t.co/O84JhJk8GB
644898410366173184,2015-09-18 15:38:57,"Today, I met with Brayden Stokes from Vicksburg, MS. He is the winner of the CBCF Spouses National… https://t.co/pAIszWQbwO"
