id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
265843785525776384,2012-11-06 15:51:12,"Polls are open until 7:30PM. Vote and help us win a big victory for Ohio's middle class, women, seniors, and veterans! http://t.co/BMVubpcV"
265615821714366464,2012-11-06 00:45:21,"""For the 66,000 Asain Americans in Northeast Ohio, the message and image are offensive."" Ohio deserves better. #OH16 http://t.co/9y4YLoyu"
265615204145049600,2012-11-06 00:42:54,"Renacci's ""deeply offensive"" ad campaign goes too far. http://t.co/9y4YLoyu"
265561561337307136,2012-11-05 21:09:45,"Betty's endorsed by the Akron Beacon Journal, the Cleveland Plain Dealer, and the Sun News. Endorse her with your vote. http://t.co/pktwtS1K"
265512883507576833,2012-11-05 17:56:19,Chatting with supporters before a rally with @afscme http://t.co/quVMdwrL
265509362632646656,2012-11-05 17:42:19,"Vote early today, help us GOTV tomorrow, and then join us at our Election Night party in Parma! #OH16 http://t.co/nWRDcfGE"
265482016370339841,2012-11-05 15:53:39,Today is the last day to vote early. You can vote 8AM-2PM. Vote early &amp; help us win a victory for the middle class. http://t.co/wsbMbRah
265141876171091968,2012-11-04 17:22:04,"Over 1 million people have voted early, now it's your turn. Vote early and help us win a victory for the middle class. http://t.co/qI8TsH2I"
265092396574973955,2012-11-04 14:05:27,"Wake up this morning w/ Betty's appearance on WKYC's Coffee with Candidates, then go out and vote early &amp; help us win: http://t.co/KxhDyLbv"
264852308041543680,2012-11-03 22:11:25,Thanks for your support! MT @KoshKempter Excited to be in #oh16 w/ @emilyslist helping to re-elect @BettySutton #GOTV http://t.co/K18B1cvz
264779038080507906,2012-11-03 17:20:17,"Happy to have the support of the inspiring Terry O'Neill, President of @NationalNOW http://t.co/DvUq6WDD"
264777721350082560,2012-11-03 17:15:08,So grateful to have the support of @NinaTurner! http://t.co/4UPhRKGE
264745287623512066,2012-11-03 15:06:09,"Betty's endorsed by the Beacon Journal &amp; Plain Dealer. Let your friends
know she has your endorsement &amp; your vote: http://t.co/NCPA2rqq"
264449165516484608,2012-11-02 19:29:28,"1 million+ people have early voted in OH. Have you? Early vote Sat 8am-2pm, Sun 1pm-5pm, Mon 8am-2pm. Poll locations: http://t.co/wsbMbRah"
264359201894199296,2012-11-02 13:31:59,Thanks again Ray Horner @1590WAKR. Don't forget to vote November 6th! #OH16
264358119130419201,2012-11-02 13:27:41,"""I believe that this is still a country where the daughter of a boilermaker can win against one of the wealthiest members of Congress #OH16"""
264357861189107713,2012-11-02 13:26:40,The difference between my opponent and I:  He is endorsed by Citizens United Victory Fund. I introduced amendment to stop the negativity.
264356960923701248,2012-11-02 13:23:05,The Keystone pipeline plan did not use any American steel. I believe we should use American steel to create jobs here in Northeast Ohio.
264356580030574593,2012-11-02 13:21:34,"We have to invest in alternative energy, create jobs, and protect the environment. We CAN do it all."
