id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
361872154712735744,2013-07-29 15:33:39,Profoundly grateful to those who've provided encouragement &amp; endorsed our candidacy. We'll never forget all you've done on our behalf. –Bill
361868273345761280,2013-07-29 15:18:14,An announcement from our campaign: http://t.co/QjjftVIiyD
355491966030581760,2013-07-12 01:01:04,Say you’re proud to be on #TeamHalter and help us build this grassroots campaign: http://t.co/w8qRkKSKXq
355477498206760960,2013-07-12 00:03:34,We asked a few of our interns to share why they’re on #TeamHalter. Here's what we heard: http://t.co/1g2YlxW94X
355439180228206593,2013-07-11 21:31:18,Take some time to reach out to Arkansas voters today—it’s easier than you think: http://t.co/qOPik3EA2y #TeamHalter
355423989918728192,2013-07-11 20:30:57,Have you liked our campaign on Facebook yet? https://t.co/PWbhJduIMs
355407968923168768,2013-07-11 19:27:17,Want to get email updates from Bill and members of our campaign team? Sign up here: http://t.co/auljFEoMq7 #TeamHalter #ARgov
354738248725168128,2013-07-09 23:06:03,We’re building a truly grassroots campaign. Learn how you can support Bill in five easy steps: http://t.co/dNC171F8Fk #TeamHalter
354306815070175232,2013-07-08 18:31:42,Great Fourth of July weekend meeting fellow Arkansans and celebrating our nation's independence: http://t.co/TfI7438Sg7
352801277161381890,2013-07-04 14:49:13,Happy Independence Day from all of us at #TeamHalter!
352578494674374656,2013-07-04 00:03:58,Let us know you’re on #TeamHalter from now till Election Day: http://t.co/0NgwwOw2ni
352540820894781441,2013-07-03 21:34:16,Organize online as a member of #TeamHalter. Get started at http://t.co/qOPik3EA2y. #ARgov
352529053510680576,2013-07-03 20:47:30,Looking for a fun and rewarding summer activity? Sign up to volunteer for our campaign for governor: http://t.co/UjEZhZSLlr #ARgov
352119667613118464,2013-07-02 17:40:45,"Thanks for bearing with our emails this week—we closed out the quarter strong, and our team on the ground is grateful for your support!"
351782833179734016,2013-07-01 19:22:17,"Sending our thoughts and prayers to Arizona. Today and every day, we are grateful for the selfless courage of our first responders. –Bill"
350709276429398016,2013-06-28 20:16:22,Pitch in $3 to say you’re proud to be on #TeamHalter: http://t.co/0KOqiIOoFg
350704367504064513,2013-06-28 19:56:51,RT @dblasing: Thanks #NWArk for coming to our home last night to support Bill.  #TeamHalter @BillHalter @JickNones @will_watson http://t.co…
350335991493574656,2013-06-27 19:33:04,"Meeting with our Fayetteville summer interns, who are laying the groundwork for our campaign in NWA: http://t.co/ltXU7MSbi5"
350292424561684480,2013-06-27 16:39:56,Thanks to the Frisco Progressives for hosting coffee and conversation this morning. Great to meet so many supporters! http://t.co/HjNKarCsUI
349970182669742082,2013-06-26 19:19:28,Five ways to support the Halter campaign without leaving home: http://t.co/jNVgelJrmJ
349644052003688449,2013-06-25 21:43:32,Reaching out to voters is easier than you think. Get started at http://t.co/qOPik3EA2y. #TeamHalter
