id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
29510395689,2010-11-02 22:13:12,"RT @aguirre_eric: 17,000 calls today across the #ca44 for @BillHedrick What enthusiasm gap? http://yfrog.com/15qbfbj #vote2010 #p2"
29510294535,2010-11-02 22:11:56,"We made 16,476 calls knocked 4,000 doors & made 4,500 direct contacts! I would be honored if you VOTED for me if you haven't yet! #CA44 #p2"
29037594899,2010-10-29 00:15:18,Republican Heritage Foundation calls for removal of Ken Calvert from Republican Leadership http://bit.ly/cvozCl #CA44 #p2 #votedem #oc #gop
29036945119,2010-10-29 00:07:26,@0Self0Prob Thanks for the support. Join our phone bank this weekend: http://bit.ly/amVh9i #CA44 #InlandEmpire #votedem #p2 #oc
29036790103,2010-10-29 00:05:37,RT @mbfromhb: GOTV and Election Day Calls for Bill - Bill Hedrick for Congress http://goo.gl/zr3M
28824977690,2010-10-26 21:00:37,My position on offshore drilling for oil: http://youtu.be/nqoXI4GOzLo #CA44 #OC #surf #Votedem #vote2010 #SanClemente
28753927030,2010-10-26 03:05:53,Another new video! http://bit.ly/9M0n2b #CA44
28429886455,2010-10-22 18:39:16,New video - Bill Hedrick: Not Nancy Pelosi. A short 'educational' video to end Ken Calvert's confusion. http://bit.ly/9r3ZoB
28422908595,2010-10-22 17:02:21,New video: Bill Hedrick: Not Nancy Pelosi.  Short 'educational' video to end Calvert's confusion. http://bit.ly/9r3ZoB
27869617156,2010-10-19 21:24:20,"RT @gregorycendana: U have a problem when Fox News comes out against Calvert, a Republican candidate! http://bit.ly/b5TQ1j Support @Bill ..."
27864211639,2010-10-19 20:06:09,Well it's certainly nice to know what Ken Calvert really thinks of the stimulus: http://bit.ly/9JdpCU #CA44
27779277045,2010-10-18 23:17:21,Proud to have just received endorsement of UCR's student paper @UCRHighlander http://bit.ly/dheU5I #CA44 #VoteDem #InlandEmpire #p2 #OC
27764437696,2010-10-18 19:54:41,@gregorycendana thanks for the support. Congratulations on becoming APALA's Executive Director.
27756804009,2010-10-18 18:00:41,Today is the last day to register to #vote. Please stop by your post office to fill out a form or go here http://bit.ly/XDjvy #voteDem #CA44
27754800312,2010-10-18 17:30:52,15 days left to change who #CA44 sends to Congress! Help us ramp up our final push http://bit.ly/9wJRd5 #p2 #InlandEmpire & #OC #votedem
27591871550,2010-10-17 01:13:37,Trust FOX News - Calvert is corrupt!  http://corruptcalvert.com/2010/10/11/trust-fox-news-calvert-corrupt/
27479549146,2010-10-15 21:26:19,New poll shows #CA44 race tightening http://bit.ly/9gDbwq Help seal the deal so we can put #OC #InlandEmpire working families first on Nov 2
27380046963,2010-10-14 21:58:43,RT @FlashReport: Note to the National Association of Realtors PAC: Your web ad for Rep. Ken Calvert on the Fresno Bee website isn't doin ...
27081446006,2010-10-11 23:57:11,@imruradio Thanks for the support
