id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
661646740186075136,2015-11-03 20:50:50,CNN's coverage of the NYC #Riseup march was wretched - watch CORRECTION: We interrupt your regular CNN programming https://t.co/mFZ75HhTDa
637289708251447296,2015-08-28 15:44:41,"RT @MoveOn: Shame on @RepMaloney for siding with war hawks against peace, diplomacy &amp; majority of New Yorkers. #NoWarWithIran http://t.co/w…"
630870534801260545,2015-08-10 22:37:11,"Engadget
Japan to restart nuclear power tomorrow after energy prices soar
http://t.co/kfM8CVcQZd"
619915753047855104,2015-07-11 17:06:47,"Sorry, Jeb, Americans don’t need to work longer hours: Bernie Sanders sets Bush straight http://t.co/OVgPtSmsI1"
555473168035770368,2015-01-14 21:14:58,A Cheesy Love Story - The Ad Doritos Don't Want You to See http://t.co/DGt8oY12Ix
547404625968525312,2014-12-23 14:53:27,All I Want for Christmas is You- Hillary Clinton parody- Mariah Carey cover http://t.co/KBO5yf24Hr
542736081964126208,2014-12-10 17:42:20,#RunWarrenRun - MoveOn moves full force to draft Elizabeth Warren for president http://t.co/Qg2tK6CjKD
542356468381802496,2014-12-09 16:33:53,"@ZaidJilani @PhilPerspective yes we ""won"" the 2008 transition site question contest"
534422251022860289,2014-11-17 19:06:08,"RT @NRDC: .@SenSchumer, you voted no on #KeystoneXL in 2012. We need your help again. Please vote no on the #TarSands pipeline. #NoKXL"
534422041689341952,2014-11-17 19:05:18,"RT @NRDC: .@SenCarlLevin, you voted no on #KeystoneXL in 2012. We need your help again. Please vote no on the #TarSands pipeline. #NoKXL"
533007476955033600,2014-11-13 21:24:19,RT @paulhogarth: Why @dailykos supports @repdonnaedwards to chair @dccc. Sign our petition to @NancyPelosi here: http://t.co/njzus3TVuG
531522440640606209,2014-11-09 19:03:19,"#WarCriminal RT @crooksandliars: George W. Bush: ‘No Regrets’ On Invading Iraq - CBS, Face the Nation, Nov. 9, 2014. http://t.co/o63Z2ZFeFd"
531096100028289024,2014-11-08 14:49:12,"transmitters in her dental fillings? MT @allinwithchris: .@SharylAttkisson on [NSA] hacking: ""a long-term monitoring and surveillance."""
529802362169212928,2014-11-05 01:08:21,"RT @SandiBehrns: On the up side, lots of GOP govs in trouble tonight. That's what happens when people get a taste of actual GOP leadership."
529708580824711168,2014-11-04 18:55:41,"Mike Brown Can't Vote. But I Can. 
http://t.co/N0fRZfGKfZ 
 #MikeBrownCantVoteButICan #GoVote"
529381917322661888,2014-11-03 21:17:39,Liar @tombrokaw: 'Both parties have staked out positions at either end of the spectrum &amp; refused to meet in the middle.'
529367851543838722,2014-11-03 20:21:45,"RT @dccc: RETWEET to thank Get-Out-The-Vote volunteers!

Voter contact for 2014 #midterms is up 54%: http://t.co/45E39IcNI1 http://t.co/vrs…"
