id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
662818668179386368,2015-11-07 02:27:39,"""I support @SenatorBaldwin’s bill to stop the revolving door."" — @HillaryClinton #WarrenWing #MSNBC2016 #WallStreetReform"
662817862751424512,2015-11-07 02:24:27,“I do think that people rightly believe that corps &amp; the powerful have stacked the deck in their favor.” - Clinton #WarrenWing #MSNBC2016
662810027581812736,2015-11-07 01:53:19,“We have an economy that is rigged.” - Sanders #WarrenWing #MSNBC2016
662802901698375681,2015-11-07 01:25:00,"“This move toward for-profit prisons in our country, I think it’s immoral, I think it’s wrong.” - O’Malley #WarrenWing #MSNBC2016"
662787167467511809,2015-11-07 00:22:29,RT @stevenwtodd: How do the candidates' plans for achieving debt-free college differ? #MSNBC2016 @oleta #WarrenWing https://t.co/6x9PXLXgHk
662787121674108929,2015-11-07 00:22:18,RT @suttnutz: How will you protect public education from people who want to privatize our schools #MSNBC2016 @Maddow #WarrenWing https://t.…
662787028090798080,2015-11-07 00:21:56,HOT: Tweets of @BoldProgressive #WarrenWing video shown before @Maddow forum. Keep tweeting folks! https://t.co/ZwFOapCvuj
661745649575137280,2015-11-04 03:23:52,RT @AdamGreen: Congrats!! @asmith83 @LauraFriedy @daviddonnelly @nicknyhart @shennabellows  https://t.co/XVA19kHbUO
661745615349641216,2015-11-04 03:23:43,"RT @AdamGreen: Huge congrats to former PCCC fellow, @BoldProgressive Taylor Sappington (@IdealsWin) for winning Nelsonville, Ohio City Coun…"
661745543601852416,2015-11-04 03:23:26,"RT @shennabellows: Looks like #YesOn1 prevails with most precincts in. As Maine goes, so goes the nation I hope to get big money out of pol…"
659571836586446848,2015-10-29 03:25:54,".@JebBush is wrong. We need #DebtFreeCollege 

SIGN NOW: https://t.co/fqJLrKesIt

#GOPDebate #WarrenWing https://t.co/aO9PPIgO6X"
659563153169215488,2015-10-29 02:51:24,"Republican voters support #DebtFreeCollege 56%-33% 

POLL: https://t.co/t0Rox4wNR2

#WarrenWing
#GOPDebate 
cc: @JebBush"
659562322780954624,2015-10-29 02:48:06,"Republican, Democratic, &amp; Independent voters disagree w/ Bush on #StudentDebt.

POLL: https://t.co/t0Rox4wNR2

#GOPDebate #WarrenWing"
659562098897387521,2015-10-29 02:47:13,All Republican candidates should be forced to say if they agree w/ @JebBush on #StudentDebt. #WarrenWing #GOPDebate https://t.co/bwmoHBRTzf
659561873940041728,2015-10-29 02:46:19,.@JebBush’s comments on #StudentDebt contrast w/ all top Dems who support #DebtFreeCollege. #GOPDebate #WarrenWing https://t.co/bwmoHBRTzf
659561646726213633,2015-10-29 02:45:25,".@JebBush said fed gov’t should have no role in reducing student debt. 
Voters disagree by a huge margin: https://t.co/t0Rox4wNR2 #GOPDebate"
