id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
662821970304593920,2015-11-07 02:40:47,"RT @AriMelber: Bernie Sanders tonight: There is Republican cowardice in voting discrimination: https://t.co/OGnidrBkv2
@YouTube #msnbc2016"
662821865333755904,2015-11-07 02:40:21,"RT @ABCPolitics: Clinton declines to name which GOP candidate she would pick to be her VP. ""There are Republicans I could pick. Just none o…"
662821808513519616,2015-11-07 02:40:08,"RT @JessicaValenti: .@HillaryClinton brings up Eric Garner: ""Maybe he shouldn't have been selling cigarettes, but did he deserve to die?"" #…"
662801723908427776,2015-11-07 01:20:19,"RT @AlbaMonica: .@MartinOMalley on #BlackLivesMatter movement: ""I think that almost of all of their agenda can get done"" #MSNBC2016"
662801635463204864,2015-11-07 01:19:58,"RT @AriMelber: O'Malley says for profit prisons are ""appalling, immoral,"" drawing applause, says America is about Statute of Liberty, not a…"
662797894479548416,2015-11-07 01:05:06,We're watching @TheDemocrats for #MSNBCDebate. Tune in now! https://t.co/wY7hIECVZz
661648407493083136,2015-11-03 20:57:27,"RT @policylink: On this day of local elections, Congressional Democrats Launch a New Strategy to Restore the Voting Rights Act... https://t…"
661604321004400640,2015-11-03 18:02:16,"RT @CASOSvote: It's #ElectionDay! Polls are open until 8:00pm. To check if there are elections in your county, please visit: https://t.co/1…"
661265264017707008,2015-11-02 19:34:59,"RT @SVYoungDems: Our presidents for SVYD, Peninsula Young Democrats and South Alameda County Young Democrats representing Youg... https://t…"
661215825097961472,2015-11-02 16:18:32,It's time we #BanTheBox... https://t.co/jEnaVBLl9Z
660899573221617665,2015-11-01 19:21:51,"RT @CoveredCA: Know what's really scary? Not having health coverage. But have no fear, Open Enrollment starts tomorrow! #Halloween https://…"
660171774559043585,2015-10-30 19:09:51,"RT @CommonCause: If @POTUS is serious about #votingrights &amp; encouraging citizens to participate in elections, this is a no brainer!
https:/…"
659556527687143424,2015-10-29 02:25:04,Another #GOPDebate and another reason to be proud to be a #Democrat.
659497421337067520,2015-10-28 22:30:12,"RT @TheDemocrats: Jindal turned a nearly $1 b surplus into a $1.6 b deficit, and his reaction to that is basically... #GOPDebate https://t.…"
659139667195924484,2015-10-27 22:48:37,RT @FresnoYoungDems: Join us for our annual fall mixer! https://t.co/rdUfQre1nK @gfelix559 @itsmattr @Esmeralda_Soria @CAYoungDems @Tower_D…
657696710894817280,2015-10-23 23:14:49,#GrumpyCat  https://t.co/pEhWyoZs2U
657601794101514240,2015-10-23 16:57:40,Did you miss #CYDTahoe2015? Follow us on Instagram (@CAYoungDems) to see photos from the retreat!
657595018446663680,2015-10-23 16:30:44,"Gov. @LincolnChafee drops out of the 2016 race. Although there are only 4 democrats left, we're stronger together than the #GOP field. #Dems"
