id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
662678907368280064,2015-11-06 17:12:18,RT @ddiamond: Obamacare was signed into law in March 2010. The private sector hasn’t lost jobs since: https://t.co/fI8Y5Xzcz3 https://t.co/…
662677366225944576,2015-11-06 17:06:10,We still can't understand why Marco Rubio would end a program that's helped 700K young people pursue their dreams. https://t.co/WrKxiwIwPe
662442495104692224,2015-11-06 01:32:53,RT @scdp: RT if you can't wait for tomorrow's first in the South Presidential Candidates Forum. https://t.co/LrBVVZoSya
662369532275654657,2015-11-05 20:42:57,"RT @ucmerced: Update 2 of 2: Classes will resume tomorrow, and campus offices will be open."
662067097472598018,2015-11-05 00:41:11,Our thoughts and wishes for a quick recovery are with the victims of the @ucmerced stabbing. https://t.co/FTnEckfusB
662058737952268288,2015-11-05 00:07:58,"@Calefati thanks for the early warning. As #TheDude would say, lotta ins, lotta outs, lotta what-have-yous."
661659054784290817,2015-11-03 21:39:46,@calefati Check back with us at 2016 convention in San Jose!
661639782431375361,2015-11-03 20:23:11,.@calefati Californians were #fedupwith50th on education spending in 2010-11
661632823082749952,2015-11-03 19:55:32,.@jmartNYT CA's voter-passed Prop 98 &amp; Prop 30 helped reverse ed funding free fall. It can work #fedupwith50th https://t.co/RIokP2bUbQ
661618674474831872,2015-11-03 18:59:18,Kentucky &amp; Mississippi are voting for governors on #ElectionDay. Follow @msdemocrats @KyDems for results.
661605865045270528,2015-11-03 18:08:24,RT @clarklee: #ElectionDay today! Check out @CA_Dem #Asian Pacific Islander Caucus's #AAPI #API local #Dem Party endorsements https://t.co/…
661596612397891584,2015-11-03 17:31:38,VOTE! Today is election day for select counties in CA. Check out your local DEMOCRATIC party endorsements here! https://t.co/cpoDBB0zQT
660163384604794880,2015-10-30 18:36:30,GOP candidates starting to behave like a zombie herd. Blaming media for their terrible performances. #GOPocalypse https://t.co/q9F9LwPcVv
659874398866817024,2015-10-29 23:28:11,Our final cat fave of the day is the #Mewgaroo. Happy #NationalCatDay! https://t.co/Kz47RCFGMu
659868743393132544,2015-10-29 23:05:42,We can’t help but still love them even when things go awry. #NationalCatDay https://t.co/aq7NI08eRS
659860207212752896,2015-10-29 22:31:47,"New #GOPSpeaker and prez candidates united against #PaidFamilyLeave, CA law since 2002. Take action to demand it. https://t.co/0koEzp4L8P"
659856021142147073,2015-10-29 22:15:09,Sad news for #NationalCatDay: Tillman the skateboarding bulldog &amp; California original dies. Goodnight sweet prince. https://t.co/6EkzgPT0fc
659843692740542464,2015-10-29 21:26:10,We dare you not to say “Awe!” #NationalCatDay https://t.co/8wSZomF3C5
659795015204409344,2015-10-29 18:12:44,Need we say more? We ♡ @POTUS Grumpycat impression! #NationalCatDay https://t.co/i8A3qSUbae
