id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
663044804855500800,2015-11-07 17:26:14,"Watch President Obama on Keystone XL Pipeline. What are your thoughts about his statement?
@CSPANVL https://t.co/gXOajAfWx1"
662344848469454848,2015-11-05 19:04:52,"We need more women in politics and the newly elected PM of Canada gives the best reason why. ""Because it's 2015.""

https://t.co/uKwZdPoZWr"
662335722775441408,2015-11-05 18:28:36,CSU faculty union authorizes a strike amid labor negotiations https://t.co/OyuitETAch via @SFGate
662297319186927617,2015-11-05 15:56:00,@marcus_ismael Haha always looking out Marcus
662281412603604992,2015-11-05 14:52:48,We such an amazing graphic designer. Thank you @marcus_ismael  https://t.co/5kpr7LTnbb
661766783624327168,2015-11-04 04:47:50,"Take a look at our new logo. Clean, crisp, bold. Just like College Democrats! https://t.co/tiwyy9xtyO"
661763545428684800,2015-11-04 04:34:58,Thank you Californians for voting today! https://t.co/0xZt8dHNHG
661738396436426752,2015-11-04 02:55:02,"ONE HOUR LEFT!

You CAN and WILL head to your polling place (find it here: https://t.co/R8tpN4DB2F) to #vote https://t.co/DD3Cv4PJky"
661723478538649600,2015-11-04 01:55:46,Two hours until polls close here in California. Yes you have time to head to the polls after work and before dinner. So get out there!
661681252936749056,2015-11-03 23:07:58,"5 HOURS LEFT UNTIL POLLS CALIFORNIA POLLS CLOSE! Thanks for the reminder, @HillaryClinton 

#vote #ElectionDay2015 https://t.co/GFQPp8gHdf"
661611793458925568,2015-11-03 18:31:58,29 counties and 15 cities in #California are having elections today. Your #vote in local elections matters! https://t.co/BfUKHkWGcX
661345284161572864,2015-11-03 00:52:57,RT @TheDemocrats: 67 straight months of private-sector job growth and historically low uninsured rates. That's #progress. https://t.co/8F3v…
660897972486475776,2015-11-01 19:15:30,RT @CollegeDemsofMA: Wasn't he the guy that demanded family time? https://t.co/E5dpKpsrPx
660897479685107712,2015-11-01 19:13:32,RT @StationCDRKelly: Just voted from @Space_Station! I encourage you to exercise your right and vote on Nov 3rd. #USAElection2015. #YearInS…
660896891027066880,2015-11-01 19:11:12,RT @TheDemocrats: Happy Halloween! 🎃👻🍭 https://t.co/6HjMObs6VD
660165049483264000,2015-10-30 18:43:07,RT @DWStweets: Paid leave has a proven positive effect on the health of children &amp; moms. We need to guarantee it for all families: https://…
660112610281414656,2015-10-30 15:14:45,RT @NancyPelosi: 9.2% unemployment rate for black Americans is more than double 4.4% rate for whites. We must do more. → https://t.co/SLaNm…
659186013537828864,2015-10-28 01:52:47,RT @ColorOfChange: Disruptive is the assault of a young Black girl in class. #AssaultAtSpringValley #BlackGirlsMatter
659100890620559360,2015-10-27 20:14:32,California's 'Motor Voter' law in the slow lane https://t.co/sgFcOqx1yu
