id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
3914417524,2009-09-11 16:35:21,09/11/01
3890705293,2009-09-10 16:35:24,"REMINDER: Meeting Tonight at 5:15pm, PHYS 115!"
3750701544,2009-09-04 04:51:39,"join CDNT for our first Fall '09 Meeting: Thurs (9/10/09), 5:15PM, PHYS 115! (non-members welcome)"
3657964707,2009-08-31 02:48:46,is wishing UNT would assign them a room already!
3587839186,2009-08-27 21:09:56,is hoping that everyone had a wonderful first day of classes!
3562740019,2009-08-26 19:31:17,join us at the MEAN GREEN FLING tonight in front of Willis Library from 5pm to 9pm!!!
3344566432,2009-08-16 14:24:26,Obama willing to drop public option!?
3229441683,2009-08-10 18:19:39,http://www.whitehouse.gov/realitycheck/
2496867856,2009-07-06 13:37:37,America's Day of Independence: July 4th...  Alaska's Day of Independence: July 26th...
2326687132,2009-06-25 14:22:39,He needed a break from the kids. (Father’s Day); He went hiking (National Hike Naked Day); He went to Argentina...
2133394686,2009-06-12 16:40:32,: A bill allowing the FDA to regulate tobacco is on it's way to the White House for President Obama's signature.
2118359212,2009-06-11 15:52:02,"Org Fair @ Crumley Park from 11-12, Monday, June 15. Swing by to help."
1765821558,2009-05-11 19:13:08,good luck on your finals!
1648989413,2009-04-29 14:03:20,"congratulations to the new CDNT Administration! (P-Quinton, VP-Emily, TR-Caiti, CommD-Aaron, MebD-Rhiannon, and Sec/His- Michael)"
1643541996,2009-04-28 23:08:26,Officer Elections Tonight! 7pm Bio Rm 117!
1604721271,2009-04-24 15:47:24,"elections are next Tuesday Night (April 28, 2009)! Join us in Biol 117 at 7:00pm!"
1604669824,2009-04-24 15:41:31,has a new website: www.untdemocrats.org
