id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
653025729312124929,2015-10-11 01:54:01,@ESPN @stanverrett @Lsuprez I don't need any @LSU memorabilia but I'll donate $1K in spirit of @_fournette request. #SCFloodRelief
536150019062382592,2014-11-22 13:31:40,Today is the First Day of Early Voting! Make sure you #GeauxVote!
535488796293206016,2014-11-20 17:44:12,"Louisiana #EarlyVoting is Nov 22 - 29 (closed Sun 11/23, Thanksgiving Thursday &amp; Black Friday). #GeauxVote!!!!"
532222854516199424,2014-11-11 17:26:31,Thank you to all the men &amp; women who have served our country and are still serving. We appreciate everything you do. #HappyVeteransDay
529854891015954432,2014-11-05 04:37:04,RT @ChrisCarter3: @CedricRichmond Congrats!!
529854864197558273,2014-11-05 04:36:58,"RT @sierramoniquee: @CedricRichmond Congratulations, I remember he was at my graduation ☺️"
529854592364728320,2014-11-05 04:35:53,"Thank you, from the bottom of my heart. I'm humbled by the faith you have placed in me to continue representing you in Congress. #ThankYou!"
529852111089979392,2014-11-05 04:26:02,RT @JMartinezGreen: Congrats @CedricRichmond !!!!
529852008623136768,2014-11-05 04:25:37,RT @LaTangelaFay: CONGRATZ @CedricRichmond
529851952109084672,2014-11-05 04:25:24,RT @2noame: @CedricRichmond Congrats on the win tonight! Proud to have you as my representative in Congress for another term.
529806881272102912,2014-11-05 01:26:18,"RT @LyndaWoolard: Repeat: Be in line by 8, stay in line til ya vote!

RT @teambluedat: Be in line by 8, stay in line til ya vote!

#GEAUXVO…"
529794420975992832,2014-11-05 00:36:47,Call and text your family members to make sure they VOTE in this very important election! It's not too late! Polls close at 8! #GeauxVote!
529685222854787072,2014-11-04 17:22:52,Make sure you #GeauxVote! #VoteCedricRichmond! #VoteDemocrat! http://t.co/KBqMhPyaTs
529684150308311040,2014-11-04 17:18:37,"RT @JoeBiden: Folks, there's a lot at stake today. Make time to vote. http://t.co/NuF8byPfsS has everything you need to know. -Joe"
529680028846792705,2014-11-04 17:02:14,@DJKilogram @MaryLandrieu thanks again and Welcome to Louisiana! #ProudToCallItHome!
529679660138106880,2014-11-04 17:00:46,@CamilleBurgin @MaryLandrieu we appreciate your support! #SpreadTheWord!
529679518509060096,2014-11-04 17:00:12,RT @CamilleBurgin: Proud to say I voted for @MaryLandrieu and @CedricRichmond ... #WomenVote http://t.co/FKL9gs12XM
529613201949085697,2014-11-04 12:36:41,Today is Election Day! The Polls are OPEN! #GeauxVote! #VoteDemocrat! http://t.co/2KIBVhLXye
528670544887963648,2014-11-01 22:10:54,RT @AustinLavin: Lots of energy at the #HillaryWithMary event here in NOLA. You tell 'em @MayorLandrieu @TeamKCP and @CedricRichmond! http:…
