id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
571531318804279296,2015-02-28 04:44:19,RT @AdrianeZane: Nice. RT @AndyMarlette: In tribute: Leonard Nimoy #Spock http://t.co/umlEb92r9d
571531262265069568,2015-02-28 04:44:06,Gone
571530646050512896,2015-02-28 04:41:39,"@Charles_1944 A very after thought... is something wrong w/ the term ""merchant""?"
571529619016441856,2015-02-28 04:37:34,"@ten24get  My dad died -age 93, never smoked. Death Cert says cause of death -tobacco abuse. There are lies, damned lies, and statistics."
571528998410444800,2015-02-28 04:35:06,"@Leslieks Some flawed algorithm. Wow. It really IS spelled that way! LOL  I lost about a thou, but figured it was from being inactive 2 mos"
571527772172111872,2015-02-28 04:30:14,"Watching Ghandi. Never saw from the beginning. Kingsley is amazing, but wasn't there an Indian actor? #dotnotfeather"
571515071291138048,2015-02-28 03:39:45,"@Leslieks Sorry, my friend! Just saw this. Twitter must have decided I wasn't important enuf for you. ;)"
571514346871894016,2015-02-28 03:36:53,"@Charles_1944 OK. Thanks. So, fungible."
571512639991521281,2015-02-28 03:30:06,"@12Lions  Yeah, that was distracting, but I translated on sight and STILL missed the reference. I'd forgot your initial use of ""branch""."
571509625113206784,2015-02-28 03:18:07,@StopNuclearWar Hi. I'll follow back if / when you hatch.
571509032948793344,2015-02-28 03:15:46,"@12Lions  Know what? Your ""olive branch"" reference flew past my left ear!!  LOL  @maddow"
571508729994211328,2015-02-28 03:14:34,RT @stonermc: @Chickorie @MaddowBlog Yay! And I didn't even have to... wait... I didn't speak to Rachel... DOH!!
571508390104584192,2015-02-28 03:13:12,@_therockdiva You always get a belly laugh outa me!
571508220646322177,2015-02-28 03:12:32,RT @_therockdiva: OMG IF I SEE THAT GODDAMN DRESS ON ONE MORE NEWS OUTLET.... #therearethingsthatmattergoingonintheworld #maddow #TheDress
571507849949515776,2015-02-28 03:11:04,@12Lions @maddow Heh. ;)
571507379088584704,2015-02-28 03:09:11,"Yes, sweetie.  You won.  
;) RT @stonermc: @MaddowBlog is it me? did i win?  #maddow"
571506594938109952,2015-02-28 03:06:04,"@12Lions @maddow Fourth Estate --a free press. Remember #maddow pointing out it was as above, NOT ""For the State"". I was being cheeky. Sorry"
571505283643674624,2015-02-28 03:00:52,And no Maher tonight.
571505099945742336,2015-02-28 03:00:08,@12Lions @maddow Fifth.
571504967690924032,2015-02-28 02:59:37,RT @12Lions: @maddow We now need a 4th branch of govt to decide whether or not Congress should be funded. #maddow
571504881758015488,2015-02-28 02:59:16,@enfynyty So email and ask.
571504209176215555,2015-02-28 02:56:36,RT @TuxcedoCat: Damn! @HouseDemocrats are the adults in the room again! They're not even making asshat @JohnBoehner sweat a bit. #DHSFundin…
