id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
662811495445737472,2015-11-07 01:59:09,Great night w/ @TTSF2 honoring first responders who put others before themselves and survivors of trauma.#netDE https://t.co/OJfYQYZnLR
662744523580137472,2015-11-06 21:33:02,Participants like Travis Tirrell gain the right skills to become successful full-time employees with @mountairefarms #ApprenticeshipWorks
662744033668665344,2015-11-06 21:31:05,.@mountairefarms’ program challenges participants to come up with proposals to improve company performance that are often implemented
662743779024089088,2015-11-06 21:30:04,Apprenticeships are now spreading to industries outside the skilled trades – industries like agriculture #NAW2015
662737684511649792,2015-11-06 21:05:51,I'm excited to work with everyone who came to #OppAfrica today to realize the incredible opportunities the continent of Africa has to offer
662737606145257472,2015-11-06 21:05:33,Huge thanks to all the incredible speakers who came to #OppAfrica to share inspiration &amp; wisdom for how we can grow partnership w Africa
662737240632590336,2015-11-06 21:04:05,"Smart, inspiring insights by @SasThilak, @MutisoRose , @USAID’s Andy Herscowitz &amp; @ONECampaign's @erhuie abt #energyaccess &amp; #PowerAfrica"
662737058478227456,2015-11-06 21:03:22,Important discussion abt ways to work w Africa to address #climatechange &amp; increase #energyaccess across continent https://t.co/28hqVEJXld
662734138361835521,2015-11-06 20:51:46,"African countries shouldn’t have to choose bt security &amp; democracy – insights by Yoseph Badwaza, @StateDept's Rose Jackson &amp; @ChrisFomunyoh"
662733084303884288,2015-11-06 20:47:34,Engaging panel at #OppAfrica on how to support democracy in age of extremism https://t.co/yaRDoKZ8nw
662727241877458944,2015-11-06 20:24:21,Agree w Amb. Reuben Brigety that we must build trust &amp; partnership w Africa to address today's greatest global challenges  #OppAfrica
662726939958902784,2015-11-06 20:23:10,Thrilled @elliottschoolgw's Amb Reuben Brigety could come to #OppAfrica to discuss US-Africa strategic relationship https://t.co/NJY8Hc7ZDj
662688733691551744,2015-11-06 17:51:20,"Grateful for insightful, engaging, forward-thinking discussion w @StriveMasiyiwa at #OppAfrica abt incredible opportunities across Africa"
662688626363531265,2015-11-06 17:50:55,"Honored to welcome businessman, philanthropist &amp; int'l leader @StriveMasiyiwa- when he speaks, world leaders listen https://t.co/ppp0CaHdS5"
662663950014799872,2015-11-06 16:12:52,"Thank you to @DuPont_News’ Lystra Antoine, @kimberlytalksag, @thedavidhong &amp; Ken Ballinger for discussing food security at #OppAfrica"
662662242551246848,2015-11-06 16:06:04,"Grateful to @G_Communities’ Piet de Vries, @JanetFleischman, Amb. Nancy Powell &amp; Dr. Vidadi Yusibov for sharing insights on Ebola crisis"
662662002968387584,2015-11-06 16:05:07,Discussing lessons learned from Ebola crisis &amp; how to better respond to global health crises in future #OppAfrica https://t.co/BYTogIwjyh
