id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
663043852790595585,2015-11-07 17:22:27,Biggest crowd I've seen yet at our Oak Creek Veterans Day memorial ceremony. Good catching up with neighbors who... https://t.co/3ZuQlHLgbb
662986039624093696,2015-11-07 13:32:44,"RT @YoungDavidMN: @ChrisJLarson has been a great progressive voice in the WI State Senate, he will make an amazing County Executive - https…"
662985928533741568,2015-11-07 13:32:17,@mary_jo_malo Thank you for your support! Looking forward to taking back our county for the middle class!
662985500261752833,2015-11-07 13:30:35,"RT @MadPolitics: Senate passes amended campaign finance bill at midnight, GAB bill at 2:30 a.m. https://t.co/PgPBTBD4yb https://t.co/jmbEmB…"
662979512007815168,2015-11-07 13:06:47,"""This is a serious crisis for Dane County, and yesterday we expected you to put aside partisanship and reach out... https://t.co/UP3SONnl48"
662915910307573760,2015-11-07 08:54:04,"After a marathon session fighting GOP corruption, it's nice seeing the beautiful moon hanging over the road home. https://t.co/9k5JTGkyC7"
662649638122573828,2015-11-06 15:15:59,"Today, Wisconsin is unfortunately continuing on in the regressive era of our state's history. Seems no Republican... https://t.co/hkfbvb0Vw7"
662594265516756993,2015-11-06 11:35:57,RT @mkedems: Help Save Clean Government In Wisconsin @chrisjlarson https://t.co/LNap0rIt9p via @mkedems
662291382745305088,2015-11-05 15:32:25,"How do you hold a County Exec accountable who won't show up to hear from the public?  
https://t.co/ugxhs4hTOM"
662273884528451584,2015-11-05 14:22:53,"RT @shepherdexpress: Check out our Q&amp;A with @ChrisJLarson on why he's running for #Milwaukee County executive.
https://t.co/myJjEmcUCV http…"
662273702185291776,2015-11-05 14:22:09,"@MidwestPhoto If you have a good race and do the training, marathons are a lot of fun. Good luck if you make the jump!"
662019721764716544,2015-11-04 21:32:56,"Meet Sue, who saw found me just to say, ""you have to know we're really excited to have you in the race!"" #teamlarson https://t.co/SP4ttdZ42H"
662017822298644481,2015-11-04 21:25:23,"Supporters of our campaign for county executive are popping up everywhere. Sue saw me going into Walgreens,... https://t.co/owYQW1SvLg"
661927939739672576,2015-11-04 15:28:13,"Do you need to get health care coverage for 2016? The marketplace is now open! Don't delay!
https://t.co/lpUHI6bhUL"
661590427145928707,2015-11-03 17:07:04,"Thank you! Next time, it's your turn! RT @MidwestPhoto: @TheOtherMandela @Goyke4Assembly @ChrisJLarson GOOD WORK to all of you! :)"
661563490239447040,2015-11-03 15:20:01,Do you believe we have enough corruption in our state government? Have you taken action and called yet? Sharing... https://t.co/hN9v8V74Dy
661535809321967616,2015-11-03 13:30:02,"After the #MilwaukeeID press conference last night, i joined hundreds of our neighbors at the Milwaukee County... https://t.co/MIzoc0wO1s"
661336362143129600,2015-11-03 00:17:30,"Brave neighbors, speaking out for something too many of us take for granted. Let's make it happen. #MilwaukeeID https://t.co/T8Q6cmAqc6"
