id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
661735883687796736,2015-11-04 02:45:03,Abusive towing companies cause real financial pain. I introduced an amendment today to help communities crack down: https://t.co/lOZznmfyVP
661645212020834304,2015-11-03 20:44:45,.@SpeakerRyan's failure to take defunding women's health programs OFF the table is troubling. https://t.co/0ElfXixI6m #StandWithPP
661621965782937601,2015-11-03 19:12:23,Taking a stand w/ @repjohnlewis &amp; @repsandylevin to prevent private debt collectors from harassing taxpayers — https://t.co/40zTjr96xL
661574826532864000,2015-11-03 16:05:04,Congress should follow @POTUS action to #BanTheBox &amp; ensure those released from prison are given the possibility of a second chance.
660549921028767745,2015-10-31 20:12:28,Proud to join @repduckworth on the #CC2CAct to prepare the students of today for the high-skill jobs of tomorrow — https://t.co/ECOcqqJX80
660149429777793024,2015-10-30 17:41:03,Lead poisoning is 100% preventable. Is your home safe? Have your children been tested? #LPPW2015 #leadfreekids https://t.co/pkr4ep5l7h
659396987259781120,2015-10-28 15:51:07,All Md. children should have access to healthy meals. Congress needs to act! Thx @MDFoodBank for your great work.  https://t.co/wFaiMDLL56
659352490782117888,2015-10-28 12:54:18,"After months of Republican inaction, glad to see the House work its will to reopen the #ExImBank. A win for Made in America exports &amp; jobs."
659050707941650432,2015-10-27 16:55:08,"#WorkingFamilies need better pay, better work-life balance &amp; a work environment that bars discrimination. https://t.co/gjaMQhA6ZZ"
659045409973628928,2015-10-27 16:34:04,Let's support #EqualPay for women by passing the Paycheck Fairness Act. #WorkingFamilies deserve a level playing field!
659037885211938816,2015-10-27 16:04:10,Members of Congress who demand work-life balance ought to support universal paid family leave. #WorkingFamilies https://t.co/F2Pzwd1DCm
657626290061709313,2015-10-23 18:35:00,Completely agree! Shareholders deserve to know how their money is being spent. A little sunlight would go a long way https://t.co/p58LuLEIzL
657595619222028288,2015-10-23 16:33:07,"After a ""busy"" week politicizing #Benghazi &amp; putting China before our troops @HouseGOP votes to take health care away from 16m ppl. Shameful"
657589331687686144,2015-10-23 16:08:08,We cannot afford a #GOPdefault! https://t.co/5JsWsQEJK6
657586143698034689,2015-10-23 15:55:28,Is the @HouseGOP #GameOfThrones more important than protecting the full faith and credit of the US? #GOPdefault https://t.co/CjdoUc3xkW
657579926321766400,2015-10-23 15:30:46,.@housegop vote on reconciliation bill shows obsession to cut healthcare for millions of women instead of acting to avert #GOPdefault
657534744633151488,2015-10-23 12:31:14,.@thirdwayecon outlines the devastating impact a #GOPdefault would have on our economy: https://t.co/JCzmhvNzQn
657299045698969600,2015-10-22 20:54:39,Agree 100%– need to invest in the 21st CCLC program to give students more opportunities for out-of-school learning! https://t.co/2p5JltxK6P
657280345352617984,2015-10-22 19:40:20,An important milestone as we continue the march toward full equality! #LoveWins  https://t.co/hoc2VnHnia
