id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
662655030604857344,2015-11-06 15:37:25,RT @TheDemocrats: Another month of job growth to celebrate! #Progress https://t.co/S69NzfSSxy
661694327215681537,2015-11-03 23:59:55,RT @TXDemParty: STAY IN LINE. Your voice will be heard. #YesOnProp1 #HERO https://t.co/k6ewak2AzE
661691698305564672,2015-11-03 23:49:29,Hillary ❤️'s HERO. Over an hour to vote Texas! #Prop1 #TexasVotes  https://t.co/gcx2K8LBRd
661624244413968384,2015-11-03 19:21:26,"If you're confused on the proposed Constitutional amendments, @ProgressTX made this handy voter guide! #ElectionDay
https://t.co/ze7RMMjJsi"
661557364785442816,2015-11-03 14:55:41,Props on props on props. It's E-Day in Texas! Find your polling station here: https://t.co/bQeVIEe4zQ
659839467583205376,2015-10-29 21:09:22,We are proud of @SheriffLupe and gladly say we #StandWithLupe https://t.co/ssanZm5BQU
659805875406659584,2015-10-29 18:55:53,We can all agree with Secretary Clinton.  https://t.co/SfnH0gzDUo
658290612483985408,2015-10-25 14:34:47,"RT @CrystalKPerkins: @CollegeDemsTX Thx for having me! Now get out there organize, register, &amp; GOTV! Students are pivotal this election!  h…"
658290494351347712,2015-10-25 14:34:18,@Brittney_Irene_ Our Spring Convention will be at UT Austin!
658108850747260928,2015-10-25 02:32:31,@Brittney_Irene_ You were missed!
658079543626850304,2015-10-25 00:36:04,RT @JamarrBrown: Great time today @ the @CollegeDemsTX convention. It is always a privilege to share w/ future political ldrs! #TCD15 https…
658043318828273664,2015-10-24 22:12:07,That's a wrap for #TCD15! See you all in the spring for our next convention 💙
658042901788659712,2015-10-24 22:10:28,"""It all starts with you. You are the change makers."" - @hdrewgalloway in his closing statements for #TCD15."
658037806850113536,2015-10-24 21:50:13,"Loved having you, thank you for sharing your knowledge! #TCD15  https://t.co/XntQptse9n"
658037221459562496,2015-10-24 21:47:53,.@hdrewgalloway closes out the #TCD15 lectures with a talk on Texas Civic Health. https://t.co/3nLiCpUF1s
658027615467368448,2015-10-24 21:09:43,"""Life After TCD"" Q&amp;A with @hdrewgalloway, @kbthoang, and @JamarrBrown! #TCD15 https://t.co/d5DNZBCOya"
658014172823752704,2015-10-24 20:16:18,"During @PPTXVotes issue briefing: ""How was the 84th Texas Legislative Session? It was a hot mess."" -@JamarrBrown https://t.co/YzJ2lcskh1"
658012856441417728,2015-10-24 20:11:04,Planned Parenthood Issue Briefing by Mabel and @JamarrBrown of @PPTXVotes going on right now! #TCD15 https://t.co/WCNZAj1QTH
658012223206395904,2015-10-24 20:08:33,Happening now: Millennials and Civic Engagement with @hdrewgalloway! #TCD15 https://t.co/6ouf5yzMQq
