id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
662764949220032512,2015-11-06 22:54:12,"RT @POTUS: Every American deserves quality, affordable health care. If you or a friend needs coverage, go to https://t.co/PJ7xIL6FjY and si…"
662764554003324928,2015-11-06 22:52:37,"RT @TheDemocrats: Rubio just became more dangerous for the future of immigrant families, saying DACA must end: https://t.co/nbCNEU4pOc http…"
662764481932603393,2015-11-06 22:52:20,"RT @TheDemocrats: Under this Democratic president, unemployment has decreased to 5%. Let's elect another Democrat in 2016: https://t.co/qYa…"
662764471937589248,2015-11-06 22:52:18,RT @TheDemocrats: Marco Rubio is on the wrong side of immigration for the country—just like the rest of the Republican field. https://t.co/…
662318440061997056,2015-11-05 17:19:56,#TBT to substance and serious discussion. #DemDebate https://t.co/0nXSYeRDlO
661995319702360065,2015-11-04 19:55:58,"RT @TheDemocrats: RT if you agree that we can and should make our criminal justice system smarter, fairer, and more effective. https://t.co…"
661973210511093764,2015-11-04 18:28:06,"RT @TheDemocrats: Marco Rubio this morning: ""We're not going to pass comprehensive immigration reform in this country."" Watch → https://t.c…"
661737570921938944,2015-11-04 02:51:46,RT @TheDemocrats: RT if you're proud to have cast a ballot today! #ElectionDay https://t.co/9sjRDxLrfX
661651880074981376,2015-11-03 21:11:15,RT @TheDemocrats: Trying to vote in Virginia? #VAvotes  https://t.co/aFoTda2Zae
661651855307612160,2015-11-03 21:11:09,RT @PADems: Make a plan to vote. Find your polling place: https://t.co/M97s50hgVg https://t.co/jMmR8yzmCW
661651699065561088,2015-11-03 21:10:32,RT @TheDemocrats: ☑︎ #ElectionDay https://t.co/EGjd2dzdy6
661651677666217984,2015-11-03 21:10:27,"RT @OHDems: Pretty much how we feel every Election Day

#GOTV #OHDEMS #DemMainSt https://t.co/R4RNqC4doH"
661651654710706177,2015-11-03 21:10:22,RT @KyDems: Polls are open until 6pm! Find your polling location ➞ https://t.co/q231mlaZZr #kygov #kypolitics https://t.co/8tKUEYaDsL
661651635584806912,2015-11-03 21:10:17,RT @TheDemocrats: RT and tag three friends to ask them to vote. #ElectionDay https://t.co/IqP97oBSib
661651616219705344,2015-11-03 21:10:12,RT @TheDemocrats: Decisions are made by those who show up. Make sure you vote today. #ElectionDay https://t.co/1ZaYziFDcy
661647413753552896,2015-11-03 20:53:30,Still no solutions to student debt at the #GOPDebate. We need a president who takes college affordability seriously. https://t.co/lPLVmtkJEK
660544175176183809,2015-10-31 19:49:38,RT @TheDemocrats: 🎃 🍬 👻 https://t.co/dFQA5Yop25
660543997983592448,2015-10-31 19:48:56,RT @TheDemocrats: What's the GOP giving Americans for Halloween? https://t.co/P5UoMDcE8j
660543736464539648,2015-10-31 19:47:53,Have a Happy Halloween! https://t.co/wPx9MwixVO
