id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
662691301171810305,2015-11-06 18:01:33,"RT @gwenifill: I've said it before. I've said it again.
 I love Fridays 
#KeystoneXL #JobsReport #2016
Tonight @washingtonweek  #shakingthi…"
662409170902245376,2015-11-05 23:20:27,Come #KickAss with us and @MichiganDining tonight at 8pm!
662375909220044800,2015-11-05 21:08:17,We are at the #diversitysummit are you? #umichtalks https://t.co/ypyVnyBOF3
662328633072197632,2015-11-05 18:00:26,DEMS! DONUT! THURSDAY! #DemsDonutThursday #1MoreHour https://t.co/hLs8oIrojU
662303048681824257,2015-11-05 16:18:46,#tbt to 2004 when Jake Gyllenhaal realized we are so cool he wanted our t-shirt! 🍩Donuts🍩 in Mason… https://t.co/TQdE1umrr2
662294231646666752,2015-11-05 15:43:44,"🍩🍩🍩🍩🍩 Delicious Washtenaw Dairy donuts in Mason Hall RIGHT NOW! Until 3pm, only $1 🍩🍩🍩🍩🍩 https://t.co/saTKT8EzK5"
662286272619237376,2015-11-05 15:12:06,The #umich #DiversitySummit starts today at 4pm! more at https://t.co/FoQDtxyLqv #betherebeheard https://t.co/9sKHNIK005
662140578445045760,2015-11-05 05:33:10,@michigandaily on yesterday's city council election w/ quote from @cooberstone  https://t.co/h5C9T7lnS2
662085844556242944,2015-11-05 01:55:40,RT @SonOf_TheLaw: @CollegeDemsatUM ThoughtfulDems being thoughtful. https://t.co/rJp5XnGzBN
661745886058438656,2015-11-04 03:24:48,We L💗VE how so many of our members showed up to the polls today - even if many of the seats are not… https://t.co/s83x14DO4X
661702306279366656,2015-11-04 00:31:38,T-30min until polls close! Makes sure you go #vote this #ElectionDay !
661686263729229824,2015-11-03 23:27:53,Ward 3- East Quaders #vote in the League ! https://t.co/c5jbXHEXe5
661618332840407040,2015-11-03 18:57:57,Happy #GOTV #phonebanking ! Polls are open until 8pm in #AnnArbor  #ElectionDay https://t.co/EymjVCvtMw
661590543521193984,2015-11-03 17:07:31,It's #ElectionDay ! Check your registration and polling place here https://t.co/bS4zpakiof Make your voice heard! #VoteLocal #gobluevoteblue
661406238417297409,2015-11-03 04:55:10,RT @HVCLC_AFLCIO: Good to see UM College Dems getting out the vote!  @CollegeDemsatUM  https://t.co/k4bdhshnPL
661399726433148928,2015-11-03 04:29:17,Be super local like FemDems co-chair @Sarah_Nuyen and #VOTE tomorrow! https://t.co/v7KZl97XBM
661311329450487808,2015-11-02 22:38:02,T-25 until #GOTV meet at the Cube at 6!
661296522483601408,2015-11-02 21:39:11,"We care about who represents our community, too! That's why we want you to head to the polls tomorrow to #voteblue https://t.co/dACfW8wAU2"
661218334059462656,2015-11-02 16:28:30,"In local elections, one vote can determine a winner. Vote tomorrow and make a difference in your community! https://t.co/vdj9uJpUeG"
