id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
663138256633110528,2015-11-07 23:37:35,RT @TheDemocrats: You and a friend could join them in Iowa next weekend. Enter to win! https://t.co/bb94skC22C https://t.co/dbn1NAo3ce
663138170285006856,2015-11-07 23:37:14,RT @TheDemocrats: 68 straight months of private-sector job growth &amp; unemployment at a 7-year low. That's progress worth celebrating. https:…
663131254905245696,2015-11-07 23:09:46,"RT @TimboDWhite: I was honored to meet the next US Senator for Alabama, Ron Crumpton. https://t.co/GjHg9V4ojT"
663129109338394624,2015-11-07 23:01:14,RT @NotJesseBrdford: In Montgomery listening to the Ragin' Cajun himself! James Carville speaking on behalf of the Hillary campaign. https:…
663126010284670976,2015-11-07 22:48:55,"RT @AllenHenry: ""Who's this woman from Alabama asking 'Were you home alone that night?!'"" Carville referencing @RepMarthaRoby https://t.co/…"
663125936188039168,2015-11-07 22:48:38,RT @AllenHenry: Standing ovation for James Carville https://t.co/ibFiTeTNlX
663125128910413824,2015-11-07 22:45:25,"RT @AllenHenry: Longabaugh talking @BernieSanders numbers. 1.5 million donations from 800,000 people, not corps. Over $40 million. https://…"
663125027819274244,2015-11-07 22:45:01,"RT @AllenHenry: James Carville is definitely living up to his nickname ""The Ragin' Cajun"" https://t.co/rLRxfn0e3Z"
663121761098166272,2015-11-07 22:32:02,RT @AlaYoungDems: Our treasurer @lance0284 talking to @aldemocrats about the importance of a strong message. #2016 #democrats https://t.co/…
663121718198861825,2015-11-07 22:31:52,"RT @AllenHenry: James Carville, ""the Ragin' Cajun"", LSU alum and @HillaryClinton adviser is in Alabama for @aldemocrats today! https://t.co…"
663121303726071808,2015-11-07 22:30:13,RT @AlaYoungDems: Our Pres. @seclayton5 and @ALCollegeDems Pres. @kyle_c_campbell hanging with @JamesCarville at @aldemocrats luncheon http…
663121267986407426,2015-11-07 22:30:05,RT @ALCollegeDems: We're thrilled to be in Montgomery to meet fellow Democrats and hear from James Carville today! https://t.co/OIhYK0H6MY
663121087899828225,2015-11-07 22:29:22,James Carville spoke today at the AL Democratic Party Yellow Dog Luncheon @HowardKoplowitz https://t.co/FwgYYCw3ec https://t.co/GiidBq12GM
663115053076492288,2015-11-07 22:05:23,RT @AllenHenry: Dozens of @aldemocrats are meeting in Montgomery this morning for #2016 training! Ballot qualifying ended yesterday. https:…
663114967399428096,2015-11-07 22:05:02,"RT @HowardKoplowitz: .@aldemocrats chair Nancy Worley on whoever is Dem nominee: ""that person is thousands of times better than any of thos…"
663114884339646466,2015-11-07 22:04:43,RT @AllenHenry: Mark Longabaugh from the @BernieSanders campaign is also in attendance at the @aldemocrats luncheon. https://t.co/N2dSWp3S3r
