id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
328232072059691008,2013-04-27 19:39:58,"RT @ElectHillary: #NRA -ever hear a suspect referred to as ""unarmed &amp; dangerous"" NO! It's being ""armed"" w/ guns that make them ""armed &…"
328225658566230016,2013-04-27 19:14:29,RT @dmcrane: New Abortion Restrictions Show Lawmakers’ Complete Contempt for Women | Common Dreams https://t.co/x225Wcv8Hw
328225209922486272,2013-04-27 19:12:42,RT @1_punny_dem: You helped a guy named Willard become just another unemployed millionaire #YouJustPulledAnObama
328225095342493699,2013-04-27 19:12:15,@bigal953 @PatJennings @DaniNierenberg @liberalincincy @RealGovt @LiberalCaliGal //TY!
328225006612004864,2013-04-27 19:11:54,@NativeSonKY YVW!
313145434602348544,2013-03-17 04:31:04,MUST WATCH: A Politician Loses It And Restores My Faith In Humanity http://t.co/Nd5eekLdy1 via @HuffPostPol
309131039190708224,2013-03-06 02:39:17,WATCH: Dog Saves Missing 3-Year-Old In Poland http://t.co/jBhIj9dMlI via @HPGoodNews
307043044132282368,2013-02-28 08:22:20,Congressman EXPLODES At Hannity: 'The Worst Excuse For A Journalist' http://t.co/uvXvkHb7Ez via @HuffPostMedia
304193016699179010,2013-02-20 11:37:21,The Era of Giant Chain Stores Is Over -- And They've Ruined America http://t.co/diWiX7BO via @HuffPostSmBiz
271178437513846784,2012-11-21 09:09:12,Check out Swag Counter on #Widgetbox http://t.co/lejE8wzd
270480768600506368,2012-11-19 10:56:55,Check out Swidget 1.0 on #Widgetbox http://t.co/WmHtFWtW
270470267007025152,2012-11-19 10:15:11,Man Allegedly Run Over For Not Voting Against Obama Faces Grim Prognosis http://t.co/WAbqzHth via @HuffPostWeird
269679648886120448,2012-11-17 05:53:33,Another Radio Company Says Limbaugh Hurt Business http://t.co/5r0vhMfW via @HuffPostMedia
268883930848038912,2012-11-15 01:11:39,@astrogirlnc @Wes445 @TruthBlooms1 @freedom2b2012 @SharonCarbine @joan_evans_nyc @LCL2012 @goodhealth10 @Berry2323Lynn // yvw! :)
268875951105007616,2012-11-15 00:39:56,"RT @TheNewDeal: The Bush Tax Cuts for the Rich Have Added $1,166,921,874,489 to Our National Debt Since 2001: http://t.co/Dgcjc8jb Rt #O ..."
268875896964911106,2012-11-15 00:39:43,"Romney Blames Loss On Obama’s ‘Big Gifts’ To Minorities, Women http://t.co/X5q2Rg9Q via @TPM"
268635310286573568,2012-11-14 08:43:43,I just won 47 Swag Bucks by Searching the web at http://t.co/UPXMVLYf.  http://t.co/ccnr45gz
268528152844849152,2012-11-14 01:37:55,RT @brontyman Liberals prepare for entitlement fight http://t.co/Tk1wtdVa
268509254850334720,2012-11-14 00:22:49,"Arizona election results: 324,362 early, provisional ballots yet to be counted

Read more: http://t.co/YLNjiq1y http://t.co/9rjlUZIg"
