id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
663085278714724352,2015-11-07 20:07:04,RT @Campaign4Kids: Thank you/congrats Champion for Children Sen. @amyklobuchar for leadership to #InvestInKids https://t.co/d7vzbIrWwO http…
663033089497669633,2015-11-07 16:39:41,"Wanted to share this touching story on the life of one Syrian refugee, a 12-year-old girl named Hana: https://t.co/EvLEfgosu7"
663005436384313344,2015-11-07 14:49:48,Good @kare11 story about a MN product that saves lives of airplane pilots &amp; passengers: https://t.co/6DEvRPgeYJ
662740598747590659,2015-11-06 21:17:26,Important @nytimes story on cost of not investing in infrastructure features collapse of I-35W bridge: https://t.co/jlcVpnh8qC
662712461733171201,2015-11-06 19:25:38,"RT @smbizrevolution: .@Amyklobuchar, TY for supporting #smallbiz.#SmallBusinessRevolution Doc: https://t.co/9ItUdDxR27. #womenventure https…"
662700408251510784,2015-11-06 18:37:44,Enjoyed speaking at @WomenVenture's 20th Annual Fall Luncheon. Does great work supporting MN's women entrepreneurs.
662663793240051712,2015-11-06 16:12:14,"Pretty amazing story: Edina tennis team wins 19th (!) state championship in a row. Nice job, girls! https://t.co/yetCVOn6dY"
662643539298373632,2015-11-06 14:51:45,Good economic news today: U.S. unemployment down to 5%; economy added 271K jobs in October. Making progress.
662420367764508672,2015-11-06 00:04:57,Called for full investigation into allegations that Army is forcefully separating for misconduct servicemembers diagnosed w PTSD or TBI.
662375161614761987,2015-11-05 21:05:19,Pushing @EPAGov to finish implementing bipartisan legislation I passed 5 years ago to protect consumers from formaldehyde in wood products.
662337570639093761,2015-11-05 18:35:57,"Important Ag hearing on impact of wildfires on state, federal &amp; private forest lands. Forest industry employs over 40k people in MN."
662316264912744448,2015-11-05 17:11:17,Happy #NationalApprenticeshipWeek! Apprenticeships offer workers chance to train for good careers &amp; get paid in the process.
662101855166705664,2015-11-05 02:59:18,Volkswagen must do right by consumers by being fully transparent during investigation &amp; disclosing all vehicles that contain defeat device.
662071948302749697,2015-11-05 01:00:27,"Did you see this? ""List of lists"" says Twin Cities best place to live in U.S.! https://t.co/CNALiFcgbP"
662061827199770625,2015-11-05 00:20:14,. @NHTSAgov's announcement that it will fine Takata $70M for dangerous airbags is a welcome step toward holding company accountable.
662040498216005633,2015-11-04 22:55:29,"Seriously, @nytimes? Between this and Grape Salad (?) I'm wondering what is wrong with your taste buds. https://t.co/tpRuCnDL5z"
662030777182498816,2015-11-04 22:16:51,"Called on Health, Education, Labor &amp; Pensions Committee to include mandatory funding for @NIH in upcoming legislation. Cures can't wait."
662022757710958592,2015-11-04 21:44:59,Good Great Lakes Task Force meeting on efforts to combat invasive carp. Important for environment &amp; Minnesota's outdoor economy.
