id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
29508385764,2010-11-02 21:47:17,Letter to Editor: Lincoln fights for seniors’ COLA payment http://giv.to/avuLL6 #ARSen
29485876928,2010-11-02 16:35:11,RT @ArkDems: RT @misskpruitt: Don't lose a chairperson in the Senate which is vital to speedy Ark aid and resources? Vote @blanche4senat ...
29485866402,2010-11-02 16:35:03,RT @ArkDems: RT @emantz12: RT @msigsby If you support Arkansas agriculture then please support @chadcausey and @blanche4senate by giving ...
29485823206,2010-11-02 16:34:31,RT @ArkBusiness: @blanche4senate casts her vote a St. James United Methodist in LR - http://bit.ly/b6mD5f #ARElections #ARSEN
29485613349,2010-11-02 16:31:54,Today is your LAST chance to vote and the polls close at 7:30 PM tonight: http://giv.to/SLHLsZ #ARSen
29485423273,2010-11-02 16:29:37,Blanche Lincoln and her Family Vote in Little Rock: http://giv.to/JqhaSO #ARSen
29485317763,2010-11-02 16:28:21,Letter to the editor: Ag-based state should keep Lincoln http://giv.to/ndspby #ARSen
29484910333,2010-11-02 16:23:29,Letter to the editor: “Lincoln has fought hard to help all of Arkansas.” http://giv.to/6KdZFt #ARSen
29434264679,2010-11-02 03:07:28,Tomorrow is Election Day! Find Your Polling Location Here: http://giv.to/zRpnA6 #ARSen
29404202746,2010-11-01 20:39:16,(Video) GET OUT THE VOTE! http://giv.to/XeXyb7 #ARSen
29403251791,2010-11-01 20:25:06,With Blanche Lincoln's support (John Boozman voted 'no' to funds) RT @KARK4News Arkansas Childrens Hospital Wins Grant http://bit.ly/9VTj4g
29401361663,2010-11-01 19:56:20,RT @ARSecofState: Election Day is tomorrow! Polls open are open from 7:30 a.m. to 7:30 p.m. Visit www.votenaturally.org for helpful Elec ...
29400773528,2010-11-01 19:47:17,"Stuttgart: State Rep. Tiffany Rogers - ""Arkansas County needs Blanche Lincoln, WE need Blanche Lincoln - and we're closing the gap!"" #ARSen"
29400697287,2010-11-01 19:46:07,"In Stuttgart, the Mayor, County Judge, State Rep, and over 40 local residents gathered to support Blanche Lincoln in Arkansas county. #ARSen"
29400639287,2010-11-01 19:45:14,Blanche Lincoln Outworks John Boozman: http://giv.to/ibHxv5 #ARSen
29400560722,2010-11-01 19:44:03,USDA Crop Assistance Program sign up is now in progress: http://giv.to/58rli1 #ARSen
29400505555,2010-11-01 19:43:12,Congressman John Boozman Flies Around While Giving Arkansas Cities the Run Around: http://giv.to/osQOlR #ARSen
29399745213,2010-11-01 19:31:30,"Young voter calls Lincoln's loyalty to Independence County, students ""unyielding"" http://giv.to/I4Y2yC #ARSen"
29385183993,2010-11-01 16:05:27,"Letter to the editor: Lincoln’s A+, Boozman’s C show who supports troops http://giv.to/WXjv3t #ARSen"
