id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
658489584909553664,2015-10-26 03:45:25,RT @dparkermontana: Miss Face the State this morning with @brianschweitzer? That's OK. It's up online! #mtpol #mtnews Watch here: https://t…
657689690368151552,2015-10-23 22:46:56,RT @MartinOMalley: “I believe [O’Malley] is the best candidate to take on Republicans in November 2016.” - @brianschweitzer https://t.co/V1…
657611503370002432,2015-10-23 17:36:14,"Going west on Sun, Oct 25 to  Missoula Fact &amp; Fiction bookstore 1-3pm for https://t.co/l7AaDJC2ld. Bozeman/Billings tomorrow! #mtnews #mtpol"
657189277227323392,2015-10-22 13:38:28,"https://t.co/l7AaDJC2ld in Bozeman, Sat. Oct 24, 10-1 Hastings &amp; in Billings, Sat Oct 24, 3-6, Hastings. It's been great fun! #mtnews #mtpol"
656497441936506880,2015-10-20 15:49:21,"Join me at https://t.co/l7AaDJC2ld book signings in Butte Weds Oct. 21 11:30am-1:30pm, Burros Club; Fri Oct. 23, 3pm-5pm, Hastings. #mtnews"
656496593844047872,2015-10-20 15:45:59,I enjoy visiting with reporters and editors https://t.co/nUiyasAwUz about https://t.co/l7AaDJC2ld &amp; energy independence. #mtpol #mtnews
655435087056539649,2015-10-17 17:27:56,"Thank you for the great welcome, Flathead Valley! Read about my book http://t.co/VfgWAmurcy in the Daily Interlake: http://t.co/Jls7oEvQM4"
655062003598266368,2015-10-16 16:45:26,Whitefish-see you tomorrow October 17th for a book signing.10am -12pm @ Whitefish Theatre Co. 1 Central Ave .#mtpol http://t.co/gVZh9aEmv6
655059179049127937,2015-10-16 16:34:13,RT @AdamJamesAuthor: @brianschweitzer Your book is amazing! And what candid remarks about the Saudis. Totally agree. Enough with these guys…
654335129683255296,2015-10-14 16:37:06,"Join me at book signing Whitefish Sat. 10/17, 10-12, 1 Central Ave. Power http://t.co/6xjQuGpxEQ is about the evolution of battery power!"
653643971021811712,2015-10-12 18:50:41,RT @NBroadcasting: 101215 Voices of Montana w\Jon Arneson feat. Brian Schweitzer Part 2: Former Governor Brian… http://t.co/DBFTfvKcZq
653643772736090112,2015-10-12 18:49:54,RT @NBroadcasting: 101215 Voices of Montana w\Jon Arneson feat. Brian Schweitzer Part 1: Former Governor Brian… http://t.co/fsjkLOg0QJ
653577873748398080,2015-10-12 14:28:02,Today (9am MT) I'm on Voices of Montana talking about energy. Live stream: http://t.co/eux0rw4F8F or tune in to Northern Ag stations.
652622125400920067,2015-10-09 23:10:14,RT @mikedennison: You've heard about ex-Gov. Schweitzer's book on energy -- read the details here: http://t.co/5TuiGQijtg #mtleg #mtpol
652572450987753472,2015-10-09 19:52:51,"Great Falls-see you tomorrow for my http://t.co/VfgWAmurcy book signing.  Sat, Oct 10th 4-7 @ Hastings.  Stop on by! #mtpol #mtnews"
