id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
663022459206148101,2015-11-07 15:57:27,RT @SiliconHarlem: Searching for the American Dream in Harlem https://t.co/FmdWjPh1fH #4harlem @cbrangel @galeabrewer @HarlemTrends https:/…
663022419590963200,2015-11-07 15:57:17,RT @HarlemCARES: @cbrangel FREE Registration is open for our Prospective Mentor Info.Session Tues. 11/10. https://t.co/8OSibmJaPd
662655347258191872,2015-11-06 15:38:40,RT @RepDelBene: RT if you oppose a taxpayer-funded @HouseGOP Select Committee fixated on dismantling women’s health. #StandWithPP https://t…
662633563666456576,2015-11-06 14:12:07,"Oct hiring surges &amp; Jobless rate falls to 5% but Blacks, Latinos &amp; youth unemployment remains almost 2x high. Need #opportunity4all"
662395778040729601,2015-11-05 22:27:14,Looking for a job? RSVP to 2015 Rangel Career Fair at https://t.co/vworEJ5j2Y More than 70 employers! https://t.co/52omvrfguA
662322749378048000,2015-11-05 17:37:03,My #newwebsite is now LIVE &amp; it likes smartphones- hope u like it too! Check it out at https://t.co/cStD0wrnzN https://t.co/z2tLxbrsZm
662312043047952384,2015-11-05 16:54:30,Congressman Rangel speaks on the Restore Honor to Service Members Act: https://t.co/H5mXUG5iaS via @YouTube
662288194277347332,2015-11-05 15:19:44,"RT @repmarkpocan: Standing with @cbrangel, @SenBrianSchatz, @HRC to support the Restore Honor to Service Members Act https://t.co/o1Ew04KOwO"
662288013511233536,2015-11-05 15:19:01,Love is NOT dishonorable. Support our Restore Honor to Service Members Act. @repmarkpocan @SenBrianSchatz https://t.co/8k4VKwAbGz
662275502930022400,2015-11-05 14:29:19,Today10am HouseTriangle: @repmarkpocan @SenBrianSchatz &amp; I press upon our bill to Restore Honor to LGBT vets https://t.co/sj7Ru3Ty9L
662006898229690368,2015-11-04 20:41:58,"#RIP my colleague &amp; Korean War veteran, former Rep. Howard Coble. Thank you for your service to our nation. https://t.co/xRTS6mFjvN"
661689918721257472,2015-11-03 23:42:24,It's not too late to go vote on #ElectionDay! Polls in #NY close at 9pm. Find your polling place here: https://t.co/T77MISAxk1
661650971584503808,2015-11-03 21:07:39,It's Election Day! Exercise your right to vote. Check out https://t.co/R7WzNXlXx2 to find your local races in NYC #electionday
661606626353356800,2015-11-03 18:11:26,Congress must #RestoreTheVOTE so that every voice is heard. #RestorationTuesday https://t.co/uLGAkLbuPb
661555025756463104,2015-11-03 14:46:23,"RT @FrankPallone: As we enter Open Enrollment, the ACA continues to ensure quality, affordable health care for millions. #ACAWorks! https:/…"
661312611678601216,2015-11-02 22:43:07,Greeting students  of @Columbia_Biz Global Exec Program in DC. Thx for supporting Boys&amp;GirlsClub of #Harlem! https://t.co/XwLT9mbGcD
