id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
627566599382376449,2015-08-01 19:48:31,RT @shellbelle1022: .@BofA_News There is nothing charitable about giving money to Planned Parenthood. #DefundPP #PJNET http://t.co/UkVzZxcz…
626925727498244096,2015-07-31 01:21:55,Hillary throws Planned Parenthood under the bus  http://t.co/4K5xKvrHCE #PPSellsBabyParts #tcot #PlannedParenthood
572601797442969601,2015-03-03 03:38:01,"Hillary Clinton Used Personal Email at State Dept., Possibly Breaking Rules http://t.co/n5jw6ZeNnQ  - How about breaking the law?"
572509575842295808,2015-03-02 21:31:34,"Libs Already Regret Net Neutrality; Google to Filter Search Results by ""Fact"" http://t.co/M1GAolypwJ"
571083691692331008,2015-02-26 23:05:36,"RT @TenthAmendment: Montana State House Passes Bill to Ban #CommonCore.  @FreedomWorks 
@AFPhq @TruthinAmEd http://t.co/MFyIWZCmcP http://t…"
493501185819963392,2014-07-27 21:00:26,Moses the Unaccompanied Minor and the Ten Plagues http://t.co/1NysvZ7dPB
493493357671641088,2014-07-27 20:29:19,Hillary Will Refuse to Hand Over Her Benghazi Notes to Trey Gowdy [VIDEO] http://t.co/PKKRSJ4Fxv In her mind she is above the law  #tcot
493424829325144064,2014-07-27 15:57:01,"Protesters Swarm Beacon Hill, ‘Livid’ Over Illegal Immigration - Massachusetts news http://t.co/LHoOIZvR1s"
493383123695316993,2014-07-27 13:11:17,Emergency legislation gives UK authorities NSA-like powers - Telecoms Tech http://t.co/1oYIZw2c8l
492845526711152640,2014-07-26 01:35:04,Largest Illegal Immigration Contractor BCFS Busted For Failing To Disclose Lobbying Activity….  http://t.co/BWyITjTlkX
492051698253594624,2014-07-23 21:00:41,15 Natural Remedies for Back Pain  http://t.co/qHyzhGXgaq
491975276042010624,2014-07-23 15:57:00,'Witch Hunt': Fired MSNBC Contributor Speaks Out on Suppression of Israel-Palestine Debate  http://t.co/iDeAz9dteY
491933533317787649,2014-07-23 13:11:08,How Banks Continue to Double Fractional Reserve Practices  http://t.co/rkguoBkxa1
487703044856238080,2014-07-11 21:00:41,"Transparency?  Sure, maybe if you were living in a banana republic!"
486978202129412097,2014-07-09 21:00:25,"""Everyone in the world knows that the border between the United States and Mexico is completely porous."""
385374172819767296,2013-10-02 12:02:17,@OBAMA_CZAR Also gives them access to personal and medical records.
385373730995961856,2013-10-02 12:00:32,@stacyhyatt Of course they did!  Then blame someone else for all their failures!  #HarryReidsShutdown
385372216843853824,2013-10-02 11:54:31,#JohnBeale...epitome of gov't corruption #EPA has no answers!  #tcot #teaparty
385362726903902208,2013-10-02 11:16:48,"RT @robertcostaNRO: What's notable: this isn't abt Obama for most Hill folks involved. He's non-essential. It's part of brutal, long war bt…"
