id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
662802958434902016,2015-11-07 01:25:14,We have completely updated our website with delegate and candidate qualifiers. We appreciate your patience while we updated the website!
662798294242996224,2015-11-07 01:06:42,Update: @RickSantorum delegates are completed and posted on our website.
662797006344187909,2015-11-07 01:01:35,Update: @RandPaul and @JohnKasich delegates are completed and posted on our website.
662795617933074432,2015-11-07 00:56:04,"Update: @CarlyFiorina @marcorubio and @JebBush delegates are completed and posted on our website. 
https://t.co/eG6cByY1St"
662793067901165568,2015-11-07 00:45:56,Update: @GovMikeHuckabee and @realDonaldTrump delegates are completed and posted on our website.
662791303638446080,2015-11-07 00:38:55,"Update: @RealBenCarson and @tedcruz delegates are completed and posted on our website. 
https://t.co/eG6cByY1St"
662783298205298688,2015-11-07 00:07:06,RT @ChairmanLathan: All @Algop candidates are online https://t.co/MFIND69Z21 -finishing up over 400 Presidential delegates! #alpolitics htt…
662780813679947776,2015-11-06 23:57:14,We are currently working to finish posting our delegate places. We will keep you posted as to when we have completed our delegate lists.
662780570527735808,2015-11-06 23:56:16,"For those following our website, we are up to date posting our qualified candidates."
662780420661096448,2015-11-06 23:55:40,Candidate and delegate qualifying ended as of 5pm.
662724433484759041,2015-11-06 20:13:12,.@ChairmanLathan has also met reps from @realDonaldTrump @ChrisChristie and @RickSantorum accepting qualifications https://t.co/WquJqESqdU
662677174361673729,2015-11-06 17:05:24,RT @ChairmanLathan: Want to see who is qualifying at the @ALGOP ? Go to https://t.co/MFIND69Z21 (election tab) #alpolitics https://t.co/2Si…
662393025121951744,2015-11-05 22:16:18,RT @ChairmanLathan: An honor to welcome &amp; qualify @GovMikeHuckabee to our @ALGOP @SECPrimary ballot! #2016 #algopres https://t.co/3Z7I7HmgKb
662370624820649984,2015-11-05 20:47:17,.@GovMikeHuckabee qualifies at ALGOP HQ for the @SECPrimary #ALGOPres #alpolitics https://t.co/oSY4SMnJ6X
662358112708517889,2015-11-05 19:57:34,.@GovMikeHuckabee visits the HQ to file his qualifications for the AL primary ballot. #ALGOPres #alpolitics https://t.co/m2uJoteBWr
662026926924636160,2015-11-04 22:01:33,RT @abc3340: #LiveOn3340: @heidiscruz qualifies husband @tedcruz for Mar. 1 @ALGOP primary ballot in Hoover https://t.co/ld2wgglLcR
661973917255475201,2015-11-04 18:30:55,"Mrs.Heidi Cruz qualifies @tedcruz for ballot. Pictured w/ALGOP @ChairmanLathan, steering committee members, &amp; staff https://t.co/fJJnwgYjlj"
661965129777610752,2015-11-04 17:56:00,"An ALGOP welcome to Mrs. Heidi Cruz as she qualifies her husband, @tedcruz for the March 1st ballot. #alpolitics https://t.co/N9ZEQF6cxn"
