id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
662715300194836481,2015-11-06 19:36:54,".@RobertSGraham: Voters Recall Glendale City Councilman, Elect Republican Activist Ray Malnar https://t.co/lDWyJc6vm8"
661763568858083328,2015-11-04 04:35:04,.@RobertSGraham: Ohio Voters Reflect Arizona Republican Values: Voters Handily Reject Marijuana Legalization https://t.co/sqy8xtmsvH
661690483471585280,2015-11-03 23:44:39,Arizona drops #PlannedParenthood from charitable campaign. https://t.co/9HtsAnYWDb @dougducey #ProLife #AZ
661283181459456000,2015-11-02 20:46:11,".@RobertSGraham: Ann Kirkpatrick’s “Not Budging” on Support of Obamacare so 59,000 Arizonans Lose Health Insurance https://t.co/zUtzmWhF7K"
660482083429609473,2015-10-31 15:42:54,"Although uncompleted, Mount Rushmore stands as an incredible accomplishment to honor some of our US Presidents. https://t.co/H4E4kd32Jh"
660207746139066368,2015-10-30 21:32:47,$3.5 Billion has officially been allocated to K-12 schools WITHOUT raising taxes. #DougDucey #AZLEG https://t.co/RnBfd9PlP5
660178352335028224,2015-10-30 19:35:59,#AZLEG has approved Gov @dougducey's $3.5B Education K-12 Funding Plan. He's expected to sign the plan at 1PM today. https://t.co/fzWUyNYZYq
660143773234565120,2015-10-30 17:18:35,Here is the most recent poll of who Arizonans support for the GOP Presidential Nomination. Who are you supporting? https://t.co/hBRolNTB48
659818194203312128,2015-10-29 19:44:50,"Congratulations to Representative Paul Ryan on being elected to Speaker of the U.S. House! ""Retweet"" if you approve! https://t.co/I41w8woIdv"
659548962601340928,2015-10-29 01:55:01,Take our poll: Who do you think won the GOP Presidential Debate this evening? https://t.co/hfxJAzx3Ub https://t.co/Bc9VS0DMrF
659504968844480512,2015-10-28 23:00:12,1 hour left until the GOP Presidential Debates begin! Who will you be supporting? https://t.co/3Ba5g2lVHe
659176506342543360,2015-10-28 01:15:00,The 3rd GOP Presidential Debate is tomorrow night! Be sure to tune in and help decide our next Presidential Nominee. https://t.co/1SwoCnHPN3
655742858750627840,2015-10-18 13:50:55,Chairman @RobertSGraham was at the Navajo Parade in Tuba City! Great time riding with the Navajo Tribal Council. http://t.co/3tfwwq23g3
654437917306130432,2015-10-14 23:25:33,".@RobertSGraham: Stinging from Defeat, Disaffected Democrats Seek New Election System http://t.co/HDLEMXytGw"
654099350314881024,2015-10-14 01:00:12,We are proud to wish our men and women in the U.S. Navy a Happy 240th Birthday! http://t.co/4CYFEeuW7Y
652506326396854272,2015-10-09 15:30:05,Our 3rd Presidential Debate watching party is on Oct 28th! Be sure to reserve your tickets. http://t.co/TzNxSs2m8O http://t.co/3FlOO66KS9
652287371065491456,2015-10-09 01:00:02,Hillary is facing a trust deficit among voters in swing states. #tcot http://t.co/scSPMKFJBl
