id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
662989272019034116,2015-11-07 13:45:34,US court keeps disputed Texas voting maps for 2016 | The Associated Press https://t.co/Qu03cf6gsz #redistricting
662827719705645056,2015-11-07 03:03:37,Eight maps that explain Tuesday's election - Houston Chronicle https://t.co/NGYBkOyQYw
662810803809214464,2015-11-07 01:56:24,Obama rejects Keystone pipeline - https://t.co/c4H4U9MqyJ https://t.co/E7Re36V3bT
662801597454557185,2015-11-07 01:19:49,"No, Ben Carson Didn’t Lie About West Point. It’s Another Hit Job. | Daily Wire https://t.co/Km0OrjfozX"
662432781545377792,2015-11-06 00:54:17,"Christie, Huckabee miss main debate stage cut https://t.co/aHcYVa2naS"
662423743763992577,2015-11-06 00:18:22,Bernie Sanders' rise is causing panic among Democratic centrists https://t.co/ht2k4tgpRT # via HuffPostPol
662413310281834497,2015-11-05 23:36:54,The Path to a Wild GOP Convention https://t.co/PMWdT6msPu via @WSJ
662378566378762240,2015-11-05 21:18:51,RT @TexasVLB: We have #VeteransDay events at #TXVeterans homes/cemeteries/main office posted on our website. https://t.co/Jbe9gLnmOo @txglo…
662087160120627200,2015-11-05 02:00:54,U.S. warship gets named after fallen soldier from Mexico - Fusion https://t.co/rUhEKpMaMg
662082039450071041,2015-11-05 01:40:33,This new poll gets to the bottom of why Republicans seem so angry in this election - The Washington Post https://t.co/D1OaGbeZAL
662067274132660224,2015-11-05 00:41:53,Off-year elections reveal a 2016 map with sharper borders - The Washington Post https://t.co/FvmFdJiIOa
662049382850822144,2015-11-04 23:30:47,Why marijuana legalization will still be a potent issue in 2016 - The Washington Post https://t.co/eCk6xlEVI9
662048296114982912,2015-11-04 23:26:28,Voters approve issue to reform Ohio's redistricting process | The Columbus Dispatch https://t.co/RAnlQuKIww
662042955440590849,2015-11-04 23:05:15,Mexico’s Supreme Court Opens Door to Legalizing Marijuana Use - https://t.co/mBJREWiUvO https://t.co/OKCzbTce2K
661890219583660032,2015-11-04 12:58:20,Turner Will Face King in Runoff for Houston Mayor https://t.co/BzCp799rTQ via @TexasTribune
661882291325706240,2015-11-04 12:26:50,Marco Rubio's Past Immigration Efforts Haunt His Presidential Ambitions - Bloomberg Politics https://t.co/6TR0y0DHBz
661860791805714432,2015-11-04 11:01:24,In da gym anyway - Brisk walks are BETTER at keeping weight off than going to the gym | Daily Mail https://t.co/X9Hy49z5nq
661723716376616960,2015-11-04 01:56:42,RT @TexasTribune: .@SylvesterTurner captures early lead in Houston mayoral race https://t.co/JV0aP5RY5E via @PatrickSvitek #txlege https://…
661686892451258369,2015-11-03 23:30:23,FiveThirtyEight: “How Democrats Suppress The Vote” |  https://t.co/xstBu4wnbP
