id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
662640092582842370,2015-11-06 14:38:03,The president must do what's necessary when fighting in Syria. Victory needs to be the goal not consistency.https://t.co/0iaC9Z4QI0 @FoxNews
662383164543733760,2015-11-05 21:37:07,I went On The Record to discuss the ludicrous $43M gas station in Afghanistan paid for by your tax $$ --https://t.co/SO36XnRcPS cc: @greta
662289961505259520,2015-11-05 15:26:46,Talking about what the Delta Force is and what they do with @CNN -- https://t.co/e9hobLQkeV
662002634698551297,2015-11-04 20:25:02,"In another Syria development, Russians are moving special ops into the country &amp; bombing U.S. trained rebels there--https://t.co/N96KbLVtuq"
661896705495842816,2015-11-04 13:24:06,FINALLY the president approves sending special op forces into Syria to fight ISIS -- https://t.co/gqnJd4JIMr
661654865186189313,2015-11-03 21:23:07,The President needs to mourn our Delta Force loss in Iraq and then affirm it was the right strategic decision -- https://t.co/e9hobLQkeV
661609297340559361,2015-11-03 18:22:03,"At this point, is it really shocking Iran would violate U.N. Sanctions? Nope. https://t.co/Y9rCECn1JP"
661562112825761792,2015-11-03 15:14:33,Ever wonder what it looks like from the other end of a news hit? This..Joining @marthamaccallum in  @AmericaNewsroom https://t.co/dFGE7NGTUm
661548947282853888,2015-11-03 14:22:14,New read by @kilmeade 'Thomas Jefferson and the Tripoli Pirates.' Just started it -- can't wait to dig deeper -- https://t.co/wiOBrFLMZm
661298259101528064,2015-11-02 21:46:05,IL &gt; federal government when it comes to educating our children -- https://t.co/NH9CF17Wz1
661252879496318976,2015-11-02 18:45:46,"Obama has been obsessed w/talking about what we won't do in the ME, we need to be talking about what we will do.VID: https://t.co/y7Z6yiGwLf"
661207179588935680,2015-11-02 15:44:10,Hilary Clinton is giving Obama's economy an A... is she living on the same planet as the rest of us? https://t.co/s3gjZmJdpR
659547729509552128,2015-10-29 01:50:07,.@JebBush is THE candidate with a proven conservative record &amp; the bold leadership needed to fix the problems Americans face. #CNBCGOPDebate
659530617168637952,2015-10-29 00:42:07,There's a clear contrast btween @JebBush's conservative agenda &amp; vision w/Clinton’s strategy to continue the failed policies of Obama Admin.
659485304345116673,2015-10-28 21:42:03,I am excited to hear what our GOP candidates are going to do to help families across this country live the American dream. #CNBCGOPDebate
659350160854532097,2015-10-28 12:45:03,Paul Ryan is a good conservative who works across the aisle. We need his brand of leadership in Congress. https://t.co/lLP148dvkC
659138786572414977,2015-10-27 22:45:07,America writing the rules in the Middle East is far better for the world than Russia doing it. WATCH: https://t.co/ordYuHmopB
659047935460507648,2015-10-27 16:44:06,Always great being on with @wolfblitzer. More from the discussion on Russia &amp; the Middle East here: https://t.co/ordYuHmopB
658992309325819905,2015-10-27 13:03:04,Happy for @RepPaulRyan who has been a unifying force in our party. Looking forward to what's to come.
