id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
309459929507442688,2013-03-07 00:26:11,"RT @RainyDayPatri0t: @SenatorSessions Please give good friend &amp; colleague,SenatorPaul, a break on Senate Floor  #Teaparty #tcot #filibuster"
306463461490176000,2013-02-26 17:59:17,RT @anitamoncrief: #Hagel just another nail n America's coffin.We need elected officials that see warning signs&amp;heed them @senshelbypress
204022987719065601,2012-05-20 01:37:25,"@ACLUAlabama hate our borders, sovereignty, Birth Right, own US/Al Citizens,hate who! #alpolitics  @alimmigrant WE LOVE LEGAL IMMIGRANTS"
195872375307382786,2012-04-27 13:49:48,RT @RainyDayPatri0t: New Editorial at http://t.co/y47w7J31 #teaparty #alabama #alpolitics #gop #legalimmigration
170893575595368450,2012-02-18 15:32:58,RT @ALReporter: Al Mickle Challenging the PACs and Super PACs For District Six http://t.co/9CiyobLr #alpolitics #AlabamaRight
170890261013078016,2012-02-18 15:19:47,"Rep Bachus starts Defense fund,like he doesn't have enough $, ie Campaign War Chest! #AlPolitics #AlRight #tcot http://t.co/Npn4wzGM"
170677872418230272,2012-02-18 01:15:50,RT @ScottBeason: Here's how@restore consumer&investor confidence2create jobs&revive economy #alpolitics http://t.co/75sa3Ssy #AlRight
170353637506293760,2012-02-17 03:47:26,The BEST Roast Beef Sandwich in #Birmingham is at #HooverTacticalFirearms Deli #alpolitics #alabamaRight #
169923043878113280,2012-02-15 23:16:25,"@ScottBeason MoreConservative than Cash4Clunkers,restore Ur vehicle w/a ScottBeason bumperSticker #alpolitics http://t.co/fUm5nVHC #teaparty"
169200815398064129,2012-02-13 23:26:32,"RT @mattmurphyshow: AEA is crap union that doesn't represent children OR teachers,only invested in protecting power. Pathetic. #alpolitics"
161963274475274240,2012-01-25 00:07:08,RT @shipwave: Give a Rip! Vote Peterson! http://t.co/X92HTaVY #AlabamaRight #alpolitics  #Bama #Auburn #UAB  #Montgomery #2012
148472215531302912,2011-12-18 18:38:29,"RT @ZanP: WeDareDefendOurRights http://t.co/4TiYr427 Keep Immigration law as is,don't tweaks,don't weaken! #alpolitics #alabamaRight"
146989778070536193,2011-12-14 16:27:48,"RT @RainyDayPatri0t: Al Immigration Law under attack, frm Al Pols!! u can stop http://t.co/4TiYr427 #standwithAlabama #tcot #teaparty"
146603752089059328,2011-12-13 14:53:52,Tired of Insider Traders! Want to get their attention! http://t.co/JvsLEIs9  #teaparty #alabamaRight #alpolitics #tweetcongress
127392288648339457,2011-10-21 14:34:23,"#hermancain n Alabama 28th, B'ham1:30""SweetBonesAlabama""BBQ,Summit ShopCenter Hwy459/Hwy280  #teaparty #sgp #gop #politics #cain2012 #tcot"
118805976924160000,2011-09-27 21:55:26,@seanhannity  Please replay Chris the Ford man interview!  #tcot #teaparty #hhrs #radio #ford
