id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
369492465922760704,2013-08-19 16:14:03,"Government Graft, Corruption, and Retaliation in Democrat-Run Virginia http://t.co/fv1JNdDlDK via @PJMedia_com"
364523028824457216,2013-08-05 23:07:17,We're in the back room of Pat Troy's - come on by!
364487086084079617,2013-08-05 20:44:27,Join us tonight at 7pm in Old Town for our August General Meeting with @ishapiro of the @CatoInstitute! https://t.co/4i43QFty3k #tcot #yal
364486793741078530,2013-08-05 20:43:18,RT @Network_Red: Join the @AlexYRs tonight for their August General meeting at Irelands Own Pub in Old Town! Details here-----&gt;https://t.co…
364031193777319936,2013-08-04 14:32:54,What are you doing tomorrow night? Attending our August meeting in Old Town: https://t.co/4i43QFty3k #tcot #vatcot
358952912703066112,2013-07-21 14:13:38,"If you're available to help represent the YRs at the Chirilagua Festival this afternoon, email bmorrett@gmail.com!"
357899337705488384,2013-07-18 16:27:06,"RT @matthewhurtt: RT to enter to win FREE @LeadershipInst Future Candidate School, 8/5-8 ($250 value): http://t.co/OUaMiQu1p3 | I'll pick w…"
357899212568420352,2013-07-18 16:26:36,RT @NoVaGOPHQ: Alexandria YR's supporting Cuccinelli and the GOP ticket @KenCuccinelli @AlexYRs @AFCYRs #VAGov http://t.co/eUegyTsLpj
357899203676495872,2013-07-18 16:26:34,"RT @AFCYRs: .@AlexYRs are hosting the @CatoInstitute's @ishapiro on Monday, August 5: https://t.co/6vOKDZgGPP"
354581665936441344,2013-07-09 12:43:51,Join us this Saturday to canvas for the @VA_GOP ticket! https://t.co/DVRpBCjWIK #alexandria #tcot
352786698758926336,2013-07-04 13:51:18,Happy Independence Day! May we unite to celebrate our freedom and the men and women who fought for us to be able to enjoy it. God bless!
351422713476296705,2013-06-30 19:31:18,Go to our FB Page and let us know which Saturday this month you'd like to go Door Knocking w/ us for the GOP ticket! https://t.co/aljlS1F7Ij
349558122953719808,2013-06-25 16:02:05,RT @NoVaGOPHQ: YR's should come out this Saturday to show support for the Cuccinelli!  Let me know if you can mbrown@rpv.org @AFCYRs @AlexY…
349257615395667973,2013-06-24 20:07:59,RT @NoVaGOPHQ: Knocking doors in the storm in Arlington!!! @AFCYRs @GOPAlex @ArlingtonGOP @AlexYRs #VAGOV @KenCuccinelli http://t.co/5hq4Yc…
349257566481690625,2013-06-24 20:07:47,Join @GOPAlex for a day at the Alexandria Aces Baseball Game this weekend: https://t.co/C1asVqrhne #tcot #vagop
341721381920190464,2013-06-04 01:01:40,RT @AFCYRs: Hearing good things about tonight's @AlexYRs meeting. #NOVA YR groups are doing big things up here! #rpv2013
341721266455195648,2013-06-04 01:01:13,"RT @ChristophersenJ: Fantastic turnout for @AlexYRs June meeting! Also see @AFCYRs, @FairfaxAreaYRs, @DCYRs, and @YRFV rep'd tonight too."
