id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
659390240000483328,2015-10-28 15:24:18,Rubio Debate Watch Party tonight at George Washington! We hope to see you there.
657553616799186944,2015-10-23 13:46:13,"RT @CRNC: If we can't trust Hillary as Secretary of State, HOW can we trust her as PRESIDENT? https://t.co/u4EBdrn7zP"
656504594567180288,2015-10-20 16:17:47,"RT @SenTedCruz: Over 9 mos. sanctuary jurisdictions released 9,295 criminal illegal aliens that the fed gov't was seeking to deport https:/…"
656235013348921344,2015-10-19 22:26:34,We're so excited to see everyone at our panel on the differences between conservatism and libertarianism! https://t.co/UYEUDsGv3V
653742744024842240,2015-10-13 01:23:10,RT @CRNC: She's Not Fit For America. http://t.co/cOxqkkbP49
651822488142381056,2015-10-07 18:12:46,RT @cuneytdil: Republican at-large candidate @Oberting2016 plans citywide college tour. First up AU on Oct. 13 w/ @AmericanCRs http://t.co/…
651212131199676417,2015-10-06 01:47:25,Pray for the people of South Carolina as the floods have affected many.
651117471403937793,2015-10-05 19:31:17,"RT @DonIrvine: WATCH: Hillary Clinton Claims She’s the Most Transparent Official in American History: Wait, excuse me?! The m... http://t.c…"
650784163562409984,2015-10-04 21:26:50,"RT @foxnewspolitics: Confusion hangs over start of US, Russia military talks on Syria | http://t.co/d0GTXFuOzM http://t.co/JtcoNzagPr"
650731386438029312,2015-10-04 17:57:07,RT @TheTanDiaries: Flags lowered for Fire Prevention Week honoring National Fallen Firefighters Memorial service #America #DC http://t.co/n…
649722951764443136,2015-10-01 23:09:57,May God look over those in Oregon and their families. #PrayForOregon
649636205160701956,2015-10-01 17:25:15,RT @Senate_GOPs: Tell @SenateDems not to block funding for military and veteran health care. #FundOurTroops #SupportOurVets http://t.co/GDf…
649635715911958528,2015-10-01 17:23:18,She is untrustworthy  https://t.co/QACYD4H4QN
649427679092080640,2015-10-01 03:36:39,Very interesting read  https://t.co/crd8b2GdTn
649417703514632192,2015-10-01 02:57:00,AUCRs is happy to celebrate 11 years of  @NeWNetwork @NeWAmericanU #NeWturns11 https://t.co/f3kUKTk8dS
649392634339979264,2015-10-01 01:17:23,"RT @FoxNews: .@KarlRove: Out of 3,849 @HillaryClinton emails released, 215 considered to be classified, containing top secret or sensitive …"
649383664887988224,2015-10-01 00:41:45,Your thoughts? https://t.co/PS2EdlXf2q
649018740672176128,2015-09-30 00:31:40,"RT @MizzouCRs: Amidst harsh criticism...we stood in, not for ourselves, but for the voiceless. #ProLife http://t.co/uV2woasfPg"
648316948514738176,2015-09-28 02:03:00,Tax cuts are the best  https://t.co/ikVvEoNjWz
647756380351397888,2015-09-26 12:55:30,https://t.co/SQb4gnoOPL Come to Coffee with Conservatives today at 11 in SIS Room 300!
647579750672805888,2015-09-26 01:13:38,@AmericanCRs http://t.co/5WbxnxZEgc
