id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
242809176689082369,2012-09-04 02:19:53,obama can't even fill a stadium during the DNC without bussing people in from SC &amp; colleges in NC.  Does he have to pay them too? #OMG #tcot
242807948722712577,2012-09-04 02:15:00,93% of those polled say they are not better off today than they were 4 years ago!  #OMG #tcot #teaparty #conservatives #bcot #wcot #p2
242752858586492928,2012-09-03 22:36:06,RT @tweet2u2: .@michellemalkin  O  B  A  M  A  One Bad American Murdering America! #LNYHBT #tcot #Teaparty @Pudingtane
242752713027358722,2012-09-03 22:35:31,@Sometimes2Sassy Thank You Patriot!
242749500261822464,2012-09-03 22:22:45,How can we take @NickelodeonTV's anti-bullying efforts seriously when the biggest bully of them all is their own @JasonBiggs! #OMG #tcot #p2
242748968906403841,2012-09-03 22:20:38,RT @AlexMarlow: How can we take @NickelodeonTV's anti-bullying efforts seriously while they continue to employ @JasonBiggs? http://t.co/ ...
242748818028892161,2012-09-03 22:20:02,RT @lheal: Better off? What kind of question is that? Let's talk how bad it got after we found out Obama got elected. #ObamaCrash
242748652987228160,2012-09-03 22:19:23,"@novid7 I hope the Jewish pple r paying attention 2 whats happening.  obama has already thrown many under the bus, y not an entire country?"
242746227630956545,2012-09-03 22:09:45,RT @slone: IMAGINE THAT: ID required to attend DNC http://t.co/oaQE8unZ    #tcot
242746075507732481,2012-09-03 22:09:09,"RT @usa67us: “@ChuckNellis: They held a party &amp; nobody cared! DNC: Free tickets, get your free tickets! 
Come on, please come see th ..."
242745920771477505,2012-09-03 22:08:32,The obama WH is going after Bain for common acctg procedures but wont think of prosecuting gangs terrorizing citizens n r urban areas!  Y??
242744220136394752,2012-09-03 22:01:46,RT @EmfingerSScout: Bloomberg &amp; NYC are in 1st stages of Communism. He's 1st Mayor in USA to put in The Obama Plan. @betseyross @Bia ...
242744164452814848,2012-09-03 22:01:33,RT @DawnRiseth: Stephanopoulos is Delusional---&gt; How’s this for bias in the news media? http://t.co/1EqIIatK
242743950966927363,2012-09-03 22:00:42,RT @SmallgGay: Loved reading over at Breitbart what an arrogant pr*ck Obama is and how no one likes him.
242743831664148480,2012-09-03 22:00:14,Harvard researchrs find that: spending cuts w/o tax incrs seems 2b the only way 2 stablze a country's economic outlook. http://t.co/shZXVSa3
242740872444272641,2012-09-03 21:48:28,"RT @WayneRoot: the hypocrisy of leftists:
Johnny Depp just left France because of high taxes, but he supports Obama. What a moron:
http: ..."
242740793138376705,2012-09-03 21:48:09,"RT @KLSouth: RT @Anticommie47: @DennisDMZ  go here @KLSouth To learn about scumbag biggs"
242740637001195520,2012-09-03 21:47:32,"Dem Senate candidates skipng Charlotte include McCaskill (MO), Manchin (WV), Tester (MT), Donnelly (IN) &amp; Heitkamp (ND) #OMG #tcot #bcot #p2"
