id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
662273971124064256,2015-11-05 14:23:13,"If all 12 cntries dont ratified w/in 2 yrs, provisions allow #TPP 2 take effect if 6 cntries w 85% GDP of bloc sign https://t.co/c33oEihMVf"
662271513094193152,2015-11-05 14:13:27,Congress can review &amp; thn up or down vote only on #TPP trade deal. No negotiating or amending. Take it or leave it. https://t.co/eOW6tcNX9z
662270036866920448,2015-11-05 14:07:35,#TPP Trade Deal Full Text Released https://t.co/eOW6tcNX9z
661981246008987648,2015-11-04 19:00:02,RT @SheriffClarke: @FoxNews https://t.co/IUsrumeDVo Tarantino's dad said his son was wrong about cops and should apologize. Note to Taranti…
661979561761095680,2015-11-04 18:53:21,RT @politico: Ryan and McCarthy transfer $1.7 million to NRCC https://t.co/06i03yd8dP | AP photo https://t.co/yhweBVujnW
661978674711945218,2015-11-04 18:49:49,"RT @rorycooper: Under President Obama, Democrats have lost 900+ state legislature seats, 12 governors, 69 House seats, 13 Senate seats. Tha…"
659728021126017024,2015-10-29 13:46:32,Watching @SpeakerBoehner give his farewell speech.  He is a good man and I appreciate his service to his country. God bless him.
659553202258518016,2015-10-29 02:11:51,"These candidates all keep talking about entitlement reform, but there r only a few on tht stage tht have the cajones to do it. #CNBCDebate"
659551852112031744,2015-10-29 02:06:30,So far n economic #cnbcdebate gun control &amp; gay marriage have been mentioned. Can we get thru w/out abortion &amp; planned parenthood mentioned?
659550416099778560,2015-10-29 02:00:47,"RT @MarkDaVinciGrp: Yeah, national defense, economic prosperity, &amp; education are #meh . #CNBCGOPDebate is a joke. Thank the moderators. htt…"
659549835566129152,2015-10-29 01:58:29,Rick Santelli needs to educate his colleagues at @CNBC.  Do they think growing Govt is the answer to all things? #CNBCdebate
659549486700695552,2015-10-29 01:57:06,"So far in this debate the following has been mentioned: beer, tequila, pot brownies, warm kisses and fantasy football. #CNBCDebate"
659547225459179520,2015-10-29 01:48:07,.@cnbc I'm confused. What does #guncontrol have to do with economic issues? #CNBCDebate
659545818744102912,2015-10-29 01:42:31,The fact checking on the #CNBCDebate will take days!
659544990616567808,2015-10-29 01:39:14,RT @rjbarnett: Santelli's Fed question launches Homerun for Rand Paul &amp; Cruz; made the most economic sense #ccot #tcot https://t.co/AnjrdUf…
659544804108406784,2015-10-29 01:38:29,Go Rand Go! Don't back down.  We want to hear from you! Thanks for standing strong. #CNBCDebate
659543152576086016,2015-10-29 01:31:55,"Rick Santelli and the ""Rant of the Year"" tht lit the #teaparty fire! https://t.co/NIiPT5h9w4 #cnbcdebate"
659542296313143300,2015-10-29 01:28:31,Rick Santelli!!!! The man that lit the fire that started the #TeaParty!  His passion is still there! #CNBCDebate
