id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
175119640631062528,2012-03-01 07:25:50,I called you a putz cause I thought you werebeing intentionally disingenuous. If not I apologize. @CenLamar @dust92
175107970999386112,2012-03-01 06:39:28,Apologize for WHAT? @KRAUSEEE
175104720824827904,2012-03-01 06:26:33,RT @AnonyOps: Follow @nadianaffe to find out about her story of assault. This is going to take down @JamesOKeefeIII and possibly @Andrew ...
175090428062871553,2012-03-01 05:29:45,Why was he FILMING his typical hijinks? Evidence? That's why he was let off. It proved he was innocent of MSNBC 'wiretap' charge. @CenLamar
175090033781510144,2012-03-01 05:28:11,"What 'felony', genius? Getting senator's aides to admit she lied when not answering constituents calls claiming busted phones? @CenLamar"
175089226256351232,2012-03-01 05:24:59,"That's certainly not what the judge's ruling was, putz. @CenLamar"
175088811255152640,2012-03-01 05:23:20,"When Gawker exposed the GOP shirtless congressman who, too, resigned no lefties freaked out. Interesting double standard. @OccupyRebellion"
175087940433752064,2012-03-01 05:19:52,Not true. It is certainly the Media Matters alternative reality the left keeps repeating. I get it. @KRAUSEEE
175087428758028289,2012-03-01 05:17:50,"Yes, a misdemeanor. We get it. @CenLamar"
175083185896566784,2012-03-01 05:00:59,"Are Mark Rasch or Kevin Zeese your attorneys? If so, create a better working relationship with them. @Neal_Rauhauser"
175082033826119680,2012-03-01 04:56:24,I compared @JamesOKeefeIII to Borat for the explicit purpose of explaining what his silly nothing misdemeanor was. @CenLamar @DavidShuster
175081782474063872,2012-03-01 04:55:24,You know this. All know this: It's called projection. But no one believes you believe it. Trolling is your livelihood. @Neal_Rauhauser
175081137830506496,2012-03-01 04:52:50,"By 'ass on fire' I assume you mean that metaphorically. And if so, please elaborate. @Neal_Rauhauser"
175080915628863488,2012-03-01 04:51:57,"I think that it takes an undercover investigation to expose certain bad human behavior, indeed. You? @CenLamar"
175080738511794176,2012-03-01 04:51:15,I think Borat got real politicians/personalities to act in real ways that we hold them to account for. O'Keefe is more serious. @CenLamar
175080340367486976,2012-03-01 04:49:40,I think you regret your post-Kos-Konvention enthusiasm. You went too far. Crossed too many lines. Now hope for a walk back. @Neal_Rauhauser
175076103067664384,2012-03-01 04:32:50,"RT @williamfsayre: @Neal_Rauhauser @AndrewBreitbart If you put @AndrewBreitbart, along with
Glen Beck on a guillotine, u'd hold basket a ..."
175067875898437633,2012-03-01 04:00:08,Tell it to the judge. @Neal_Rauhauser
175065417642029056,2012-03-01 03:50:22,What's a 'bench warrant'? @Neal_Rauhauser
175053639025557504,2012-03-01 03:03:34,"OK, fine! I prefer her lesbian vampire love scene in The Hunger! Don't tell anyone. @teracorona"
175052364129124352,2012-03-01 02:58:30,RT @DefendWallSt: @AndrewBreitbart @Stranahan @Liberty_Chick E-mail  between two Current.TV employees about #OccupyOakland http://t.co/B ...
