id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
662424903614898177,2015-11-06 00:22:58,RT @mercedesschlapp: Joining @seanhannity tonight with @AriFleischer. #carly #TheView #GOP 10 pm est on @FoxNews
662420382356512769,2015-11-06 00:05:00,"I'll be on @seanhannity tonight talking about Carly's upcoming appearance on the View, whether Jeb can fix it, Trump &amp; Carson too.  Tune in."
661561305891864576,2015-11-03 15:11:21,Think media bias isn't real?  Why did so many reporters find a happy home in the Obama Admin?  https://t.co/Z7VtRjGBMv
661561113687912448,2015-11-03 15:10:35,"Debate moderators should b asked to raise hands &amp; pledge they won't work in a D WH.  After all, more than 20 reporters went to work 4 Obama."
661207020452880384,2015-11-02 15:43:32,RT @Israellycool: Has ANYONE in the mainstream media bothered reporting about the Hitler store with mannequins holding knives? https://t.co…
661203431764402176,2015-11-02 15:29:17,I think I'm number 3000 for takeoff. #LGA https://t.co/A1dffI2lBw
661202766946258946,2015-11-02 15:26:38,"@DavidLimbaugh Jeb is on a ""Jeb Can Fix It"" tour right now.  So I'm picking up on his theme."
661178893475446784,2015-11-02 13:51:46,"Issue for Jeb is whether GOP voters want to ""fix it"" or ""change it"".  I suspect most want a change more than a fix. Can Jeb be change agent?"
660121182084210689,2015-10-30 15:48:48,"As usual, Charles Krauthammer nails it:  Skip the investigations, win the election https://t.co/OFdhGWEyCN"
660086540622766081,2015-10-30 13:31:09,@marklevinshow  Do you have a better debate plan? One that still lets 10s of millions watch on TV?  Problem isn't format. It was moderators.
659852622267097088,2015-10-29 22:01:39,@MandyAFM You should see what I say to Paul Begala when he tries to interrupt me.
659567910810214400,2015-10-29 03:10:18,@WondHerful I'm neutral. I'm enjoying watching and calling it as I see it.
659566978848464896,2015-10-29 03:06:36,"Wow. This is from the AP's chief WH correspondent when I was press secretary.  Wow, wow and wow.  https://t.co/lgAkP7vhPa"
659564592432095232,2015-10-29 02:57:07,RT @allahpundit: Tonight’s the night the rest of the media learned that media bias is real
659556358723883008,2015-10-29 02:24:24,"Cruz did well.  If Trump and Carson collapse, he's well positioned in the outsiders lane."
659555996554141697,2015-10-29 02:22:58,"Bush didn't break through. He's running outbid time to break through. Good close by Huckabee, but he's not much of a factor."
659555918317793282,2015-10-29 02:22:39,Good close by Carson - warm and positive.  Trump was neither here nor there.  Funny closing remarks.
659555783076667392,2015-10-29 02:22:07,"Christie had a feisty, strong well-argued debate.  He came in 2nd. I think Carly came in 3rd.  She's tough, sharp and substantive."
659555439319887878,2015-10-29 02:20:45,"Rubio won tonight with wit, good humor, great one liners and substance."
659553076353855488,2015-10-29 02:11:21,"Christie is having his best night yet.  If he makes a comeback, it started with fantasy football."
659549763084394496,2015-10-29 01:58:12,Tough night for the moderators. But they asked for it.
