id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
10831546356,2010-03-21 18:12:28,"@Rep_Giffords, @HarryEMitchell, and Ann Kirkpatrick should not be confused. We will remove you from office."
10784099097,2010-03-20 18:21:23,"He has erected a multitude of New Offices, and sent hither swarms of Officers to harrass our people, and eat out their substance -Dec of Ind"
10302306724,2010-03-11 02:34:50,Want to run for the @ArizonaCR 2010-2011 Executive Board? Talk to @JessBolitho and fill out this form: http://tr.im/azfcr10 Good luck! #azcr
10236811174,2010-03-09 20:38:18,Interested in running for the Executive Board of the Arizona College Republicans? Now registering candidates.  DM for more details. #azcr
9914468833,2010-03-03 07:22:05,CR's preparing for Gubernatorial debates around the state starting this month.  First up: Embry-Riddle in Prescott on 26 March.
9890812390,2010-03-02 20:54:30,"RT @Heritage: They've got a degree, but grads from top colleges know LESS American history by graduation day. #tcot http://bit.ly/9C07mi"
9831821867,2010-03-01 16:36:55,ABOR Tuition and Fee Hearing today at 5:00pm statewide: http://www.abor.asu.edu/special_editions/tuition_hearings/tuition_hearing.htm
9815210789,2010-03-01 07:18:11,RT @statepress Conservative shift boosts College Republicans http://bit.ly/aSs7hF #AZCR #CRNC
9642923843,2010-02-25 20:56:20,"Come Tonight to Check out the CD 5 Debates with @jimkward, @DavidSchweikert, @MarkSpinks2010, Susan Bittersmith and Chris Savino 7pm at ASU"
9612376221,2010-02-25 05:11:44,Don't forget: CR's to host a CD5 Debate tomorrow at the ASU Tempe campus. : http://www.facebook.com/event.php?eid=459379285023&ref=mf
9356040709,2010-02-19 22:36:35,CR's to host a CD5 Debate next week at the ASU Tempe campus.  Please Join us!: http://www.facebook.com/event.php?eid=459379285023&ref=mf
9224830157,2010-02-17 07:41:17,College Republicans around Arizona leave tomorrow to go to CPAC.  Travel safe and have fun!! #CPAC #AZCR
9084417361,2010-02-14 04:18:44,Great meeting today!  Glad to welcome the ASU Poly Chapter into the AZFCR.  We now have chapters at every major University campus.
8979409374,2010-02-11 21:53:52,"State Board Meeting this Saturday at noon (12:00pm) at the ASU Poly campus: SU Cooley Ballroom. A 7001 East Williams Field Road, Mesa, AZ"
6372873935,2009-12-05 16:26:35,Extremely successful day at ASU yesterday. 2000 people came out to see Ron Paul. Thanks to all that helped! #tcot #tlot #azcr
6344041843,2009-12-04 17:56:42,If you're on campus go see Ron Paul speak on Hayden Lawn right now.
6338727853,2009-12-04 14:51:11,Ron Paul - ASU Hayden Lawn 11am Today.
5953942417,2009-11-22 20:03:37,AZFCR State Board meeting today at ASU West Campus from 3-5pm.  Come discuss the future of the Federation.
5712901338,2009-11-14 16:58:13,Collecting signatures for the Recall Sharon Bronson effort in Tucson w/ the UofA CRs.
