id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
663145299976716288,2015-11-08 00:05:34,An interview with @GovHerbert &amp; the man challenging him in upcoming race @JJohnsonNow: https://t.co/Q73ouVYxn5 https://t.co/CXFIDDHijC
663141841898856449,2015-11-07 23:51:50,"One of Utah's most admired entrepreneurs, @freshlypicked's Susan Petersen, recently appeared on the @BeehivePodcast: https://t.co/PJra3f63iQ"
663116145998729216,2015-11-07 22:09:43,December's Startup Conversation To Take Place At Church &amp; State: https://t.co/KarYIINOgq https://t.co/BPrZ1UHmpz
663116021486628864,2015-11-07 22:09:14,RT @bbatch: Painting the house &amp; catching up w/ @BeehiveStartups interview w/ @joshjames @stance @GregWarnock  @mercatopartners https://t.c…
663101134622486528,2015-11-07 21:10:04,"A conversation with Domo CEO Josh James, Stance CEO Jeff Kearl, &amp; Mercato's Greg Warnock: https://t.co/4ypQrEVe0F https://t.co/RoBEKdFqxp"
662816220551360512,2015-11-07 02:17:56,Weekend Listening: The First 5 Episodes of the Beehive Podcast: https://t.co/2zByQCAKOQ #WeAreUtah https://t.co/J7skfleu12
662777885120315392,2015-11-06 23:45:36,"Weekend listening: Startups With A Mission, And Kayaking To Cuba With @davismsmith https://t.co/1wtQglhZBh https://t.co/5k595tALmK"
662777100122767361,2015-11-06 23:42:29,"Weekend listening: A Conversation With Josh James, Jeff Kearl, And Greg Warnock. https://t.co/4ypQrEVe0F https://t.co/igMNRvrOb1"
662775937096749056,2015-11-06 23:37:51,Weekend tip: Be kind and respectful to each other. We'll make it through.
662775071325315073,2015-11-06 23:34:25,"Weekend listening: @freshlypicked CEO Susan Petersen on bootstrapping, Shark Tank, &amp; Utah: https://t.co/PJra3f63iQ https://t.co/iRRtcUwCz1"
662745389968175104,2015-11-06 21:36:28,"RT @WIRED: SimpleCitizen, a TurboTax for immigration, lets you skip the legal fees https://t.co/3XnsRMAg7B"
662704565851041792,2015-11-06 18:54:15,RT @BrandonHassler: I loved how @freshlypicked answered the question about manufacturing in the US. Can’t fit it into a tweet: https://t.co…
662677833932627968,2015-11-06 17:08:02,"RT @clintbetts: SimpleCitizen, a TurboTax for Immigration, Lets You Skip the Legal Fees https://t.co/AnqYo8hU1h via @WIRED"
662660297954426880,2015-11-06 15:58:21,"Style. Flair. Personality. Our story on @inkmenswear:
https://t.co/OPLeCaWO0D https://t.co/68DOxHUIYu"
662472375556898817,2015-11-06 03:31:37,"RT @marcwsnc: ""Company culture is your secret weapon"" great knowledge being passed on tonight @BeehiveStartups https://t.co/GLOTiJ7mET"
662468503312576512,2015-11-06 03:16:13,RT @clintbetts: Beautiful space. Beautiful people. Beautiful night. #BeehiveSCS https://t.co/LkXGJZTnZ7
662467547904782336,2015-11-06 03:12:26,Packed house at this month's Startup Conversation Series! https://t.co/B9F94sfnJe
