id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
662791161984253952,2015-11-07 00:38:21,A very happy #babyagen spending quality time with his auntie meredithagen. #agenadventures… https://t.co/iNEayhi6iM
662386031031885825,2015-11-05 21:48:30,"Greetings from Boston! @ Boston, Massachusetts https://t.co/MLKbZqrhV9"
660634534669656065,2015-11-01 01:48:41,My Pirate Kings! ❤️Happy Halloween. #babyagen #firsthalloween #agenadventures https://t.co/k86K8YhcLY
659815815211020292,2015-10-29 19:35:23,RT @MittRomney: I got the first #SpeakerSelfie. https://t.co/IF92lXMkw7
659815097502691328,2015-10-29 19:32:32,AMEN!  https://t.co/qeXdNwcGf4
659815002497490944,2015-10-29 19:32:10,Disappointed by @TheView &amp; thier attacks on @CarlyFiorina looks. Seriously ladies you should know better! #LeadByExample
659748418806521856,2015-10-29 15:07:35,Thank you Speaker Boehner!
659553773023555584,2015-10-29 02:14:08,RT @MichelleFields: Bush campaign manager confronts CNBC producer https://t.co/6z8Z7b0dSa
659543539576135682,2015-10-29 01:33:28,Watching the #gopdebate on CNBC while trying to put baby to bed. Not sure what stinks more these diapers or these debate questions.
659540631342219264,2015-10-29 01:21:54,RT @SpeakerBoehner: One of my last looks from the Speaker's balcony --&gt; https://t.co/C0qzLINvNU I'll remember it well. https://t.co/JNLhHoa…
659540476190674944,2015-10-29 01:21:17,RT @NRO: WATCH: @marcorubio totally schools @CNBC moderators on media bias -- the crowd goes wild https://t.co/AS6ZDvkkLe https://t.co/Lxx0…
659375310404718592,2015-10-28 14:24:59,RT @BDayspring: Derek Jeter and Hannah Davis are apparently getting married. https://t.co/bgwBvrKObc
659019811431849984,2015-10-27 14:52:21,Make it a good morning and do the Santino shake. #babyagen #santinoshake #dancingbaby #4monthsold… https://t.co/HIo6XRciaC
658389406240391170,2015-10-25 21:07:21,Our #babyagen is 4 months old and is a 21 pound mountain of giggles. This frequent flier loves his… https://t.co/I9ZxwSjAqT
657254333067718656,2015-10-22 17:56:58,Miami's own Mr. #305 https://t.co/EVbHGbTD0L
657253950425538560,2015-10-22 17:55:27,"RT @NeriAnn88: .@emilyslist is desperately out-of-touch, condescending, and ignorant of long-time Latino support for @SenJohnMcCain https:/…"
657253675321184256,2015-10-22 17:54:22,RT @MikeDuHaime: We agree.  He is the best.  Mercury is lucky to have him.   https://t.co/MqAAjgwTrq
656937037321379840,2015-10-21 20:56:09,Andrew Breitbart and Michelle Malkin warned conservatives about The Donald via RedState https://t.co/qkjd9VCnfW
655540152132083712,2015-10-18 00:25:26,"Santino's first football game: Michigan vs MSU. He slept until the last 10 seconds, and saw… https://t.co/biPvzBI9tc"
655468972264050692,2015-10-17 19:42:35,"A #puremichigan Saturday... Michigan vs Michigan State with 115,000 people at the Big House. @ The… https://t.co/Lb97cIHOPT"
