id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
652235218301157376,2015-10-08 21:32:48,"RT @Mdixon55: The second tweet from @BillMcCollum. Tricky, tricky. 

https://t.co/WQuQ61p6XU"
652235164488200192,2015-10-08 21:32:35,RT @Zachary_Cohen: .@BillMcCollum using speaker elections to troll #FLsen watchers. #sayfie #FlaPol http://t.co/PA2CFqoNi6
652224677272756224,2015-10-08 20:50:55,that if I was still in the House I would vote for @RepWebster for Speaker - he's a man of great character and integrity #sayfie #FlaPol 2/2
652224111909957632,2015-10-08 20:48:40,"Hey @mdixon55 wanted you to be the first to know that I'm announcing ...
#sayfie #FlaPol 1/2"
621677040283058176,2015-07-16 13:45:31,And nobody ever accuses @MarcACaputo of being stupid. http://t.co/1KENXGUyfG
621069423097585665,2015-07-14 21:31:04,Obama's tragic mistake in negotiating this deal with Iran emboldens our enemies like appeasement always does #sayfie #flapol
621068351541018624,2015-07-14 21:26:48,Obama nuclear deal with Iran is a complete giveaway and tragic disaster #sayfie #flapol
157462380283035650,2012-01-12 14:02:11,Bill McCollum endorses Presidential candidate... http://t.co/p59mfV1g
32285777417216001,2011-02-01 03:55:03,"Judge Vinson's ruling a huge victory for states' rights, personal freedom. Ind. mandate non-severable, #HCR law must be repealed #sayfie"
15563713373278208,2010-12-17 00:27:33,"I’ll discuss our challenge of ObamaCare tonight with @gretawire at 10:20 pm, and tomorrow on @FoxandFriends at 7:45 am: http://bit.ly/ENqs"
15561283948519424,2010-12-17 00:17:53,Florida today led oral arguments in 20-state lawsuit against ObamaCare. Read more about our fight to preserve liberty: http://bit.ly/ENqs
14805017416433664,2010-12-14 22:12:45,Busy week for the Florida Cabinet – Health Care Lawsuit Heads to Oral Arguments  http://bit.ly/hWRgH0 #hcr #sayfie
28440154407,2010-10-22 21:11:04,Why I’m casting my vote for Rick Scott for Governor of Florida: http://bit.ly/cWYEV0.
27406868199,2010-10-15 03:34:27,"I’m pleased to announce our lawsuit challenging ObamaCare is moving forward, thanks to today's federal court ruling. http://bit.ly/bAwUGs"
26108247170,2010-10-01 19:20:48,Rep. Grayson’s ”Taliban Dan” TV ad smearing my friend @WebsterCongress  should outrage voters in Florida CD 8 http://bit.ly/a0C3Sn #flgop
25815941907,2010-09-28 20:08:23,I will be on the Fox Business Channel discussing health care reform at 5pm EST. Check it out! #hcr
24751562393,2010-09-17 12:00:13,Be sure to catch me this morning around 8:40am on MSNBC's Morning Joe talking about health care.  #hcr
24421966826,2010-09-13 22:50:30,RT @HucksArmy Forbes.com: We’ve Been Conned; Obamacare Will Not Save a Cent http://nthlnz.xrt.me
24421576816,2010-09-13 22:45:07,Be sure to catch me On The Record with @gretawire where I will be talking about stopping Obamacare  #hcr
