id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
661016396441235456,2015-11-02 03:06:04,"I had honor of chairing @FredThompson campaign for President in Illinois.  A great public servant, talented actor and man of character."
654085541818933249,2015-10-14 00:05:20,Holy Cow!  CUBS WIN! CUBS WIN!.  #FlyTheW  #GoCubsGo http://t.co/fe5gU1vole
651957297204338688,2015-10-08 03:08:27,On to the Arch!  Congrats to the whole team!  #FlyTheW  #GoCubsGo  https://t.co/tLAGyA7k6u
650820829173800960,2015-10-04 23:52:31,#FlyTheW .  Looking for another Cubs win over the Pirates Wednesday!
641999333928382464,2015-09-10 15:39:03,"Strange having an election on a Thursday.  If you live in 18th CD, I hope you'll vote for my friend Darin @ElectLaHood for Congress today."
635928927995760640,2015-08-24 21:37:26,Glad to welcome @GovRauner and other motorcyclists to Atlanta on their ride Saturday to support vets. http://t.co/piMjDb4p5k
632030601466372096,2015-08-14 03:26:52,Great time kicking off the Illinois State Fair tonight.  Good to see so many out along parade route and fairgrounds. http://t.co/0AB2xSd9Ut
631126740677603328,2015-08-11 15:35:15,Join us in the #IllinoisStateFair Twilight Parade Thursday in Springfield.  Walking with Sangamon County Republicans. 5:30 at 9th/Division
624666807740203009,2015-07-24 19:45:47,Working to help #Mitsubishi employees affected by today's closing announcement and to help find new buyer for plant in Bloomington-Normal.
617358168977448960,2015-07-04 15:43:52,Happy #IndependenceDay!  Remember all the men and women who have fought to protect our freedom.  Have a safe and happy #FourthofJuly.
610644347625668608,2015-06-16 03:05:32,Great claiming #StanleyCup at home where it belongs.  Great #Blackhawks win! #OneGoal http://t.co/05P0rsbeyF
610167129644601344,2015-06-14 19:29:14,Today is Flag Day.  Fly it proudly. http://t.co/3PDTmU0i5r
607321791850278912,2015-06-06 23:02:53,Exciting day for racing.  Congrats to American Pharoah and a phenomenal   #TripleCrown win!
606225529583190016,2015-06-03 22:26:44,RT @ElectLaHood: Thx to @jasonbarickman @Bill_Brady @Dan_Brady &amp; a few supporters 4 early voting today! Remember #VoteEarlyVoteDarin http:/…
602847772451196928,2015-05-25 14:44:43,Take time today to remember those Americans in uniform  who gave their lives to protect us and defend our freedoms. #MemorialDay
590243337044631553,2015-04-20 19:59:12,RT @ILGAConnected: repartturner: Follow these legislative tweeps: @Annwilliams2010 @AveryBourne @Bill_Brady @bmwheeler @bob4illinois http:/…
585557568854040578,2015-04-07 21:39:38,A tremendous loss to the entire Bloomington-Normal community and the ISU family. Prayers for families and friends at this time of tragedy.
584744916586213376,2015-04-05 15:50:26,Wishing you a blessed and joyous Easter. #HappyEaster
580397541197504512,2015-03-24 15:55:31,RT @rkprsolutions: Connect on IL politics:@Bill_Brady @enjoyillinois @ilpoliski @melissahahn @SenatorHunter
