id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
663068424688521216,2015-11-07 19:00:06,"""The limits of tyrants are prescribed by the endurance of those whom they oppress."" -Frederick Douglass #teaparty #fb"
662975542195548160,2015-11-07 12:51:01,"RT @riteaparty: #RETWEET if you've deleted the @Politico bookmark from your browser! #NoIntegrity #Liars 
#tcot #ows #occupy #p2 #teaparty …"
662683557924610048,2015-11-06 17:30:46,#FF Blogs/Bloggers: @QandO @McQandO @DaleFranks @BryanPick @JonHenke @UnCommSenseBlog @AustinHess @LibertyShovel @hokiegalforlife
662660902605488128,2015-11-06 16:00:45,#FF Patriots: @ConservaRedBird @RedMassGroup @BradforSenate @killer5million @AM_National @ThomasSowell @ybrook @Not_Evil @IMAO_ @FedSoc
662646093663064064,2015-11-06 15:01:54,#FF Patriots: @beesnguns @4TierStrategies @BradMarston @Norsu2 @cmorabito @AustinHess @UnCommSenseBlog @C1RCLE @rsmccain @CoryWhalen
662328636045983744,2015-11-05 18:00:26,"""I want the people of America to be able to work less for the government and more for themselves."" -Calvin Coolidge #teaparty #fb"
661979264699486208,2015-11-04 18:52:10,"RT @whois_johngalt: Tea Party conservatism ROCKS!
Kentucky’s New GOP Lt. Gov. Is Black Tea-Party Activist  https://t.co/SPyzUN1mkP via @NRO"
661704096043397120,2015-11-04 00:38:45,"RT @gerfingerpoken: @BostonTeaParty 514 - #IRS Chief Koskinen Should Be Imprisoned, Not Just Impeached: - American Thinker -  https://t.co/…"
661702130697437184,2015-11-04 00:30:56,"RT @jmCurleyBar: Dear @BostonTeaParty - we love you back, and then some.  https://t.co/mQ6lcTlRz4"
661701584586452992,2015-11-04 00:28:46,RT @ForAmerica: Hillary super-PAC gets seven-figure dark money donation http://t.co/mnri1CZjnc #Campaign2016
661699505029578752,2015-11-04 00:20:30,"RT @_CFJ_: MT @SoquelCreek
Our family's premiums have DOUBLED since #ObamaCare &amp; Democrats made health care mor ""affordable""
https://t.co/W…"
661699361630461952,2015-11-04 00:19:56,"RT @chuckwoolery: Obama's Goal, and Strategy for war, the economy, and Chaos? Pass it on to the next President, and take no responsibility."
661699303925227521,2015-11-04 00:19:42,"RT @FiveRights: Given your history re Trump, your polls are meaningless. You have no credibility, just indignant bias (sour grapes). https:…"
661619052360650753,2015-11-03 19:00:49,"""There are a thousand hacking at the branches of evil to one who is striking at the root."" -Henry David Thoreau #teaparty #fb"
661609171855519744,2015-11-03 18:21:33,"RT @gerfingerpoken2: #IRS Chief John Koskinen Should Be Jailed, Not Just Impeached: - American Thinker -  https://t.co/97BMsllhuO   - https…"
661256584857837568,2015-11-02 19:00:30,"""The history of the world is none other than the progress of the consciousness of freedom."" -Hegel #teaparty #fb"
