id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
317267905744105472,2013-03-28 13:32:17,May it Be - A CAPPELLA Lord of the Rings (Christy-Lyn): http://t.co/Z06h4UTIA9
314343358610935809,2013-03-20 11:51:11,California businesses fuming over retroactive $120M tax grab | Fox News http://t.co/dF20MQQzyN #CFSA
314180509041315840,2013-03-20 01:04:05,Obama Administration Caves to Putin on Missile Shield for Europe http://t.co/F0kyBafh8s #CFSA
314180139707666434,2013-03-20 01:02:37,"Michele Bachmann: Obama is ""Clueless"" on the Debt: http://t.co/JfyymPTheY #CFSA"
313816664745582592,2013-03-19 00:58:17,"Bill Maher: Taxes Too High on Rich, Liberals ‘Could Actually Lose Me’ http://t.co/eDcBCFnzGu #CFSA"
313816546491375617,2013-03-19 00:57:49,Obama Administration Caves to Putin on Missile Shield for Europe http://t.co/ya0Ltq8kHG CFSA
313816253355663360,2013-03-19 00:56:39,Obamacare: Projected Premium Increases by State http://t.co/9v3zd0AJKG #CFSA
312718220631109632,2013-03-16 00:13:28,Feds Spend $1.5 Million to Study Why Lesbians Are Fat | CNS News http://t.co/H4lCAlLqsY #CFSA
312716183155662849,2013-03-16 00:05:22,North Dakota close to banning abortions at 6 weeks | General Headlines | Comcast http://t.co/D8rS5Hl9JP #CFSA
312716061105606656,2013-03-16 00:04:53,North Dakota Senate Passes Two Unprecedented Abortion Bans http://t.co/mAuClM9QHy #CFSA another good reason to move to North Dakota
312715768557096960,2013-03-16 00:03:43,Doctors 'agree to abort babies for being the wrong sex' http://t.co/kl5eqp13Vq #CFSA this is worth looking at again. I can't believe it
312592450361368578,2013-03-15 15:53:42,Meat inspector furloughs due to sequestration 'several' months away http://t.co/bOCYvFjY5F #CFSA
312592322716127233,2013-03-15 15:53:12,Stock Market Highs Should Scare You http://t.co/i6Vqjo6N21 #CFSA
312592185256202240,2013-03-15 15:52:39,QE is driving up stock markets because the money has nowhere else to go says Prudential boss http://t.co/DB8znYZMgt #CFSA
312591915784753153,2013-03-15 15:51:35,Quantitative Easing http://t.co/tEZWlJG2dd #CFSA
312394740526092288,2013-03-15 02:48:04,DCCC chief: We’re running against the tea party - Alex Isenstadt - http://t.co/WFW9zJbHl7: http://t.co/TXKHpY9kgQ #CFSA
312394511827468288,2013-03-15 02:47:10,Blue Civil War: The Battle for California http://t.co/CeeOzZtZfn #CFSA
312367587218579458,2013-03-15 01:00:10,House GOP Passes Bill Forbidding Welfare Waivers For Freeloaders http://t.co/IUMZJBWukU #CFSA
312199396806774784,2013-03-14 13:51:51,Rising Tides Of Terror: Will Melting Glaciers Flood Al Gore's Coastal Home? - Forbes http://t.co/0xVRE8HIvC #CFSA LOL!
