id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
662044256287129601,2015-11-04 23:10:25,"RT @rorycooper: Under President Obama, Democrats have lost 900+ state legislature seats, 12 governors, 69 House seats, 13 Senate seats. Tha…"
661207080083193856,2015-11-02 15:43:47,RT @sonofbum: Chicken Parm tastes so good-I like it especially with Cheese
643126486812094464,2015-09-13 18:17:57,RT @BigWeitz: http://t.co/3fyJ3Yh3Yu
642359573769154561,2015-09-11 15:30:31,RT @AriFleischer: http://t.co/r7wmhZmkLu
641266136105938944,2015-09-08 15:05:35,RT @DonIrvine: Four-star general? Trump: 'I always felt that I was in the military' http://t.co/QlTKo0HNDb
639660712156008448,2015-09-04 04:46:12,No need for a pledge. https://t.co/OOrNoYYLaN
637764133673299969,2015-08-29 23:09:53,"RT @bencasselman: And Moses went to Pharaoh and said to him, ""Let my people go!"" and Pharaoh did because Moses knew how to negotiate. #Trum…"
634529633686429696,2015-08-21 00:57:08,@GarbanzoGrill your location in Highlands Ranch has not gotten my order right a single time in 3 yrs and is chronically out of toppings
633343442383273984,2015-08-17 18:23:38,"Seeing a pattern with govt hiding emails here? Clinton, IRS, now this? http://t.co/Ct4tGqblT2"
629475686399348737,2015-08-07 02:14:33,"Christie should've nailed Trump. ""AC cratered be of you. Thousands lost jobs bc of u, while you declared bk and flew away in a helicopter."""
629459077618270208,2015-08-07 01:08:33,"Shorter Ben Carson: I don't know what I'm doing now, but I promise to figure it out before these debates are over."
596307831373991936,2015-05-07 13:37:20,"Don't be the guy who wears ""comfy"" shoes with his suit while commuting to work."
589991104931442688,2015-04-20 03:16:55,"@ABCFamily episode of Young &amp; Hungry about buying weed to make edibles. ""Nobody tastes pot in my cooking!"" You stay classy ABC ""Family""!"
588401836127748096,2015-04-15 18:01:44,Obama wants to pull $380M out of a fund to make govt more efficient to pay for a proj that's $1B over budget. Unreal. http://t.co/ik0HXwN4EM
587476191008821248,2015-04-13 04:43:33,RT @PatrickRuffini: Nothing says tribune for ordinary Americans like... Hillary Clinton. http://t.co/ts6xyUzlRN
582016201573863424,2015-03-29 03:07:30,@BTait24 options: 1) let them keep the ball until the last second and then they score or you foul; 2) foul now and get the ball.
582014790802898944,2015-03-29 03:01:54,Can someone pls explain why the Irish shouldn't have fouled immediately when Kentucky had the ball with 33 seconds left?
581673957008351232,2015-03-28 04:27:32,RT @NumbersMuncher: How much more disastrous does Hillary's press conference look now knowing that her emails were under subpoena when she …
581673836183080961,2015-03-28 04:27:04,RT @NumbersMuncher: The Democratic front-runner for 2016 deleted government emails AFTER they were requested and then wiped the server clea…
580000041282060288,2015-03-23 13:36:00,"If you're the kind of person who smacks your gum loudly, you're also the kind of person who doesn't mute your iPhone games on the train."
