id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
610932738481217536,2015-06-16 22:11:30,RT @GovernorPerry: Dropped by @TexasTech today and ran into @CoachTubbySmith. #WreckEm @TexasTechMBB. http://t.co/6Jq4EXxRwG
606544523431272449,2015-06-04 19:34:18,A big thanks to the @Rangers for allowing me to throw out the first pitch at #TexasTechNight last night #WreckEm http://t.co/AlcVjQ4xmz
606295829133983744,2015-06-04 03:06:04,Congrats to Coach Myers. Honored to be associated w/ one of the most respected coaches in college basketball #WreckEm http://t.co/eYJW8VSQ52
600308898982207488,2015-05-18 14:36:09,"We are a month away from the start of camp. We have some spots available. We have overnight, day and team camps.
https://t.co/B5RGIasTjO"
599664047789707265,2015-05-16 19:53:44,"Having a great time at the Preakness with Matt, Candi and Donna. @CWhitakerTTU http://t.co/wygEKHGuCs"
597160380767539200,2015-05-09 22:05:04,Congratulations also goes to JoJo Robertson &amp; @TexasTechWGolf on advancing past regionals to the NCAA Championship. #WreckEm
597159815891259392,2015-05-09 22:02:49,I want to congraulate @ToddPetty1 and Lady Raider Tennis on advancing to the Sweet Sixteen. #WreckEm
596057039975002112,2015-05-06 21:00:47,I want to wish @Sandsman14 &amp; @TTUMensGolf and JoJo Robertson and @TexasTechWGolf good luck at the NCAA Regionals. #WreckEm
594298031538745344,2015-05-02 00:31:06,"I want to congratulate Both @TexasTechTennis Teams, @TimSiegelTTU &amp; @ToddPetty1 on selection to the @NCAATennis2015. Good luck and #WreckEm"
589173544048721920,2015-04-17 21:08:13,RT @ACSCAN: Check out @coachtubbysmith sharing his #OneDegree from cancer http://t.co/w1c8cEjcIF Share yours! http://t.co/A3dqh6CI61
584021952093794304,2015-04-03 15:57:38,RT @TJMShow: We caught up with @CoachTubbySmith today! He's being honored this wknd; here's who influences him http://t.co/ZIKyhyamyZ #Fina…
583953831769276416,2015-04-03 11:26:57,RT @TJMShow: @CoachTubbySmith gives credit to his parents for raising him so well.  He had 16 siblings.
583953105991106560,2015-04-03 11:24:04,Hada great time on the @TJMShow this morning.
583330914605789184,2015-04-01 18:11:42,I want to thank the NCAA Office of Inclusion and the NABC for making me a part of the Circle of Champions this weekend.
580814139230015489,2015-03-25 19:30:56,Had a great time at the @UnderArmour event in San Antonio.
578290502711160832,2015-03-18 20:22:54,"RT @TechAthletics: Red Raiders Shining Abroad... Texas Tech has 22 Former Student-Athletes Playing Pro Basketball
http://t.co/EsLz1zitiM ht…"
575721902267854848,2015-03-11 18:16:12,RT @Coach_JEsposito: Please vote for Texas Tech signee CJ Williamson for the Dunk Contest on CBS? He's in the Finals Gotta vote today! http…
569260487105318912,2015-02-21 22:20:51,Kaye Yow was such a special lady &amp; a good friend. She touched so many lives. What a great ambassador of the game of basketball. @KayYowFund
