id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
11683871534,2010-04-06 05:44:25,Tune in to 1400 KODI tomorrow morning on Tom Morrison's Show. Speak you piece. The Cody TEA Party and the Wyoming 912 Coalition will be in.
9500098225,2010-02-22 23:55:02,Cody TEA Party details at www.codyteaparty.blogspot.com
9500064207,2010-02-22 23:54:11,"The Cody TEA Party is on, 15 April 2010 11am-2pm. Come decorated bring your signs. See you there."
8831822926,2010-02-09 00:23:40,"There will be a Cody TEA Party on 15 April 2010, details are currently being finalized, check the blogspot next week. Thanks"
1936591134,2009-05-27 15:19:26,"@markdavis No, I am sure they won't. They don't have any backbone."
1925536316,2009-05-26 17:08:15,"To be overturned by the Sotamayor court soon enough, I am sure."
1925525422,2009-05-26 17:07:14,"Hey, they upheld Prop 8.  Cool and amazing."
1875549664,2009-05-21 21:28:09,"@PoliticalCowboy Hey Scott, we'll pray for her."
1872030039,2009-05-21 15:37:20,Don't forget to listen to Bob and Dave on 1400 AM KODI (in the Big Horn Basin) until 10.  They are on now and doing great.
1865287237,2009-05-21 00:12:14,"Join us at the Memorial Day Tea Party Picnic, http://bit.ly/zerfl"
1863031611,2009-05-20 20:13:06,"Letter from a Dodge Dealer, http://bit.ly/6lela"
1709058876,2009-05-05 19:22:27,"Free Choice is No Choice, http://tinyurl.com/dc6tc7"
1650211775,2009-04-29 16:25:28,"Grade your government employees here, http://www.gradegov.com/"
1577943545,2009-04-21 19:55:01,"Hey, let's fire Napolitano while we are waiting, http://codyteaparty.blogspot.com/2009/04/cause-we-can-all-get-behind.html"
1545025860,2009-04-17 19:57:10,"Cody Tea Party Video, http://tinyurl.com/d5wfgs"
1544409226,2009-04-17 18:42:19,"If you want to manage all your email contacts, check out Arial Software, http://www.arialsoftware.com and look at Email Marketing Director"
1544386839,2009-04-17 18:39:33,"Let us not get complacent, contact your employees in the Gov't. http://tinyurl.com/d88gxx"
1530325970,2009-04-16 01:54:22,"TEA'd Off at Taxes, http://tinyurl.com/c5k529"
1529333539,2009-04-15 23:25:07,"Wait, estimates are between 500 and 600 people showed up, with 442 signatures on the petitions. Way to go Cody."
1528477347,2009-04-15 21:22:37,"Great Tea Party. At least 350 people in our little town, on a work day. Way to go Cody."
1485832301,2009-04-09 20:25:44,"Sign the 912 petition, http://tinyurl.com/dk56ev"
1479894588,2009-04-08 23:13:52,"What I meant to say is the Cody Enterprise has a story on the tea party, http://tinyurl.com/cjnobg"
1473622938,2009-04-08 01:38:42,"Thomas Paine by Bob Bosso, http://tinyurl.com/d4ngtk"
1465449656,2009-04-06 21:27:03,"We don't need no stinkin' permit. Accoridng to somebody at City Hall, we are good to go."
1448332283,2009-04-03 22:44:05,"Attend the Cody City Council Permit Hearing, http://codyteaparty.blogspot.com/2009/04/attend-cody-city-council-permit-hearing.html"
1433436464,2009-04-01 19:22:54,Help Rescue America. http://codyteaparty.blogspot.com/2009/04/help-rescue-america.html
1419814114,2009-03-30 19:54:24,"It's official, time changed for Cody Tea Party. http://tinyurl.com/cwmdjs"
1418920418,2009-03-30 17:11:13,We might be narrowing the time down to concentrate more people at the peak time.  11-1 instead of 10 - 2. More info soon
1401457141,2009-03-27 15:20:08,"We Must All Hang Together, http://tinyurl.com/cpksbe"
1396659373,2009-03-26 20:38:30,"Rep. Todd Tiahrt just makes sense, http://tinyurl.com/d5vddb"
1394673353,2009-03-26 14:43:00,"Good news from Wyoming, http://tinyurl.com/dgoxgh"
1390955201,2009-03-25 22:57:10,"Need help designing logo, set up the Cafe Press store, but no logo."
1388833666,2009-03-25 16:30:10,More ways to help Cody Tea Party http://tinyurl.com/cwvh3n
1382914003,2009-03-24 17:31:49,"Good news, if it is correct, we don't need a permit to meet in the City Park if we are not resvering the whole thing."
1382433267,2009-03-24 16:00:07,"Facebook event, http://tinyurl.com/69wtcr/event.php?eid=59633813986"
1382293724,2009-03-24 15:33:10,It's all about Turnout. http://tinyurl.com/c9toeu. Invite two friends today.
1377536297,2009-03-23 20:09:42,"Added a map to the site, http://codyteaparty.blogspot.com"
1360696871,2009-03-20 15:09:46,"Just put an email sign up form on the website, http://codyteaparty.blogspot.com"
1360656276,2009-03-20 15:02:24,Writing a press release to go out to Cody news outlets announcing April 15th date.
1343327526,2009-03-17 17:26:53,Let's shoot for April 15th for a kick off tea party with more to follow.
1302403194,2009-03-09 21:34:03,"Working on the Cody Tea Party Blog, http://codyteaparty.blogspot.com"
1301261229,2009-03-09 17:23:55,Organizing the inagural Cody Tea Party.
