id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
662078827691163649,2015-11-05 01:27:48,RT @EJDooley: Good for @BerkeleyCRs for standing up for themselves on campus. #CRNC
662078660468473856,2015-11-05 01:27:08,RT @BerkeleyCRs: Join us in a call to cancel this biased and inappropriate event. @BayAreaGOP @GOP https://t.co/YZR1666r5u
660513842758316032,2015-10-31 17:49:06,"All tricks, no treats. 🎃👻 Happy Halloween from California College Republicans! https://t.co/wzWMFnPD2V"
660513235028811776,2015-10-31 17:46:41,"RT @AlexandraCSmith: THE PROUDEST! Love our @USCGOP and @CollegeGOP. And @DanaPerino, of course. ❤️🐘🇺🇸 https://t.co/N4kKyrqkLg"
659554068352909312,2015-10-29 02:15:18,"RT @callucrs: ""@TheDemocrats have the biggest Super PAC and that is the mainstream media!"" -@marcorubio #ccrdebatewatch #GOPDebate"
659554023427678208,2015-10-29 02:15:07,RT @KeridaMoates: Glad to be watching the #GOPDebate with the best party on campus @BerkeleyCRs #ccrdebatewatch https://t.co/6WJL94cwWI
659493937409859584,2015-10-28 22:16:22,Let us hear you CRs! Use #ccrdebatewatch tonight to join the conversation!
659383360826056704,2015-10-28 14:56:58,"RT @CRNC: 1) Sign Up
2) Grade the Candidates during Wednesday's Debate 
3) #CRsDecide
https://t.co/YuTpzbZnTC"
657364168505499648,2015-10-23 01:13:25,ICYMI!!  https://t.co/BqT5GWWC6L
653404900332703744,2015-10-12 03:00:42,RT @leesaapizzaa: Just some @USCGOP @BruinRepublican Long Beach State College Republicans at @Politicon today! #Politicon @CollegeGOP http:…
651197763049287681,2015-10-06 00:50:20,"Check out CCR's own @KeridaMoates in Huffington Post Live's segment ""Life As A Conservative On A Liberal Campus"" http://t.co/7m3y4KPLp7"
648608968961449984,2015-09-28 21:23:23,"Welcome home @russfeingold! Thanks @WICRs, we'll put up with him for now. @NRSC @WardBaker"
647212829959847936,2015-09-25 00:55:37,Hey #UCSD students! Head over to SSC 400 at 6:30 for the first @UCSDGOP meeting of the year! 🐘🌊 http://t.co/CoMLuB28sH
646498128066052096,2015-09-23 01:35:39,RT @AlexandraCSmith: I spy @CollegeGOP! https://t.co/2vuX0c9keC
646438773962596352,2015-09-22 21:39:48,RT @leesaapizzaa: Check out your fellow college republicans Claremont Republicans' new Twitter! @claremontrep @CollegeGOP #gop  https://t.c…
645776158278090752,2015-09-21 01:46:48,Thank you to everyone who spoke at and attended our CCR General Meeting at #CAGOP15! http://t.co/DizqkfOKa8
645430760363552768,2015-09-20 02:54:19,"RT @Pete4CA: Thanks @CollegeGOP for a few mins to chat today.CA needs your optimism, energy and smarts. @PepPublicPolicy can help w that la…"
