id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
1972304705,2009-05-30 15:58:35,#Wasilla #Alaska Patriots #teaparty and Picnic 5/30/09 2pm-6pm Wasilla - Wonderland Park
1887029603,2009-05-22 21:28:14,#Wasilla #Alaska #Teaparty 4th of July - 4:00pm - 7:00pm Wasilla Lake Park
1825510101,2009-05-17 12:57:27,Alaska Tea Party - #Wasilla #Alaska #Teaparty - http://alaskateaparty.com/
1814781757,2009-05-16 07:14:58,@CarlWimmer Thank You for http://www.thepatrickhenrycaucus.org/ #tcot #teaparty #912
1535352926,2009-04-16 17:46:06,"thanks #teaparty supporters, looking forward to the best 4th of July in a century"
1505482058,2009-04-12 22:37:24,Please Support the #Anchorage #Alaska #teaparty 4/15/09 11am-1pm on steps of the Fed. Bldg.
1505465747,2009-04-12 22:34:07,#Fairbanks #Alaska #teaparty 4/15/09 12pm-1pm Corner of Airport Way and Noble
1505461937,2009-04-12 22:33:20,"#Fairbanks #Alaska #teaparty 4/15/09 1pm-2pm Federal Building, 101 12th Ave."
1505445583,2009-04-12 22:30:08,#Wasilla #Alaska #teaparty 4/15/09 2pm-4pm Wasilla Lake
1505426715,2009-04-12 22:26:20,"#Soldotna #Kenia #Alaska #teaparty 4/15/09 5pm At the ""Y"""
1505409105,2009-04-12 22:22:47,#Ketchikan #Alaska #teaparty 4/15/09 4pm-6:30pm Corner of Jefferson and Tongass
1505398229,2009-04-12 22:20:40,#Homer #Alaska #teaparty 4/15/09 12pm Veteran’s Park
1505349430,2009-04-12 22:11:08,"#Kodiak #Alaska #teaparty 4/15/09 12pm-1pm Downtown at the ""Y"""
1505274950,2009-04-12 21:56:37,#Haines #Alaska #teaparty 4/15/09 4pm-6pm TBA
1353473859,2009-03-19 09:17:35,#alaska #teaparty Page http://tinyurl.com/cxsey3
1353298257,2009-03-19 08:00:28,"Supporter, not organizer of the Alaska Teaparty."
