id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
661979930486579200,2015-11-04 18:54:49,"RT @CamAndCompany: LIVE @ 2P/E: @MrColionNoir, @michaelbarone, @tabithahale, @vssa, @frankminiter, and @andrew_langer - @NRANews.com

Spons…"
661954199471681536,2015-11-04 17:12:34,"@brettbodine Yes. It is not a healthy thing for me. Or most people, I think."
661954100381265920,2015-11-04 17:12:10,@rlh Ha! That’s funny that you remember that. I’m trying!
661954037504475136,2015-11-04 17:11:55,@ToBoldlyRebel I very much appreciate that. :)
661778976742969344,2015-11-04 05:36:17,@HernandezTony I couldn't live in it anymore. That's not what I want in my life.
661778451200942080,2015-11-04 05:34:12,@HernandezTony thanks! I realized how long it has been since I dropped off the face of the earth. Oops.
661775962946826240,2015-11-04 05:24:19,I forgot there was an election today until about 3pm. That was pretty liberating.
661775769434238976,2015-11-04 05:23:33,"An update, since some of you have asked why I'm gone. It's kind of by design. 😊 https://t.co/ovvyNqTqQW"
655874275388338176,2015-10-18 22:33:07,@Red__Rover you're so sweet! I'm great! Better than ever actually. Just shifted focuses. 😊
638875278450814976,2015-09-02 00:45:10,@BiasedGirl @SalaciousSully @stephenkruiser those were the days.
633758650243248128,2015-08-18 21:53:31,@lyndseyfifield Hahaha…. YES.
632577320524451842,2015-08-15 15:39:20,@CameronPSmiley Hey thanks!
628636180716875776,2015-08-04 18:38:39,#smod2016 https://t.co/7J7SH2qGh4
628589572998492160,2015-08-04 15:33:27,"In other news, Beanie Babies still exist. http://t.co/20dbz9OF9P"
627136664490479616,2015-07-31 15:20:07,"If you love country music (and who doesn't?), you have to follow our @rarecountry Twitter for the latest news, interviews and exclusives."
624242022514339840,2015-07-23 15:37:50,Pretty sure @CamEdwards said this yesterday… http://t.co/A9yhvkRf96
617809640709971968,2015-07-05 21:37:51,@stephenkruiser @KatMcKinley because we love her. A lot.
610627169039945728,2015-06-16 01:57:16,@RedBrightandTru saw that. :) Going to see him at the Hollywood Bowl next week!
603633451728769027,2015-05-27 18:46:44,@CamEdwards Best job I ever had. :)
603632754849390592,2015-05-27 18:43:58,@CamEdwards It paid $65/hour and all I did was smile and twist balloons.
603632522166153218,2015-05-27 18:43:02,@CamEdwards Evidence: http://t.co/OXAtp28jSu
601104842145173504,2015-05-20 19:18:57,@SkiGarmisch @KemberleeKaye yes. Yes it is.
600108176927641600,2015-05-18 01:18:33,"Brandy, Celine and Mariah. I'm sorry, is this a Billboard Awards rerun from 1996?"
597807028367716353,2015-05-11 16:54:36,"@BiasedGirl Was great to see you, lady. :) I’m still around!"
597806013274791937,2015-05-11 16:50:34,@GrantDossetto @BiasedGirl @stephenkruiser In the rain.
595608340153147392,2015-05-05 15:17:48,"@jimgeraghty @KatMcKinley @guypbenson Pictures don't lie, Jim."
