id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
524930727725379586,2014-10-22 14:30:12,Michael Brown's family react to leak of Darren Wilson's testimony http://t.co/BQ0mWILsx7 via @MailOnline---explain the even if he is cleared
524930556895567872,2014-10-22 14:29:32,Michael Brown's family react to leak of Darren Wilson's testimony http://t.co/BQ0mWILsx7 via @MailOnline- why isn't mommy o twitting justice
524930339639021568,2014-10-22 14:28:40,Michael Brown's family react to leak of Darren Wilson's testimony http://t.co/BQ0mWILsx7 via @MailOnline==where is holder where is mommy O
524930212476121090,2014-10-22 14:28:10,Michael Brown's family react to leak of Darren Wilson's testimony http://t.co/BQ0mWILsx7 via @MailOnline- why is this  in a UK paper
524929923647930368,2014-10-22 14:27:01,Michael Brown's family react to leak of Darren Wilson's testimony http://t.co/BQ0mWILsx7 via @MailOnline--where is the great  mighty leader
524744020849737731,2014-10-22 02:08:18,Feds Getting Ready for Executive Action on Immigration http://t.co/1oRdtlNwzx via @NBCNews- like he said do what ever it takes..WOW MAN
524743331407208448,2014-10-22 02:05:34,"RT @jjauthor: Conservatives are not against all government; we are against excessive, intrusive, corrupt &amp; ineffective government! #tcot  #…"
524743162506776576,2014-10-22 02:04:53,RT @RealSheriffJoe: Nancy Grace thanked me for the New York man my detectives arrested in Nancy's case he sits in my jail awaiting trial ht…
524742883375865856,2014-10-22 02:03:47,RT @McCahillJim: @NahBabyNah @TeriIreneAdams I don't know I've gotten to where I can't stomach the sight of a liberal. Just can't respect a…
524742692203675650,2014-10-22 02:03:01,now that whats his face has a spin doctor for sicknesses ..DO YOU DRINK  that ...koolaid/anything
524742038064226305,2014-10-22 02:00:25,RT @JustBeFreeNow14: AUDIENCE LAUGHS AT SHAHEEN FOR DUCKING QUESTION ON OBAMA  http://t.co/TQkxpnFUCl FIRE @SenatorShaheen
524741665731674112,2014-10-22 01:58:57,key hagen has miss placed her big girl panties
524741358540845056,2014-10-22 01:57:43,RT @CStevenTucker: Patriot Jon Voight on restoring America.  http://t.co/0gjKtmPw5b h/t @mavrick803 #tcot #teaparty
524741182388449282,2014-10-22 01:57:01,O S PEOPLE  are right there for him saying oooooo   woooooo  .. beeeee cause .... hes chocolate..naaaa
524740654182977536,2014-10-22 01:54:55,grimes saying  I not going to answer is so lenner ..O has a cabinet  of 5th righter TAKERS
524739987716444161,2014-10-22 01:52:16,@washingtonpost ---  hey you   quick turn around and I SHALL ....give you one of... these/// gaadz ook dingklehead he is
524739153440026625,2014-10-22 01:48:58,"RT @TheMorningSpew: #NCSEN After tonight's debate no-show, Kay Hagan doesn't have a leg to stand on. #NCSendebate http://t.co/Q761VGBuzr"
