id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
642394628948369408,2015-09-11 17:49:49,RT @TeaPartyPatriot: #NeverForget #September11 #Heroes #911NeverForget #NeverToBeForgotten #GodBlessAmerica http://t.co/n4IeOzfCCP
641293296309006336,2015-09-08 16:53:31,RT @TeaPartyPatriot: Check out @LibertyFarmCo - turning disabled #veterans n2 independent farmers &amp; business owners. They need ur support h…
534469457028993024,2014-11-17 22:13:43,RT @BlitzTheVote: Who might benefit from @BarackObama's #ExecutiveAmnesty http://t.co/3JkYOdJ0VW #amnesty #ImmigrationReform
527535162678968322,2014-10-29 18:59:18,RT @BlitzTheVote: Time to give @SenTedCruz @marcorubio @SenMikeLee @SenRandPaul a chance to run the Senate! #FireHarryReid http://t.co/hfwr…
508038433474768896,2014-09-05 23:46:16,"RT @AmyKremer: #Follow US security team @KrisParonto
@markgeistswp @JohnTiegen. Tonight 10PM @BretBaier covers #13hours of hell in #Benghaz…"
508038337383235585,2014-09-05 23:45:53,"Fulton to let students take home mobile devices
http://t.co/aWCnF8ppBM via @ajc"
508036955100033024,2014-09-05 23:40:23,Parent sues Gwinnett to carry gun at school http://t.co/Ghl8xr4pAw via @ajc
508033940855070720,2014-09-05 23:28:24,Augusta Young Republicans to Re-Charter - http://t.co/mLdPJ0jUBG via @peachpundit
501864514967834625,2014-08-19 22:53:19,RT @AmyKremer: .@gov Pls remove the gruesome pics of the awful atrocities committed against #JamesFoley. Let us remember him w/ dignity. Pl…
460438155511230464,2014-04-27 15:19:45,"RT @AmyKremer: .@ByronMFisher U r wrong! @Team_Mitch threw Cuz, Lee &amp; #teaparty under bus over defund. Also threw DeMint under the bus in 2…"
445816575392641024,2014-03-18 06:58:49,RT @davidforgeorgia: #FF @GaGunOwners @GeorgiaCarry @gaforliberty @SOGTP @AFPFgeorgia @C4Liberty @TPPatriots @atlantateaparty @ForsythTeaPa…
445816124119056385,2014-03-18 06:57:01,.@GovernorDeal Why r u not standing w/ the ppl 2 stop #Obamacare? http://t.co/RdAhQrLEmK Georgians deserve better! #gapol #gapolitics
443096880302809088,2014-03-10 18:51:43,"Time for the #teaparty to rise up and help defeat the man that wants to ""crush"" us. http://t.co/LdMqrtC8jG #kysen #LNYHBT #PJNET #CPAC2014"
438661611617009664,2014-02-26 13:07:32,Three things you can do today to help us defeat the establishment: https://t.co/HU5RPaB2Zr Please RT! #teaparty #tx32 #PJNET #LNYHBT #tcot
437262466410508288,2014-02-22 16:27:50,"RT @AskLevi: RT @Reince: 225,000 #ObamaCare cancellation notices. http://t.co/BsYOTscbOd @RepGaryPeters lied when he said you can keep you …"
437261367926464512,2014-02-22 16:23:28,RT @AmyKremer: .@RepGaryPeters U shld be ashamed of ur #waronwomen. http://t.co/WMptVLkbQH Ur actions 2 silence women who speak out r despi…
