id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
613227607803342848,2015-06-23 06:10:29,@NatGeoChannel you got the names backwards on the 'Pick your Genius' photos! # Tesla #1
613226562243072000,2015-06-23 06:06:20,#NikolaTesla was the greatest #AmericanGenius
612430318876766208,2015-06-21 01:22:21,"@MittRomney Glad you didn't get elected, traitor. The #ConfederateFlag is a symbol of #StatesRights and #SouthernPride - Nothing more. #tcot"
585949599346663425,2015-04-08 23:37:25,Destroying America: Students Force University to Cancel Screening of  'American Sniper' | http://t.co/stKGsqI1Zt #tcot #MENA #Navy #SEAL
585795049314615296,2015-04-08 13:23:17,SC Police Officer Charged With Murder in Suspect Shooting http://t.co/vRZCRSkiMP #BadBoyzBadBoyz #WhatYaGonnaDoWhenTheyComeForYou #TCOT
583344855172009984,2015-04-01 19:07:06,"We do not need any more 'Religious Freedom Bills', that freedom is already covered by the First Amendment of the US Constitution. #tcot"
573924794778914816,2015-03-06 19:15:08,Clinton’s personal email use – despite clear rules – raises double-standard questions | http://t.co/bpSgRdxDqE #tcot #1776 #revolution
573248840591020032,2015-03-04 22:29:08,#CommonCore FTW: My Daughter’s Social Studies Test Edition http://t.co/dSaP5mVCZ7 #RKBA #2A #Revolution #1776 #tcot
572893174466682880,2015-03-03 22:55:51,The Truth About M855 5.56 NATO Ammunition http://t.co/eA4MLAaGEW #2A #RKBA #tcot #Revolution #1776 #FUCKtheATF
571401101087342592,2015-02-27 20:06:53,The Red Coats Are Coming! http://t.co/OjDM8BvyW1 #RKBA #Revolution #tcot #1776 #PureEvil #Obama #Gov #2A #LibtardsSuck
553181929760391170,2015-01-08 13:30:24,"RT @RealJamesWoods: In case you were watching MSNBC (or licking windows) seven minutes ago, let's see that again... http://t.co/dl4PkSZ0Au"
535270778770849792,2014-11-20 03:17:53,RT @DesertScene: #Ferguson Protest Leader has car STOLEN during “F*ck the Police” Rally!! http://t.co/s81IFkNsMX #tcot #news #Hannity #Kell…
522998525391798272,2014-10-17 06:32:19,RT @EmilyMiller: He’s in his 40s?! RT @FoxNews: Biden’s son discharged from Navy after reportedly testing pos for cocaine http://t.co/Zynnz…
522997615659851776,2014-10-17 06:28:43,RT @DLoesch: We have been CONDITIONED to be completely helpless beyond the federal government.
522063183025295360,2014-10-14 16:35:37,"RT @jjauthor: If you provide healthcare to illegals and leave our Veterans in hallways on wait lists, #YouMightBeALiberal #tcot” #NCsen #VA…"
502637760017346562,2014-08-22 02:05:55,WTF? http://t.co/1ISFmIPweF #tcot #liberty #2A
502225677593362433,2014-08-20 22:48:27,"RT @Usmclm: ""A black guy got shot.... FIVE FINGER DISCOUNT!"" These people want respect while being disrespectful. #FergusonShooting @AlfonZ…"
