id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
662212102069833728,2015-11-05 10:17:23,RT @theFAMiLYLEADER: Announcing confirmation: Carly Fiorina to attend Nov. 20 Presidential Family Forum #PFF15 https://t.co/fszuFdogFN http…
661479925455691776,2015-11-03 09:47:58,"RT @theFAMiLYLEADER: @scj Sioux City Journal has encouraging words for friendship, civil dialogue between @bobvanderplaats @Donna_RedWing h…"
661479906065448960,2015-11-03 09:47:53,RT @theFAMiLYLEADER: @greggutfeld U asked on @TheFive if we could put candidates around a table to talk That event DOES exist! Nov. 20 http…
661479606025875456,2015-11-03 09:46:42,RT @theFAMiLYLEADER: @RealBenCarson confirms for Nov. 20 Presidential Family Forum! #PFF15 Joins Cruz Huck Jindal Paul Rubio Santorum  http…
661478357859741696,2015-11-03 09:41:44,RT @theFAMiLYLEADER: School boots combat veteran football coach off team for voluntary prayers after the game https://t.co/Y1AvvIV4vW #Reli…
661477898658947072,2015-11-03 09:39:55,RT @theFAMiLYLEADER: Taxpayer support of obscene content at Gov's LGBTQ Conf. finally gets congressional hearing: https://t.co/CVGu5qQEnx h…
658306715964874752,2015-10-25 15:38:46,Looking forward to speaking to School of Government Convocation @LibertyU tomorrow. Topic @if714  Go Flames!
658298996071485440,2015-10-25 15:08:05,"RT @LilaGraceRose: As a former ""fetus,"" I oppose abortion. #RT if you are #prolife! https://t.co/FPYhMUOoH7"
657701256685748224,2015-10-23 23:32:53,"RT @theFAMiLYLEADER: I don't want the media to telling me how to vote! Presidential Family Forum, Nov. 20 https://t.co/fszuFdogFN #PFF15 ht…"
657701030889586688,2015-10-23 23:31:59,RT @theFAMiLYLEADER: Nov. 20 Presidential Family Forum named 'must-hit GOP event' https://t.co/fszuFdogFN https://t.co/mKGpTdKeER #PFF15 ht…
656653094676070400,2015-10-21 02:07:52,RT @if714: We need revival! Join the @if714 team at the #PFF2015 with @theFAMiLYLEADER!
656450641582100481,2015-10-20 12:43:23,RT @theFAMiLYLEADER: Texas cuts off funding for Planned Parenthood. When will Iowa follow suit? #KeepYourPromise #DefundPP http://t.co/1jPW…
655153751200657408,2015-10-16 22:50:01,RT @theFAMiLYLEADER: First 5 confirm for Nov. 20 Presidential Family Forum #PFF15 @TedCruz @BobbyJindal @GovMikeHuckabee @RandPaul @RickSan…
653286792775385088,2015-10-11 19:11:23,RT @theFAMiLYLEADER: In 2011 this event catapulted @RickSantorum from single-digit support to IA caucus winner. Who will emerge in 2015 ? h…
651184363820847104,2015-10-05 23:57:05,RT @theFAMiLYLEADER: Let's boil it down: What you need to know about effort to #DefundPP in Iowa / What to say if you call @TerryBranstad h…
