id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
663191293728833536,2015-11-08 03:08:20,"At the opera with randanmarie. It's opening night of Verdi's ""Aida."" It's fantastic. #longcenter #austin https://t.co/bK7Y2pNO7W"
663135894195404801,2015-11-07 23:28:12,These parents and thousands of others will be at the state capitol in Austin on Jan. 29th. #schoolchoice #txlege https://t.co/kpZHT0KBJE
663134804745961472,2015-11-07 23:23:52,Had a great day at the @familiesempowered school fair today in Houston. Met some awesome folks here. @schoolchoicewk https://t.co/Y8oVyRneJ9
663078834367918080,2015-11-07 19:41:28,RT @ColleenDippel: Who says parents don't want #schoolchoice @FamsEmpowered @RandanMarie @bstein80 getting folks on the bus to Austin https…
662852197969891328,2015-11-07 04:40:53,"RT @KatMcKinley: O'Reilly is having a contentious, mean, and awkward argument with George Will right now. So weird."
662799097988907010,2015-11-07 01:09:53,Dinner with @randanmarie (@ Yia Yia Mary's Pappas Greek Kitchen) on #Yelp https://t.co/W34fmuoEB1
662731639185801222,2015-11-06 20:41:50,Pit stop. (@ Weikel's Bakery) on #Yelp https://t.co/2g0WzXg41h
662714962188439553,2015-11-06 19:35:34,"RT @mattklewis: This morning, I said the media should vet Carson's story AND that the MSM was liberally biased. Both are still true. https:…"
662712059855933440,2015-11-06 19:24:02,@amandacarpenter Makes you wonder what else isn't true in his bio. I've been wondering when/how Carson would be questioned on all this.
662711079517097984,2015-11-06 19:20:08,RT @SteveAustinWI: I don't want Carson to be grilled on his bio. I want him to be grilled on issues and how he'd solve problems.  https://t…
662710559712768000,2015-11-06 19:18:04,"Plenty of Carson supporters will stick with him for a while, but these stories will erode his lead within 30 days. Then he will stall."
662710244888317952,2015-11-06 19:16:49,When your bio is your campaign - and your bio has fictional accounts - it can sink you. Expect Carson to get very tough questions in debate.
662709802057895936,2015-11-06 19:15:04,"This West Point thing will sting, especially if there is a pattern of similar examples. Opponents will call Carson a phony."
662709453267955712,2015-11-06 19:13:40,"Carson's campaign will point toward liberal media bias - which is a fair point. But as conservative outlets start on him, it will be tough."
662709040808460288,2015-11-06 19:12:02,Looks like Ben Carson is starting to get some serious scrutiny. He's going to have a very rough couple of weeks. How will he handle it?
662393188326375424,2015-11-05 22:16:57,Join us at The Rattle Inn from 5:30-7:00pm tonight for an event with Shawn Dick - candidate for Williamson County District Attorney.
661994420271640576,2015-11-04 19:52:23,Fundraiser for the future District Attorney of Williamson County on Thursday evening - Shawn Dick https://t.co/S5yIpZOlDT #txlege
661931236026281985,2015-11-04 15:41:19,"Last night, Travis County voters rejected higher taxes and more spending. Stunning victory for taxpayers. https://t.co/UAvTfcKqNc #txlege"
661763027037847552,2015-11-04 04:32:55,"@teddyschleifer Dude. Talk about hate, anger, and intolerance."
