id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
314377456427610112,2013-03-20 14:06:41,"RT @jasonwise330: It only took 4 yrs.  ""Barack Obama in Israel for 1st trip as president"" via @PlainDealer   http://t.co/xUCtFowDmr #big ..."
293576786195931136,2013-01-22 04:32:14,"""loyalists &amp; activists..give Obama a pass"" @ByronYork: In inaugural speech, Obama gives nation's top issue short shrift http://t.co/okDXnOL3"
277833930172928000,2012-12-09 17:55:45,"RT @SpeakerBoehner: Erskine Bowles tells @FacetheNation, ""We have to cut spending,"" POTUS' #fiscalcliff plan ""won't solve the problem"" h ..."
257689496429158400,2012-10-15 03:48:58,#OhioCoalMiners defending their attendance at @MittRomney event. @BretBaier http://t.co/hoV3bB1r
257146825344184321,2012-10-13 15:52:35,"RT @JLWISE79: Especially hit those with small businesses MT @PaulRyanVP: There r 21 tax increases in Obamacare, 12 hit the middle class. ..."
257145886247903232,2012-10-13 15:48:51,What POTUS really thinks of #OHIO MT: @FoxNews: Romney-Ryan ticket hits Obama admin on Ohio made tanks http://t.co/JdYrhx8x #Election2012
251076203199483905,2012-09-26 21:50:06,"RT @JLWISE79: So far... @CantonRepdotcom has tweeted 55x for the Prez visit, but only 6x when the Rep VP candidate came to town.  Biased ..."
236096802749825024,2012-08-16 13:47:18,"RT @JLWISE79: ""That's the sort of change conservatives can believe in."" What choosing Paul Ryan says about Mitt Romney: http://t.co/Zdsr ..."
226876734463692800,2012-07-22 03:10:03,RT @AmyKremer: Why the heck do @MittRomney's tax returns matter? He doesnt make enough $ to balance the US budget. Focus on @HarryReid n ...
226127236011540481,2012-07-20 01:31:48,"RT @JLWISE79: Long days, hard work, sleepless nights and personal liability means #youdidntbuildthat  http://t.co/wI76Zbq4 #Mitt2012 #Re ..."
58936526964408320,2011-04-15 16:55:37,"It's hard to believe, but it's been 2 years since the first Canton Tea Party was hosted by @Radiomattrick in downtown Canton, OH!"
58934310182453248,2011-04-15 16:46:49,It's Tax Day......the most hated day in America!
39990134153678848,2011-02-22 10:09:25,We know u don't like change Ohio but the bank account has run dry! 'Reminding Ohio's public employees who works for who' http://t.co/VfhHiiZ
27372344972419072,2011-01-18 14:30:50,Healthcare repeal debate Rnd 1...it's like boxing minus the bikinis! #hcrcostsjobs
23912138095468545,2011-01-09 01:21:12,RT @michellemalkin:Unbelievable RT @Janefonda: @SarahPalinUSA holds responsibility. As does the violence-provoking rhetoric of the Tea Party
15440040851148800,2010-12-16 16:16:07,"Hey kids, your History lesson for the day: On this date in 1773, the Boston Tea Party took place"
14827364231942144,2010-12-14 23:41:33,"RT: @Bret_Baier Omnibus spending bill is 1924 pages..and ""filled with earmarks""...Sources: ""all hell is breaking lose"" http://fb.me/Ob0TsmjE"
