id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
659765755592986628,2015-10-29 16:16:28,"RT @HouseGOP: Today, we nominated and elected a new Speaker of House. Congratulations, @SpeakerRyan.
https://t.co/Sjz1fdMJYx"
659503843261202433,2015-10-28 22:55:43,It was great to share the podium with @NancyPelosi today during #BCAM – truly a bipartisan issue. #BCAM15 https://t.co/gRhbeQKJzN
659469424274092032,2015-10-28 20:38:57,Today @HouseGOP nominated a strong and visionary leader. @PRyan will be the People's Speaker.
659452746937028608,2015-10-28 19:32:41,I'm proud of work we accomplished together with the 21st Century Cures. We stand united in our fight to eradicate breast cancer. #BCAM15
659450852437004300,2015-10-28 19:25:09,Honored to host a Breast Cancer Awareness event at Capitol with Leader @NancyPelosi. Cancer knows no party lines. https://t.co/sgqIrarDeD
659409367511511040,2015-10-28 16:40:19,I believe it's my duty as a representative to return Congress to its proper role. It's time to take the government off of autopilot.
659407320024248320,2015-10-28 16:32:10,"Freedom of thought is an attribute, not a defect, of our system of government. In America, the public square is open to people of all creeds"
659406888895926272,2015-10-28 16:30:28,"A government that tells you how to act, how to live, and how to run your organizations automatically creates a system of distrust."
659406007932690432,2015-10-28 16:26:58,Representative gov't must reflect spirit and character that has bound us as a people since founding of this nation.  https://t.co/M8r03fKfZv
659404318248947712,2015-10-28 16:20:15,I will soon be speaking at @FRCdc on Congress's role in protecting American values. Watch the live stream here: https://t.co/M8r03fKfZv
659069110752444420,2015-10-27 18:08:15,"What a guy! Honored to put this tribute video together for the Speaker at his last Conference honoring his service.
https://t.co/DiY5hFs1mJ"
657258427828281344,2015-10-22 18:13:15,Important discussion about faith in leadership with @awakeamerica's #CCNexGen15. #saltandlight https://t.co/TGgEtZgLED
656919179283435520,2015-10-21 19:45:11,"For every (homecoming) king, a crown -- even ones with #DownSyndrome. What a touching story from Pennsylvania.
https://t.co/eQ8d2mYaHu"
656578182833938432,2015-10-20 21:10:12,The @POTUS is playing politics with our military. Please fund our troops Mr. President. #NoVeto #FY16NDAA
656475603307245568,2015-10-20 14:22:35,"RT @HouseGOP: .@POTUS is playing politics with the Pentagon by threatening to veto #NDAA. Mr. President, it's time to #SignTheBill https://…"
654434522302296064,2015-10-14 23:12:03,"RT @HouseGOP: Happy #AdaLoveLaceDay—the original computer programmer. Proud to support women who code, we need more of you! CC #GirlsWhoCode"
654385190400167936,2015-10-14 19:56:01,RT @KREMWhitney: We're talking wildfire-Roundtable talks about prevention get started w/ Sen. @MariaCantwell &amp; Rep. @cathymcmorris. http://…
654385165418893312,2015-10-14 19:55:55,RT @JohnKXLY: @cathymcmorris and @SenatorCantwell meeting now with first responders from across the state talking wildfires. #KXLY http://t…
